key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~terribly_surprising,949,0.50007474,5.731205,1.0,1315.7352558,NEGATED,terribly_surprising,3173681,949,6347362,474.5,474.5,0.5,0.00029902186,0.00029902186,terribly,19801,surprising,18886,3.2786548,15.402922,0.30103
NEGany~terribly_different,366,0.49730396,4.0994525,0.99727523,494.9830244,NEGATED,terribly_different,3173681,367,6347362,183.5,182.5,0.4986339,0.00011500841,0.0001153235,terribly,19801,different,80019,2.3880327,9.539428,0.299845
NEGany~terribly_interested,486,0.4918747,4.0819173,0.9918367,632.8886955,NEGATED,terribly_interested,3173681,490,6347362,245.0,241.0,0.49588478,0.00015187412,0.00015313448,terribly,19801,interested,34247,2.0339363,10.931982,0.29747018
NEGany~terribly_interesting,362,0.48640415,3.537518,0.98637605,455.8993028,NEGATED,terribly_interesting,3173681,367,6347362,183.5,178.5,0.4930939,0.00011248768,0.00011406313,terribly,19801,interesting,32662,1.8189942,9.381752,0.2950725
NEGany~terribly_original,199,0.5000157,3.4264078,1.0,275.878817,NEGATED,terribly_original,3173681,199,6347362,99.5,99.5,0.5,6.270321e-05,6.270321e-05,terribly,19801,original,4705,2.601,7.053368,0.30103
NEGany~terribly_good,332,0.48518896,3.4081676,0.9851632,415.1661502,NEGATED,terribly_good,3173681,337,6347362,168.5,163.5,0.49246988,0.00010303493,0.00010461039,terribly,19801,good,202048,1.7814738,8.973228,0.29453817
NEGany~terribly_helpful,184,0.5000145,3.3080344,1.0,255.0834965,NEGATED,terribly_helpful,3173681,184,6347362,92.0,92.0,0.5,5.7976842e-05,5.7976842e-05,terribly,19801,helpful,17013,2.5670516,6.78233,0.30103
NEGany~terribly_comfortable,129,0.50001013,2.7655413,1.0,178.8345944,NEGATED,terribly_comfortable,3173681,129,6347362,64.5,64.5,0.5,4.0646806e-05,4.0646806e-05,terribly,19801,comfortable,24239,2.4133174,5.6789083,0.30103
NEGany~terribly_new,113,0.5000089,2.5601366,1.0,156.6532745,NEGATED,terribly_new,3173681,113,6347362,56.5,56.5,0.5,3.5605342e-05,3.5605342e-05,terribly,19801,new,21548,2.3560414,5.315073,0.30103
NEGany~terribly_uncommon,103,0.5000081,2.4151888,1.0,142.7899906,NEGATED,terribly_uncommon,3173681,103,6347362,51.5,51.5,0.5,3.2454427e-05,3.2454427e-05,terribly,19801,uncommon,3193,2.3159845,5.0744457,0.30103
NEGmir~terribly_new,69,0.5000591,1.9000853,1.0,95.66246795654295,NEGMIR,terribly_new,291735,69,583470,34.5,34.5,0.5,0.00023651602,0.00023651602,terribly,2196,new,4393,2.1431174,4.1533117,0.30103
NEGmir~terribly_surprising,67,0.5000574,1.8523334,1.0,92.88941955566406,NEGMIR,terribly_surprising,291735,67,583470,33.5,33.5,0.5,0.00022966048,0.00022966048,terribly,2196,surprising,1270,2.1304336,4.092676,0.30103
NEGmir~terribly_exciting,78,0.4398216,1.2312653,0.939759,77.28498077392578,NEGMIR,terribly_exciting,291735,83,583470,41.5,36.5,0.4679487,0.00025022708,0.00026736592,terribly,2196,exciting,4001,1.1546156,4.132811,0.2740465
NEGmir~terribly_original,45,0.50003856,1.1875185,1.0,62.38671875,NEGMIR,terribly_original,291735,45,583470,22.5,22.5,0.5,0.00015424957,0.00015424957,terribly,2196,original,719,1.9591084,3.354102,0.30103
POS~terribly_wrong,340,0.30590844,1.1626676,0.8056872,169.5308837890625,POSMIR,terribly_wrong,291735,422,583470,211.0,129.0,0.37941176,0.00088436424,0.0011654412,terribly,2196,wrong,8526,0.6160475,6.9960074,0.20719646
NEGmir~terribly_interesting,56,0.46556354,1.0884774,0.9655172,63.01065826416016,NEGMIR,terribly_interesting,291735,58,583470,29.0,27.0,0.48214287,0.00018509949,0.00019195503,terribly,2196,interesting,3893,1.3541888,3.6080267,0.28579003
