neg_deprel,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
neg,877,2.16,10.64,0,1,1,1,225,1896,4.9216951315875095,225,0,1,1,2.27864216377595,2.0416893628962565
dep,877,0.06,0.35,0,0,0,0,7,54,5.6140376954318505,7,0,0,0,1.038464969995424,1.0264813460131674
advmod,877,0.04,0.25,0,0,0,0,4,33,6.583490749221888,4,0,0,0,1.0235830133204227,1.0160851178867283
nsubj,877,0.03,0.21,0,0,0,0,3,30,6.166127748058579,3,0,0,0,1.0225141309491224,1.0157320721938037
amod,877,0.03,0.18,0,0,0,0,3,23,6.865220037963018,3,0,0,0,1.0175400071611178,1.0124098124098124
pobj,877,0.0,0.11,0,0,0,0,3,4,23.404050331466298,3,0,0,0,1.0023738982412855,1.0014273479874394
conj,877,0.0,0.06,0,0,0,0,1,3,17.07822899576121,1,0,0,0,1.0023738982412855,1.001713306681896
cc,877,0.0,0.07,0,0,0,0,2,2,29.614185789921684,2,0,0,0,1.0012534785500362,1.00076074553062
pcomp,877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0,0,1.0015819733324827,1.0011415525114156
det,877,0.0,0.03,0,0,0,0,1,1,29.614185789921684,1,0,0,0,1.0007906740834882,1.0005704506560182
rcmod,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0,0,1.0007906740834882,1.0005704506560182
