adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
clinically,410,0.01,0.09,0,0,0,0,1,3,11.66183390415718,1,0,0.0,0.0,1.0050846920311673,1.003671970624235
probably,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
strictly,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
pretty,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
previously,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
scientifically,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
wholly,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
terminally,410,0.0,0.1,0,0,0,0,2,2,20.248456731316587,2,0,0.0,0.0,1.0026831353492407,1.001628664495114
usually,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
remotely,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
technologically,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
substantially,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
absolutely,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
inherently,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
currently,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
fundamentally,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
merely,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
morally,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
economically,410,0.0,0.1,0,0,0,0,2,2,20.248456731316587,2,0,0.0,0.0,1.0026831353492407,1.001628664495114
now,410,0.0,0.07,0,0,0,0,1,2,14.300306902514802,1,0,0.0,0.0,1.0033869284831058,1.0024449877750612
historically,410,0.0,0.1,0,0,0,0,2,2,20.248456731316587,2,0,0.0,0.0,1.0026831353492407,1.001628664495114
commercially,410,0.0,0.1,0,0,0,0,2,2,20.248456731316583,2,0,0.0,0.0,1.0026831353492407,1.001628664495114
vastly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
also,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
highly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
half,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
already,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
fiscally,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
environmentally,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
wildly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
then,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
consistently,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
thoroughly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
easily,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
humanly,410,0.0,0.05,0,0,0,0,1,1,20.248456731316583,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
ultimately,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
well,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
universally,410,0.0,0.05,0,0,0,0,1,1,20.248456731316587,1,0,0.0,0.0,1.0016920327541323,1.0012210012210012
