prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,13,89.69,323.39,0,0,0,0,1166,1166,3.605551275463989,1166,0,0.0,0.0,1.7215852273418502,1.0832559800071404
n't,13,28.92,104.28,0,0,0,0,376,376,3.605551275463989,376,0,0.0,0.0,1.5782656478187236,1.0830939226519336
be,13,9.69,31.14,0,0,0,1,113,126,3.212632666579503,113,1,2.5,-1.5,2.0804652636931076,1.3768115942028984
been,13,6.15,16.53,0,0,0,1,60,80,2.6864532845370674,60,1,2.5,-1.5,2.2508536772062793,1.484021113243762
no,13,2.62,9.43,0,0,0,0,34,34,3.605551275463988,34,0,0.0,0.0,1.314541995310516,1.0807600950118765
nearly,13,2.46,8.88,0,0,0,0,32,32,3.605551275463989,32,0,0.0,0.0,1.3086055702762218,1.0806045340050379
quite,13,1.85,6.36,0,0,0,0,23,24,3.446054171346099,23,0,0.0,0.0,1.346871765937178,1.1263537906137184
never,13,1.62,5.82,0,0,0,0,21,21,3.6055512754639896,21,0,0.0,0.0,1.2684205897620016,1.079245283018868
seem,13,1.46,5.27,0,0,0,0,19,19,3.6055512754639896,19,0,0.0,0.0,1.2591551045765725,1.0788381742738589
nothing,13,1.46,5.27,0,0,0,0,19,19,3.6055512754639896,19,0,0.0,0.0,1.2591551045765725,1.0788381742738589
get,13,1.23,4.44,0,0,0,0,16,16,3.605551275463989,16,0,0.0,0.0,1.2435118179605804,1.078048780487805
is,13,0.92,1.61,0,0,0,2,5,12,1.7390530628924339,5,2,5.0,-3.0,1.512075113005679,1.2892561983471074
none,13,0.69,2.5,0,0,0,0,9,9,3.6055512754639905,9,0,0.0,0.0,1.1937766417144364,1.0743801652892562
was,13,0.54,1.13,0,0,0,1,4,7,2.092259787982402,4,1,2.5,-1.5,1.328114089336069,1.2149532710280373
yet,13,0.46,1.66,0,0,0,0,6,6,3.605551275463989,6,0,0.0,0.0,1.1614687826131056,1.0705882352941176
are,13,0.46,0.78,0,0,0,1,2,6,1.6818750559134004,2,1,2.5,-1.5,1.3173936840487255,1.21875
the,13,0.46,1.39,0,0,0,0,5,6,3.0146248461397245,5,0,0.0,0.0,1.2106369975822304,1.1142857142857143
all,13,0.38,1.39,0,0,0,0,5,5,3.6055512754639882,5,0,0.0,0.0,1.1477777154347986,1.0684931506849316
any,13,0.38,1.39,0,0,0,0,5,5,3.6055512754639882,5,0,0.0,0.0,1.1477777154347986,1.0684931506849316
really,13,0.38,1.39,0,0,0,0,5,5,3.6055512754639882,5,0,0.0,0.0,1.1477777154347986,1.0684931506849316
getting,13,0.38,1.39,0,0,0,0,5,5,3.6055512754639882,5,0,0.0,0.0,1.1477777154347986,1.0684931506849316
as,13,0.31,1.11,0,0,0,0,4,4,3.605551275463989,4,0,0.0,0.0,1.1317927911527865,1.0655737704918034
always,13,0.31,1.11,0,0,0,0,4,4,3.605551275463989,4,0,0.0,0.0,1.1317927911527865,1.0655737704918034
so,13,0.31,1.11,0,0,0,0,4,4,3.605551275463989,4,0,0.0,0.0,1.1317927911527865,1.0655737704918034
being,13,0.31,0.75,0,0,0,0,2,4,2.4409697526461347,2,0,0.0,0.0,1.184140594988857,1.1142857142857143
without,13,0.31,1.11,0,0,0,0,4,4,3.605551275463989,4,0,0.0,0.0,1.1317927911527865,1.0655737704918034
",",13,0.23,0.6,0,0,0,0,2,3,2.5962936545662045,2,0,0.0,0.0,1.1477777154347986,1.0985915492957747
gotten,13,0.23,0.83,0,0,0,0,3,3,3.605551275463989,3,0,0.0,0.0,1.1125314760964868,1.0612244897959184
only,13,0.23,0.83,0,0,0,0,3,3,3.605551275463989,3,0,0.0,0.0,1.1125314760964868,1.0612244897959184
become,13,0.23,0.83,0,0,0,0,3,3,3.605551275463989,3,0,0.0,0.0,1.1125314760964868,1.0612244897959184
seriously,13,0.15,0.55,0,0,0,0,2,2,3.605551275463989,2,0,0.0,0.0,1.0881822434633168,1.054054054054054
scarcely,13,0.15,0.55,0,0,0,0,2,2,3.605551275463989,2,0,0.0,0.0,1.0881822434633168,1.054054054054054
or,13,0.15,0.38,0,0,0,0,1,2,2.4409697526461347,1,0,0.0,0.0,1.1125314760964868,1.0833333333333333
``,13,0.15,0.55,0,0,0,0,2,2,3.605551275463989,2,0,0.0,0.0,1.0881822434633168,1.054054054054054
seemed,13,0.15,0.38,0,0,0,0,1,2,2.4409697526461347,1,0,0.0,0.0,1.1125314760964868,1.0833333333333333
'',13,0.15,0.55,0,0,0,0,2,2,3.605551275463989,2,0,0.0,0.0,1.0881822434633168,1.054054054054054
hardly,13,0.15,0.55,0,0,0,0,2,2,3.605551275463989,2,0,0.0,0.0,1.0881822434633168,1.054054054054054
necessarily,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
got,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
barely,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
appear,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
were,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
but,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
do,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
even,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
far,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
few,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
anywhere,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
schedule,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
half,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
a,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
;,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
politically,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
's,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
officially,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
now,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
`,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
it,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
normally,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
just,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
around,13,0.08,0.28,0,0,0,0,1,1,3.605551275463989,1,0,0.0,0.0,1.0547660764816467,1.04
