neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,877,1.51,9.06,0,0,1,1,192,1321,6.015269861930173,192,1,2.5,-1.5,1.783550421654901,1.5756683405854912
n't,877,0.64,1.92,0,0,0,1,42,565,2.9828846866139918,42,1,2.5,-1.5,1.3860455345869025,1.2658778645284439
never,877,0.05,0.37,0,0,0,0,8,46,7.0442070122292675,8,0,0.0,0.0,1.030090114521649,1.0198333225660572
no,877,0.04,0.27,0,0,0,0,4,39,6.137978484016443,4,0,0.0,0.0,1.0276360202745995,1.0187408038410903
nothing,877,0.03,0.2,0,0,0,0,3,28,6.270186392470992,3,0,0.0,0.0,1.0212340359904415,1.014948403896229
none,877,0.03,0.16,0,0,0,0,2,22,6.5219709548604134,2,0,0.0,0.0,1.0172062785276335,1.012312427856868
nobody,877,0.01,0.12,0,0,0,0,2,8,12.791562550704445,2,0,0.0,0.0,1.0056829207408557,1.0038153376573826
without,877,0.01,0.12,0,0,0,0,3,6,17.078228995761215,3,0,0.0,0.0,1.0039596270174798,1.0025721634752787
hardly,877,0.0,0.07,0,0,0,0,1,4,14.781716538873836,1,0,0.0,0.0,1.0031664493045898,1.0022857142857142
scarcely,877,0.0,0.07,0,0,0,0,1,4,14.781716538873836,1,0,0.0,0.0,1.0031664493045898,1.0022857142857142
few,877,0.0,0.05,0,0,0,0,1,2,20.928435900079684,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
neither,877,0.0,0.05,0,0,0,0,1,2,20.92843590007968,1,0,0.0,0.0,1.0015819733324827,1.0011415525114156
barely,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
rarely,877,0.0,0.03,0,0,0,0,1,1,29.61418578992169,1,0,0.0,0.0,1.0007906740834882,1.0005704506560182
