adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
immediately,14,32.86,105.04,0,0,0.0,0.75,393,460,3.1968862086187064,393,0.75,1.875,-1.125,2.346759748609521,1.2901732273642141
as,14,21.07,51.31,0,0,0.0,4.25,168,295,2.434823849907105,168,4.25,10.625,-6.375,3.0748384195993523,1.5359422271530743
so,14,12.71,31.43,0,0,0.0,2.5,108,178,2.471721529696566,108,2.5,6.25,-3.75,2.5391391422884078,1.4159672143895314
too,14,10.64,24.07,0,0,0.5,2.75,84,149,2.261831519142219,84,2.75,6.875,-4.125,2.964000276594793,1.6436120121377
more,14,7.29,9.05,0,1,2.5,10.5,25,102,1.242229567133047,25,9.5,24.75,-13.25,4.488663244912505,2.5949337008697304
very,14,6.86,17.36,0,0,0.0,1.0,59,96,2.5316374215491515,59,1.0,2.5,-1.5,2.0581950507330187,1.3488240294701048
that,14,6.79,16.71,0,0,0.0,0.0,50,95,2.461998412173937,50,0.0,0.0,0.0,1.9127134053055967,1.2397209800022209
yet,14,4.29,12.98,0,0,0.0,0.0,48,60,3.0290897337953884,48,0.0,0.0,0.0,1.5859725772316249,1.1572800415260835
really,14,3.07,8.11,0,0,0.0,1.0,30,43,2.6402972270375886,30,1.0,2.5,-1.5,1.7990315570124638,1.3377170451042844
much,14,2.57,6.82,0,0,0.0,0.0,23,36,2.653904647221374,23,0.0,0.0,0.0,1.5151401455513038,1.1557739557739557
quite,14,2.36,5.75,0,0,0.0,0.75,19,33,2.4376957705245736,19,0.75,1.875,-1.125,1.6424886659517377,1.2582094711372278
even,14,2.29,5.61,0,0,0.0,0.0,16,32,2.4535345383281713,16,0.0,0.0,0.0,1.5681944821244256,1.2046820626384056
only,14,2.14,8.02,0,0,0.0,0.0,30,30,3.7416573867739413,30,0.0,0.0,0.0,1.2779852319838285,1.0742574257425743
legally,14,2.07,6.23,0,0,0.0,0.0,23,29,3.0086615412243303,23,0.0,0.0,0.0,1.4419515326529806,1.1489985344406448
entirely,14,1.93,5.21,0,0,0.0,0.0,18,27,2.7016930431019177,18,0.0,0.0,0.0,1.454682165383272,1.152013858813339
just,14,1.79,4.41,0,0,0.0,0.0,14,25,2.4673124587758983,14,0.0,0.0,0.0,1.5131913598241136,1.2009357941252925
always,14,1.79,4.76,0,0,0.0,0.0,17,25,2.6647326319914346,17,0.0,0.0,0.0,1.4985488060076992,1.1985731272294886
particularly,14,1.64,3.91,0,0,0.0,0.0,14,23,2.3828064268707605,14,0.0,0.0,0.0,1.5470885771800473,1.2244897959183674
any,14,1.21,2.86,0,0,0.0,0.75,10,17,2.3555415495130982,10,0.75,1.875,-1.125,1.4892640604769856,1.243606998654105
overly,14,1.14,2.77,0,0,0.0,0.0,9,16,2.42334400237485,9,0.0,0.0,0.0,1.423294790252402,1.1922141119221412
necessarily,14,1.0,2.8,0,0,0.0,0.0,10,14,2.8010986855435576,10,0.0,0.0,0.0,1.3314094056752328,1.1390532544378698
fully,14,0.93,2.73,0,0,0.0,0.0,10,13,2.9406200442898744,10,0.0,0.0,0.0,1.3103565287893406,1.134438305709024
less,14,0.86,1.99,0,0,0.0,0.0,7,12,2.3269142473520414,7,0.0,0.0,0.0,1.3854498257163286,1.195729537366548
all,14,0.79,1.85,0,0,0.0,0.0,6,11,2.3509611728204587,6,0.0,0.0,0.0,1.3545427531884773,1.1821471652593487
completely,14,0.79,2.42,0,0,0.0,0.0,9,11,3.0845265241103443,9,0.0,0.0,0.0,1.2749955266809756,1.126005361930295
exactly,14,0.71,1.86,0,0,0.0,0.0,6,10,2.6005916486593814,6,0.0,0.0,0.0,1.289111772755134,1.1342592592592593
terribly,14,0.71,2.16,0,0,0.0,0.0,8,10,3.0290897337953875,8,0.0,0.0,0.0,1.2654362431816537,1.125
earlier,14,0.57,2.14,0,0,0.0,0.0,8,8,3.741657386773941,8,0.0,0.0,0.0,1.169930812758687,1.0677966101694916
nearly,14,0.57,1.5,0,0,0.0,0.0,5,8,2.633000628122278,5,0.0,0.0,0.0,1.2548346928015839,1.1275167785234899
readily,14,0.57,1.87,0,0,0.0,0.0,7,8,3.271379384437561,7,0.0,0.0,0.0,1.2190136542044754,1.108910891089109
real,14,0.57,1.65,0,0,0.0,0.0,6,8,2.8889710704944496,6,0.0,0.0,0.0,1.2429230307022932,1.1221374045801527
mentally,14,0.43,1.09,0,0,0.0,0.0,3,6,2.5419556372089707,3,0.0,0.0,0.0,1.2190136542044754,1.12
politically,14,0.43,1.09,0,0,0.0,0.0,4,6,2.5419556372089707,4,0.0,0.0,0.0,1.2385989684455543,1.1475409836065573
most,14,0.43,1.09,0,0,0.0,0.0,4,6,2.5419556372089707,4,0.0,0.0,0.0,1.2385989684455543,1.1475409836065573
sufficiently,14,0.43,1.6,0,0,0.0,0.0,6,6,3.7416573867739418,6,0.0,0.0,0.0,1.1491167250354177,1.065217391304348
totally,14,0.43,1.16,0,0,0.0,0.0,4,6,2.701693043101918,4,0.0,0.0,0.0,1.2134070628525067,1.1170212765957446
