neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,112,11.79,42.38,0,1,2,6,393,1321,3.5928784864623458,393,5,13.5,-6.5,3.932032941220395,2.533472888186318
n't,112,5.04,14.69,0,0,0,2,110,565,2.9119641176586195,110,2,5.0,-3.0,2.188319708474954,1.5037831953826273
never,112,0.41,1.81,0,0,0,0,14,46,4.403683497388221,14,0,0.0,0.0,1.145742697832239,1.0749133564382831
no,112,0.35,2.38,0,0,0,0,24,39,6.8276457819983065,24,0,0.0,0.0,1.0920531124458455,1.0443052728092124
nothing,112,0.25,1.17,0,0,0,0,11,28,4.665379487862244,11,0,0.0,0.0,1.11433055699784,1.0680228862047043
none,112,0.2,1.01,0,0,0,0,9,22,5.151967990888316,9,0,0.0,0.0,1.084294972560276,1.0473815461346634
nobody,112,0.07,0.35,0,0,0,0,2,8,4.869467292395721,2,0,0.0,0.0,1.0426908662861258,1.0275229357798166
without,112,0.05,0.32,0,0,0,0,3,6,6.054804758261049,3,0,0.0,0.0,1.0314278150939225,1.020501138952164
hardly,112,0.04,0.3,0,0,0,0,3,4,8.343957191981609,3,0,0.0,0.0,1.0187398703781678,1.0112866817155757
scarcely,112,0.04,0.27,0,0,0,0,2,4,7.449529884193734,2,0,0.0,0.0,1.019811775641927,1.0120481927710843
few,112,0.02,0.13,0,0,0,0,1,2,7.449529884193734,1,0,0.0,0.0,1.012454548098765,1.009009009009009
neither,112,0.02,0.13,0,0,0,0,1,2,7.4495298841937325,1,0,0.0,0.0,1.012454548098765,1.009009009009009
barely,112,0.01,0.09,0,0,0,0,1,1,10.583005244258363,1,0,0.0,0.0,1.0062080043901287,1.0044843049327354
rarely,112,0.01,0.09,0,0,0,0,1,1,10.583005244258363,1,0,0.0,0.0,1.0062080043901287,1.0044843049327354
