neg_head,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
ADJ,877,2.28,10.71,0,1,1,2,225,1996,4.707067698370163,225,1,3.5,-0.5,2.41114413110781,2.2069731272340523
NEG,877,0.06,0.27,0,0,0,0,3,53,4.5349743351037155,3,0,0.0,0.0,1.040449036128314,1.0285379202501954
