adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
good,1021,2847.06,27176.93,0,4,22,136,644398,2906847,9.545615459539873,644398,132,334.0,-194.0,32.520767725702456,5.887456142678051
many,1021,2424.34,42909.0,0,0,1,10,1191059,2475249,17.699264519103256,1191059,10,25.0,-15.0,4.669853342095871,1.9703133514843234
important,1021,2166.79,28252.93,0,0,4,30,746782,2212296,13.039049824164694,746782,30,75.0,-45.0,9.694851419468899,2.6370273437273
much,1021,1988.28,29915.27,0,0,0,2,613054,2030037,15.045779930952627,613054,2,5.0,-3.0,2.6287239100892053,1.485369301109513
likely,1021,1034.74,17445.93,0,0,0,3,498300,1056471,16.860186968145026,498300,3,7.5,-4.5,2.7987523739627242,1.4674445198491264
more,1021,1015.54,13506.14,0,0,2,24,353963,1036868,13.299441002565121,353963,24,60.0,-36.0,7.373617920853521,2.2663723362404204
easy,1021,971.93,8369.35,0,1,5,30,137053,992345,8.611024224079948,137053,29,73.5,-42.5,10.261732989937867,2.8907968187317685
different,1021,895.05,8827.64,0,1,7,37,232538,913841,9.862785114743962,232538,36,91.0,-53.0,12.825620444363851,3.502982742452595
difficult,1021,822.37,9626.58,0,1,5,30,220118,839636,11.705957380723945,220118,29,73.5,-42.5,10.00424678676268,3.0095435217773754
available,1021,822.05,7575.84,0,0,1,18,143793,839313,9.215786209235167,143793,18,45.0,-27.0,6.285286291989265,1.9992845718739791
sure,1021,814.69,17467.95,0,0,0,2,548852,831794,21.441344540406778,548852,2,5.0,-3.0,2.824958144821722,1.5230015928343674
high,1021,813.21,6496.64,0,2,13,74,142347,830288,7.988883182877061,142347,72,182.0,-106.0,19.75653346773183,4.300364602460796
popular,1021,803.39,12783.21,0,0,2,15,387869,820263,15.911551283455948,387869,15,37.5,-22.5,6.301126244055709,2.207965528127842
bad,1021,743.03,6204.28,0,1,9,47,89460,758630,8.350012774580927,89460,46,116.0,-68.0,13.610575281979875,3.5283608610547073
common,1021,547.04,9112.0,0,0,1,6,272323,558530,16.656855393200797,272323,6,15.0,-9.0,3.6998876074595173,1.7480120461203568
close,1021,539.95,5043.49,0,1,6,29,109906,551286,9.340713018334721,109906,28,71.0,-41.0,10.977498740720808,3.343194083019057
happy,1021,532.81,5737.96,0,0,4,22,140987,543999,10.769247770394225,140987,22,55.0,-33.0,8.049193405199558,2.597562013980627
effective,1021,526.27,6793.07,0,1,4,22,148838,537322,12.907939924229083,148838,21,53.5,-30.5,8.029026747641277,2.7895084234726872
hard,1021,517.54,4535.25,0,1,4,23,94633,528407,8.763108384295675,94633,22,56.0,-32.0,8.455960425009188,2.7672072145825535
great,1021,509.66,4008.15,0,1,4,22,66928,520365,7.864319788150662,66928,21,53.5,-30.5,8.303614893039539,2.708147643841857
clear,1021,493.45,4878.29,0,1,4,24,110617,503815,9.886039892875283,110617,23,58.5,-33.5,9.04127015891527,2.9027463182219404
interesting,1021,483.11,5668.11,0,0,3,15,109819,493255,11.73254950368455,109819,15,37.5,-22.5,6.402778292949869,2.367216441685725
small,1021,482.84,5014.05,0,0,4,25,116833,492984,10.384414165689668,116833,25,62.5,-37.5,8.42803092451835,2.648492068889532
big,1021,478.63,4472.99,0,0,2,13,84673,488679,9.34543834910782,84673,13,32.5,-19.5,5.998769484313724,2.2265131612591205
little,1021,463.2,8247.97,0,0,1,5,241408,472929,17.806423229085954,241408,5,12.5,-7.5,3.316935606697669,1.7057568461768984
large,1021,445.46,3987.08,0,1,5,32,87986,454815,8.95047281293575,87986,31,78.5,-45.5,9.689571176816381,2.813791468970278
expensive,1021,444.5,5384.45,0,0,1,11,131598,453838,12.11340302113426,131598,11,27.5,-16.5,5.001567282890254,1.9881003658006116
enough,1021,440.81,8221.3,0,0,1,11,257051,450063,18.650608526647137,257051,11,27.5,-16.5,5.053910274038085,1.9667743155786728
strong,1021,435.83,4228.04,0,1,6,33,113470,444985,9.701076496953666,113470,32,81.0,-47.0,11.463918827521587,3.4293644696379237
simple,1021,430.37,4302.78,0,1,5,22,89210,439412,9.99776084264186,89210,21,53.5,-30.5,8.340454661062944,2.8096588224808334
low,1021,428.25,3561.92,0,1,8,49,86974,437246,8.317332582010511,86974,48,121.0,-71.0,13.310936054641504,3.4316049224823755
able,1021,419.56,5469.56,0,0,1,13,165755,428371,13.036404791228106,165755,13,32.5,-19.5,5.4867325166180505,1.9415126898311508
powerful,1021,412.74,5807.24,0,0,3,16,148690,421412,14.069816542897733,148690,16,40.0,-24.0,6.63924472113277,2.5440940747298306
successful,1021,400.72,4308.28,0,0,3,23,112257,409140,10.751207461121849,112257,23,57.5,-34.5,7.929958045545011,2.5160693873760565
recent,1021,384.99,9731.92,0,0,0,1,304317,393072,25.27855577862684,304317,1,2.5,-1.5,1.613806102342795,1.2258532554836528
possible,1021,359.87,3417.59,0,0,1,10,91264,367431,9.496628335769874,91264,10,25.0,-15.0,5.197430473651055,1.9518008894324248
excited,1021,358.03,3976.2,0,0,1,7,80229,365546,11.105850417891423,80229,7,17.5,-10.5,4.056520356775629,1.7845584630508928
interested,1021,356.03,3398.4,0,0,2,14,75236,363502,9.545398444951482,75236,14,35.0,-21.0,5.524475280249073,1.9909124470401884
new,1021,349.07,3080.53,0,0,2,12,46484,356404,8.824863769051825,46484,12,30.0,-18.0,5.705768707922609,2.2055944858763263
true,1021,325.47,3217.4,0,0,3,15,86560,332308,9.885295993934152,86560,15,37.5,-22.5,6.9335250174992185,2.493177661670059
nice,1021,314.82,4174.97,0,0,1,6,110208,321433,13.261386672525598,110208,6,15.0,-9.0,3.806750859383002,1.784919911218957
aware,1021,313.14,3104.68,0,0,3,16,70452,319719,9.914578854242437,70452,16,40.0,-24.0,6.754658374189675,2.4310188640824664
beautiful,1021,310.06,3657.14,0,1,5,27,104411,316573,11.794889757778389,104411,26,66.0,-38.0,9.23233554532737,2.979454040272998
few,1021,307.36,5521.32,0,0,0,4,170091,313811,17.963889938173956,170091,4,10.0,-6.0,2.972362061447388,1.5688124703288615
comfortable,1021,304.84,4010.46,0,0,1,9,113969,311245,13.155823853078896,113969,9,22.5,-13.5,4.6573278784874,1.9764010457915377
worth,1021,304.64,3376.29,0,0,0,5,71192,311039,11.082835787421068,71192,5,12.5,-7.5,3.641697009692812,1.617518680132592
serious,1021,293.94,3688.8,0,0,2,8,89403,300115,12.549390686723875,89403,8,20.0,-12.0,4.556561742349503,2.0412374027098235
dangerous,1021,288.14,2895.76,0,0,3,15,60517,294192,10.04980923211453,60517,15,37.5,-22.5,6.146626803151087,2.3851535520204896
long,1021,277.5,3529.02,0,0,3,18,103830,283326,12.717256694244988,103830,18,45.0,-27.0,7.003240887138786,2.459708855378513
cool,1021,253.37,2594.74,0,1,3,17,55606,258692,10.240850552491038,55606,16,41.0,-23.0,6.876384664722233,2.6005444705570153
open,1021,252.04,2193.87,0,0,4,19,48397,257334,8.70441474332773,48397,19,47.5,-28.5,7.38180394306589,2.5944225368682345
complex,1021,250.77,3497.97,0,0,3,18,105244,256041,13.948647644351329,105244,18,45.0,-27.0,6.624677056597109,2.4521786989222494
efficient,1021,250.74,4652.45,0,0,1,6,140097,256006,18.55483990084851,140097,6,15.0,-9.0,3.774071511487399,1.8893556122069024
concerned,1021,249.31,1971.59,0,0,1,12,44045,254549,7.9080760285561125,44045,12,30.0,-18.0,5.0200387437486995,1.8978595295385297
useful,1021,248.92,2424.85,0,0,2,12,60096,254152,9.741297483639304,60096,12,30.0,-18.0,5.462724235238555,2.103522583426516
young,1021,248.55,2628.47,0,0,1,9,59412,253771,10.575143680791573,59412,9,22.5,-13.5,4.512572485407273,1.9793075326692264
short,1021,246.24,2392.18,0,0,4,21,59540,251413,9.714764796207497,59540,21,52.5,-31.5,7.415168078684426,2.57446624853662
significant,1021,242.51,3058.29,0,0,1,9,86719,247602,12.611005914860748,86719,9,22.5,-13.5,4.470352654777059,1.892907137632296
famous,1021,236.95,5210.51,0,0,0,4,165144,241928,21.98973024684273,165144,4,10.0,-6.0,3.1173466768726534,1.6242009470107832
ready,1021,235.09,2881.38,0,0,1,9,85482,240027,12.256488705649796,85482,9,22.5,-13.5,4.671422685406546,1.9286783828512513
exciting,1021,229.89,2710.02,0,0,1,8,61599,234718,11.788305766395492,61599,8,20.0,-12.0,4.163489766438237,1.9436886795926234
active,1021,225.73,2156.82,0,0,2,12,44899,230473,9.554769051255937,44899,12,30.0,-18.0,5.340723058907958,2.1294446180958797
fun,1021,222.29,1951.48,0,0,1,9,39542,226958,8.778991799378472,39542,9,22.5,-13.5,4.387577738641106,1.9069261720131194
proud,1021,219.9,2588.81,0,0,1,6,67654,224519,11.772625911103146,67654,6,15.0,-9.0,3.7430302819837533,1.7474257865730511
similar,1021,215.91,3114.7,0,0,2,17,96896,220448,14.425674920859823,96896,17,42.5,-25.5,6.228423201770136,2.3294196414204302
less,1021,207.9,2435.53,0,0,1,5,58208,212268,11.71479587230398,58208,5,12.5,-7.5,3.456488907739513,1.6563114165932273
familiar,1021,206.2,1866.55,0,0,2,12,42593,210535,9.051906593260716,42593,12,30.0,-18.0,5.533030963996298,2.186042959127254
responsible,1021,201.23,1581.3,0,0,1,10,39622,205457,7.858151725891153,39622,10,25.0,-15.0,4.840253905933199,1.8801833832714294
impossible,1021,200.55,2230.03,0,0,1,7,51155,204758,11.119745963295717,51155,7,17.5,-10.5,4.186267301851599,1.8278843334133215
free,1021,199.43,1464.08,0,0,3,17,25188,203613,7.341496858600278,25188,17,42.5,-25.5,6.6793345535129784,2.370340300199027
busy,1021,197.16,2364.48,0,0,1,7,60062,201304,11.992463581599472,60062,7,17.5,-10.5,4.240466352672228,1.9273541784044352
right,1021,196.38,1968.56,0,0,2,7,43163,200505,10.024165188051162,43163,7,17.5,-10.5,4.4689786033907,2.0380426599635566
special,1021,196.3,2902.67,0,0,0,3,84437,200420,14.787066915743727,84437,3,7.5,-4.5,2.751456341059119,1.5624316981590247
helpful,1021,195.12,2234.29,0,0,1,7,64084,199219,11.450780524098962,64084,7,17.5,-10.5,3.9862223871956686,1.8369737478229589
valuable,1021,192.24,2492.86,0,0,1,5,65023,196277,12.967415933153456,65023,5,12.5,-7.5,3.2855946386368826,1.647015986788124
impressive,1021,190.76,1825.16,0,0,1,7,37770,194762,9.568046510142267,37770,7,17.5,-10.5,4.264828502355063,1.9068513861403182
obvious,1021,188.73,1713.14,0,0,1,8,41273,192692,9.077256886571375,41273,8,20.0,-12.0,4.4320823115345,1.974777304177955
old,1021,186.44,1724.82,0,0,2,10,35077,190356,9.251295942364083,35077,10,25.0,-15.0,5.162867224982262,2.158274466585823
safe,1021,184.14,1196.22,0,0,2,14,23961,188010,6.49616212543141,23961,14,35.0,-21.0,5.954281361575321,2.1706516771127666
unique,1021,183.73,1482.08,0,0,2,13,26724,187589,8.066609309626985,26724,13,32.5,-19.5,5.778533222492608,2.318769782178493
wrong,1021,182.54,1003.1,0,1,4,22,13262,186370,5.495338736579147,13262,21,53.5,-30.5,8.078534477302176,2.6874270939967384
positive,1021,180.58,1916.95,0,0,3,15,42196,184375,10.615359510117765,42196,15,37.5,-22.5,6.298031074372217,2.3565963725528767
necessary,1021,180.45,2064.28,0,0,1,8,60691,184242,11.439452625167565,60691,8,20.0,-12.0,4.265001246654938,1.80223049272714
complicated,1021,175.71,2625.02,0,0,1,7,79705,179400,14.939488199251551,79705,7,17.5,-10.5,4.055070394420539,1.9037680295988153
hot,1021,173.46,1577.05,0,0,3,15,31427,177102,9.091757113497916,31427,15,37.5,-22.5,6.418061887609496,2.457671140569497
accurate,1021,173.21,2130.29,0,0,2,11,61801,176848,12.298833955952874,61801,11,27.5,-16.5,5.280576843775362,2.184080736008488
amazing,1021,169.14,1620.85,0,0,1,5,37766,172690,9.582976162080222,37766,5,12.5,-7.5,3.5914261798813176,1.7986289853446267
