adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
good,1417,2053.88,23100.98,0,2,11,58,644398,2910353,11.24746249800131,644398,56,142.0,-82.0,18.112466675801556,4.1101037192920336
many,1417,1747.43,36434.29,0,0,1,5,1191059,2476111,20.85019152862588,1191059,5,12.5,-7.5,3.428575993510635,1.70451275956592
important,1417,1562.45,23998.69,0,0,2,15,746782,2213986,15.359692911196234,746782,15,37.5,-22.5,6.0073460037697375,2.0791741095956233
much,1417,1433.16,25405.58,0,0,0,1,613054,2030789,17.726953807036452,613054,1,2.5,-1.5,2.1215666690299213,1.3546325249632503
likely,1417,745.65,14814.13,0,0,0,1,498300,1056589,19.86734848930441,498300,1,2.5,-1.5,2.170242281146004,1.3309896786402942
more,1417,732.63,11472.04,0,0,1,10,353963,1038133,15.658764968200888,353963,10,25.0,-15.0,4.876209688418928,1.8742573619959548
easy,1417,701.7,7116.58,0,0,2,16,137053,994315,10.141849352943417,137053,16,40.0,-24.0,6.465494409590866,2.2868656351486947
different,1417,645.76,7502.95,0,1,3,20,232538,915049,11.61870767717385,232538,19,48.5,-27.5,7.738275641452266,2.6040437389193314
available,1417,593.5,6440.31,0,0,1,9,143793,840989,10.851415018469783,143793,9,22.5,-13.5,4.343141755487194,1.731347572686138
difficult,1417,593.13,8178.64,0,0,2,14,220118,840461,13.789027038062612,220118,14,35.0,-21.0,6.191621397810468,2.2953093778978424
high,1417,587.86,5525.76,0,1,6,38,142347,832999,9.399777125068118,142347,37,93.5,-54.5,11.500243209611709,3.1249199093994426
sure,1417,587.18,14830.04,0,0,0,1,548852,832031,25.25647630122759,548852,1,2.5,-1.5,2.227118051178033,1.383103024185724
popular,1417,579.16,10855.44,0,0,1,7,387869,820675,18.74330577564511,387869,7,17.5,-10.5,4.13914222729033,1.8021491543262067
bad,1417,536.31,5276.21,0,1,4,25,89460,759946,9.838046035528285,89460,24,61.0,-35.0,8.307395419792739,2.691028613865375
common,1417,394.32,7737.5,0,0,0,3,272323,558754,19.622296009448693,272323,3,7.5,-4.5,2.73874574754165,1.531040874424076
close,1417,389.96,4287.34,0,0,3,15,109906,552576,10.994254031677976,109906,15,37.5,-22.5,6.844576539376609,2.5331390916337164
happy,1417,384.48,4875.79,0,0,2,11,140987,544806,12.68158041515942,140987,11,27.5,-16.5,5.265415176080105,2.0933284192042962
effective,1417,379.83,5770.26,0,0,2,11,148838,538225,15.19153008650074,148838,11,27.5,-16.5,5.296142820651966,2.215708595022582
hard,1417,373.28,3856.16,0,0,2,10,94633,528942,10.330393026755024,94633,10,25.0,-15.0,5.265039066340822,2.1122988250189745
great,1417,367.68,3409.46,0,0,2,11,66928,521001,9.2729331990128,66928,11,27.5,-16.5,5.329845575118448,2.1370742835158882
clear,1417,356.14,4146.21,0,0,2,13,110617,504653,11.642028790808675,110617,13,32.5,-19.5,5.803094260556137,2.2803580925483935
small,1417,348.64,4261.03,0,0,2,13,116833,494024,12.221830386667714,116833,13,32.5,-19.5,5.5042033136877855,2.143244659489261
interesting,1417,348.41,4815.54,0,0,1,8,109819,493696,13.821516141593639,109819,8,20.0,-12.0,4.26617706429342,1.9174766511765218
big,1417,345.18,3802.4,0,0,1,7,84673,489116,11.015781033357126,84673,7,17.5,-10.5,4.082836303664626,1.8512299699889667
little,1417,333.92,7003.36,0,0,0,3,241408,473161,20.973324854345577,241408,3,7.5,-4.5,2.5147862298110017,1.4941400374173615
large,1417,322.45,3389.73,0,0,2,16,87986,456916,10.512308118550532,87986,16,40.0,-24.0,6.412218986358504,2.28997927531036
expensive,1417,320.71,4574.26,0,0,1,6,131598,454447,14.26287773736277,131598,6,15.0,-9.0,3.5665095548975065,1.7037009827155385
enough,1417,318.42,6980.42,0,0,1,6,257051,451205,21.921866725907247,257051,6,15.0,-9.0,3.6957505424896486,1.7208289455475667
strong,1417,314.59,3593.74,0,1,3,18,113470,445778,11.423466543949866,113470,17,43.5,-24.5,7.029526201010676,2.574411611693426
simple,1417,311.1,3656.92,0,0,3,12,89210,440832,11.754707195807201,89210,12,30.0,-18.0,5.696683118090066,2.294134558918975
low,1417,309.92,3029.09,0,0,3,26,86974,439162,9.773646806011485,86974,26,65.0,-39.0,8.146416316182991,2.612516127874646
able,1417,302.72,4645.96,0,0,1,6,165755,428956,15.347316800946741,165755,6,15.0,-9.0,3.791295741021014,1.6766972591509754
powerful,1417,297.79,4932.22,0,0,2,9,148690,421971,16.56265177228928,148690,9,22.5,-13.5,4.500870119932891,2.0528150269803125
successful,1417,289.14,3660.94,0,0,2,11,112257,409715,12.661380281299794,112257,11,27.5,-16.5,5.107250291289509,2.0330648540858385
recent,1417,277.41,8261.56,0,0,0,0,304317,393091,29.78097071822354,304317,0,0.0,0.0,1.4240863842139428,1.1611049496260128
possible,1417,259.98,2905.06,0,0,1,6,91264,368393,11.174138543800334,91264,6,15.0,-9.0,3.624464166211407,1.6683601647973207
excited,1417,258.24,3378.52,0,0,0,3,80229,365923,13.082964316026061,80229,3,7.5,-4.5,2.9514724910293215,1.5508334516739268
interested,1417,256.79,2888.72,0,0,1,6,75236,363873,11.249308905743705,75236,6,15.0,-9.0,3.7270735840980485,1.6741235445500116
new,1417,251.86,2619.19,0,0,1,6,46484,356890,10.399251648090164,46484,6,15.0,-9.0,3.9056402109098594,1.8256844055908485
true,1417,235.06,2734.56,0,0,2,8,86560,333075,11.633621863915861,86560,8,20.0,-12.0,4.658018969151214,2.0286297975250838
nice,1417,227.03,3546.22,0,0,0,3,110208,321701,15.620079471287772,110208,3,7.5,-4.5,2.810485226709303,1.5547971737002027
aware,1417,225.95,2638.75,0,0,1,8,70452,320177,11.678250782697255,70452,8,20.0,-12.0,4.399317625639803,1.9208393168059865
beautiful,1417,224.8,3106.95,0,0,3,16,104411,318540,13.821013518915791,104411,16,40.0,-24.0,6.423320499037724,2.463236922639157
few,1417,221.57,4688.12,0,0,0,2,170091,313962,21.158833791924987,170091,2,5.0,-3.0,2.2838150189492716,1.3983334193861565
worth,1417,219.87,2868.8,0,0,0,3,71192,311559,13.047554146260838,71192,3,7.5,-4.5,2.69711289514685,1.4404726651677402
comfortable,1417,219.82,3406.53,0,0,1,4,113969,311487,15.496812395963111,113969,4,10.0,-6.0,3.259942873137455,1.6621058709644754
serious,1417,211.95,3133.55,0,0,1,4,89403,300328,14.784650206751751,89403,4,10.0,-6.0,3.213543109991077,1.7015053866672005
dangerous,1417,207.92,2461.09,0,0,1,8,60517,294625,11.836627859777204,60517,8,20.0,-12.0,4.061696036425332,1.887138946203718
long,1417,200.84,2997.72,0,0,2,11,103830,284590,14.925902501396251,103830,11,27.5,-16.5,4.836314589316565,2.0347017774117657
cool,1417,183.03,2205.12,0,0,2,9,55606,259354,12.047864868843265,55606,9,22.5,-13.5,4.6570285035790935,2.1077979770770687
open,1417,182.09,1865.39,0,0,2,10,48397,258025,10.244176972315248,48397,10,25.0,-15.0,5.009799308961261,2.1464452307825774
complex,1417,181.79,2970.91,0,0,2,11,105244,257596,16.342575909312586,105244,11,27.5,-16.5,4.605769059698837,2.006555223028117
efficient,1417,180.97,3950.25,0,0,1,4,140097,256440,21.827754054983174,140097,4,10.0,-6.0,2.8690616405738663,1.6438523972862593
concerned,1417,179.87,1677.06,0,0,0,4,44045,254869,9.323984731503026,44045,4,10.0,-6.0,3.422439757580285,1.6121095906971934
useful,1417,179.66,2061.04,0,0,1,6,60096,254575,11.472053107505957,60096,6,15.0,-9.0,3.744052793150232,1.7570522452905106
young,1417,179.39,2233.62,0,0,1,4,59412,254193,12.451334745740368,59412,4,10.0,-6.0,3.2236431394172627,1.679641115901548
short,1417,177.85,2033.28,0,0,2,11,59540,252012,11.432636086479855,59540,11,27.5,-16.5,4.910473581501763,2.080087611484855
significant,1417,174.95,2597.92,0,0,0,4,86719,247904,14.849512266149528,86719,4,10.0,-6.0,3.1761082557759193,1.617013313143402
famous,1417,170.82,4423.58,0,0,0,2,165144,242047,25.896684767328424,165144,2,5.0,-3.0,2.3699064954120987,1.4372889163462865
ready,1417,169.75,2447.76,0,0,1,5,85482,240529,14.420197607335677,85482,5,12.5,-7.5,3.3607640746244978,1.6701050391364323
exciting,1417,165.82,2302.37,0,0,1,4,61599,234971,13.884506204522195,61599,4,10.0,-6.0,3.0021459017533476,1.643433200460298
active,1417,163.52,1833.34,0,0,1,6,44899,231710,11.211583041265648,44899,6,15.0,-9.0,3.7479309656588837,1.7817850147976968
fun,1417,160.42,1659.26,0,0,1,4,39542,227322,10.342887522373822,39542,4,10.0,-6.0,3.1665226163270095,1.6387672728225888
proud,1417,158.62,2199.4,0,0,0,3,67654,224769,13.865578830332478,67654,3,7.5,-4.5,2.752317498421981,1.5173156428337953
similar,1417,156.05,2645.29,0,0,1,8,96896,221127,16.951209770482887,96896,8,20.0,-12.0,4.212697320831276,1.8952535221010864
