adj_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
fancy,316,40.99,195.4,0,0.0,1.0,6.0,1950,12953,4.767067957744545,1950,6.0,15.0,-9.0,3.5426024120356403,1.815416507700932
pricey,316,40.87,187.53,0,0.0,1.0,8.25,1814,12916,4.588169429366274,1814,8.25,20.625,-12.375,3.6715277001415534,1.774074839505069
meaningless,316,40.8,113.49,0,0.0,2.0,13.0,841,12894,2.781336184318219,841,13.0,32.5,-19.5,5.283444853824696,2.1227438346443512
generic,316,40.68,218.64,0,0.0,2.0,9.0,3214,12856,5.374150140357572,3214,9.0,22.5,-13.5,4.430504283528657,2.153771165315907
provocative,316,40.67,188.59,0,0.0,3.0,15.0,2354,12853,4.636620893285454,2354,15.0,37.5,-22.5,5.729407233787631,2.4848065728657427
horrific,316,40.64,246.98,0,0.0,1.0,7.25,3797,12842,6.077407394478151,3797,7.25,18.125,-10.875,4.049388594463516,2.0136951507342564
passive,316,40.64,186.29,0,0.0,3.0,14.5,2517,12841,4.584278093693065,2517,14.5,36.25,-21.75,5.730039705922519,2.4852817618657133
sturdy,316,40.53,230.51,0,0.0,1.0,7.0,3549,12808,5.68723823804789,3549,7.0,17.5,-10.5,3.9399509930842407,1.8962921571875382
alike,316,40.48,257.88,0,0.0,1.0,5.0,3005,12791,6.37083654668508,3005,5.0,12.5,-7.5,3.0972391847223975,1.7123923163199744
defensive,316,40.46,221.47,0,1.0,3.0,16.25,3479,12786,5.473518059953641,3479,15.25,39.125,-21.875,5.9597569681847755,2.6146347622298993
respectable,316,40.39,243.89,0,0.0,2.0,8.25,3259,12764,6.037903624215946,3259,8.25,20.625,-12.375,4.273117753511146,2.1231793377286836
abstract,316,40.34,205.05,0,0.0,2.0,10.25,3051,12746,5.083507682772251,3051,10.25,25.625,-15.375,4.935876919232578,2.2516357332570065
tedious,316,40.22,165.38,0,0.0,2.0,11.25,1856,12709,4.1120042988714225,1856,11.25,28.125,-16.875,4.927102168139554,2.1791811424637304
ongoing,316,40.04,505.6,0,0.0,0.0,2.0,8901,12654,12.626028737043606,8901,2.0,5.0,-3.0,2.160138986347147,1.4038077118550043
trustworthy,316,40.03,243.48,0,0.0,1.0,7.0,2977,12648,6.083184601451645,2977,7.0,17.5,-10.5,3.6793982450857508,1.8628627610168604
digital,316,39.96,209.39,0,0.0,1.0,7.25,2571,12628,5.239619203235595,2571,7.25,18.125,-10.875,3.698121162285584,1.8209280581898744
troublesome,316,39.79,207.66,0,0.0,2.0,6.5,2237,12574,5.218683988612227,2237,6.5,16.25,-9.75,4.037065291947288,2.033613108791952
insightful,316,39.78,205.81,0,0.0,2.0,10.0,2527,12572,5.173173334903806,2527,10.0,25.0,-15.0,4.485920341565795,2.1134495847563177
foolish,316,39.75,163.67,0,0.0,2.0,14.0,1838,12562,4.117114065051218,1838,14.0,35.0,-21.0,5.228911146899551,2.2488188499269564
ambiguous,316,39.63,180.1,0,0.0,3.0,14.0,2404,12522,4.544918424255306,2404,14.0,35.0,-21.0,5.78375394252495,2.5528156258342873
equivalent,316,39.6,263.03,0,0.0,1.0,13.25,4265,12513,6.642589874093784,4265,13.25,33.125,-19.875,4.52074603213041,1.9841951711342336
stubborn,316,39.57,198.71,0,0.0,1.0,6.25,1997,12505,5.021321130686774,1997,6.25,15.625,-9.375,3.6465752623834957,1.8249402135827941
motivated,316,39.51,475.27,0,0.0,0.0,1.0,8280,12485,12.029167517406115,8280,1.0,2.5,-1.5,1.977551189759603,1.3584384147418298
humorous,316,39.43,236.27,0,0.0,3.0,10.25,3790,12459,5.992521458284614,3790,10.25,25.625,-15.375,4.992586879628896,2.3264549852060146
financial,316,39.4,329.56,0,0.0,0.0,5.0,5426,12449,8.36550773943951,5426,5.0,12.5,-7.5,2.8867138363557516,1.617020875304134
spicy,316,39.37,171.29,0,0.0,2.0,10.0,1798,12441,4.350846637209769,1798,10.0,25.0,-15.0,4.577385829984228,2.0736441641998926
primitive,316,39.32,253.5,0,0.0,2.0,7.0,3234,12426,6.446764246879655,3234,7.0,17.5,-10.5,3.7966993448211297,1.9881354307314354
drastic,316,39.3,276.57,0,0.0,0.0,2.0,4226,12418,7.037903528156671,4226,2.0,5.0,-3.0,2.3000614319305863,1.4324639057728266
revolutionary,316,39.28,176.97,0,0.0,2.0,12.0,2114,12411,4.505816591991381,2114,12.0,30.0,-18.0,4.719711847336419,2.1469254357054424
awake,316,39.04,194.35,0,0.0,1.0,8.25,1961,12336,4.978362286872334,1961,8.25,20.625,-12.375,4.012783811413867,1.9374561327909958
smaller,316,38.99,378.48,0,0.0,0.0,2.0,6405,12320,9.707766252415404,6405,2.0,5.0,-3.0,2.2167761436881044,1.386601077063455
magnificent,316,38.97,261.58,0,0.0,1.0,5.0,4107,12314,6.7126735113056215,4107,5.0,12.5,-7.5,3.4616588571196343,1.86942074075545
portable,316,38.86,204.34,0,0.0,1.0,6.0,2794,12281,5.257816820717914,2794,6.0,15.0,-9.0,3.4970910763881804,1.7982398440216651
compassionate,316,38.83,317.4,0,0.0,2.0,8.0,5246,12269,8.17491484652918,5246,8.0,20.0,-12.0,4.0179132737518755,2.135253749478434
grand,316,38.73,165.14,0,0.0,1.5,8.0,1435,12240,4.263406264628916,1435,8.0,20.0,-12.0,4.158552315041543,2.02854720539507
individual,316,38.72,210.32,0,0.0,2.0,9.25,2760,12237,5.431199974788123,2760,9.25,23.125,-13.875,4.3767348236125585,2.0997797193684002
fierce,316,38.6,179.49,0,0.0,2.0,8.0,2167,12198,4.64997531043336,2167,8.0,20.0,-12.0,4.542104649794341,2.1781032862205945
irresponsible,316,38.52,124.46,0,0.0,2.0,14.0,1445,12172,3.2312466621958458,1445,14.0,35.0,-21.0,5.739264971097852,2.380299531950699
objective,316,38.48,246.96,0,0.0,1.0,10.0,4030,12160,6.417684433671913,4030,10.0,25.0,-15.0,4.29087175238452,2.052755039235648
intensive,316,38.47,348.32,0,0.0,1.0,3.0,5770,12157,9.05404466547974,5770,3.0,7.5,-4.5,2.70092557551849,1.61722159091411
double,316,38.39,277.02,0,0.0,0.0,5.0,3421,12131,7.216001691968104,3421,5.0,12.5,-7.5,3.0103999071445875,1.6137481023118743
intrusive,316,38.29,222.45,0,0.0,1.0,6.0,2838,12100,5.8094984732246635,2838,6.0,15.0,-9.0,3.5475552882158907,1.8976659027021068
sore,316,38.24,180.93,0,0.0,1.0,6.25,1802,12085,4.730951324350574,1802,6.25,15.625,-9.375,3.861436308193504,1.9223193621248003
mandatory,316,38.23,402.01,0,0.0,0.0,6.25,7086,12081,10.515295641672955,7086,6.25,15.625,-9.375,3.2136374324386727,1.6630709296281931
irritating,316,38.19,147.83,0,0.0,3.0,12.0,1483,12068,3.8709361507703424,1483,12.0,30.0,-18.0,5.3416447696485525,2.340996004214257
hesitant,316,38.19,167.19,0,0.0,1.0,9.0,1802,12068,4.377861701036823,1802,9.0,22.5,-13.5,4.002102798284071,1.8581765498909635
devoid,316,37.98,165.07,0,0.0,2.0,15.0,2247,12002,4.346057417794513,2247,15.0,37.5,-22.5,5.125010124022054,2.1896151220548012
breathtaking,316,37.95,204.95,0,0.0,1.0,5.0,2779,11991,5.401167842341466,2779,5.0,12.5,-7.5,3.3948131923373936,1.726825266741671
secret,316,37.85,168.67,0,0.0,1.0,10.0,1900,11961,4.456077460648459,1900,10.0,25.0,-15.0,4.128571291075398,1.9151478886721613
