key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~exactly_sure,NEGATED,exactly_sure,8794,389.86666,54348.24352,3.6139104,0.9508106,0.0027702462,0.9947964,0.002770915,3173681,8840,71961373,8794.0,3164887.0,46.0,68787646.0,3173681.0,68787692.0,8840.0,71952533.0,3173291.133341396,8450.133341397,68779241.8666586,89.61892,0.005526436,1.3532704,0.0027702462,0.9508106,0.9508106,0.47679043,8404.13334,0.9556667,10.925016,10.881797,10.944376,10.991268,11.439467,11.122085,93.77632963600144,1781.4828093473145,94.02127418834527,exactly,sure,56109,256817
NEG~yet_clear,NEGATED,yet_clear,10406,461.79794,64207.43648,3.5384367,0.949828,0.0032778976,0.99379236,0.0032788424,3173681,10471,71961373,10406.0,3163275.0,65.0,68787627.0,3173681.0,68787692.0,10471.0,71950902.0,3173219.202060834,10009.202060833,68777682.79793917,97.48281,0.00653612,1.3528318,0.0032778976,0.949828,0.949828,0.47655296,9944.20206,0.95562196,10.824996,10.787088,10.841958,10.882996,11.271831,10.997124,102.00980345045274,1781.4828093473145,102.32790430767162,yet,clear,94755,346404
NEG~even_sure,NEGATED,even_sure,14459,646.49947,88225.91693,3.1959682,0.94244593,0.004553001,0.9863565,0.0045559085,3173681,14659,71961373,14459.0,3159222.0,200.0,68787492.0,3173681.0,68787692.0,14659.0,71946714.0,3173034.500526192,14012.500526192,68773679.49947381,114.86909,0.009069924,1.34957,0.004553001,0.94244593,0.94244593,0.47349948,13812.50053,0.9552874,10.054886,10.030965,10.06556,10.09131,10.330092,10.162366,120.24558203942463,1781.4828093473145,121.07435731813736,even,sure,1040332,256817
NEG~entirely_sure,NEGATED,entirely_sure,12931,579.28717,78686.10431,3.1386747,0.9405381,0.004071483,0.984469,0.0040744487,3173681,13135,71961373,12931.0,3160750.0,204.0,68787488.0,3173681.0,68787692.0,13135.0,71948238.0,3173101.712832494,12555.712832494,68775136.2871675,108.62033,0.00811531,1.3487382,0.004071483,0.9405381,0.9405381,0.4723048,12351.71283,0.9552017,9.86974,9.84599,9.880336,9.905897,10.14284,9.976424,113.71455491712571,1781.4828093473145,114.60802764204608,entirely,sure,268856,256817
NEG~that_hard,NEGATED,that_hard,9948,457.47589,58620.21433,2.7061663,0.9150576,0.003128352,0.95902824,0.0031345305,3173681,10373,71961373,9948.0,3163733.0,425.0,68787267.0,3173681.0,68787692.0,10373.0,71951000.0,3173223.524112026,9915.524112026,68777776.47588797,95.15296,0.006248638,1.3373675,0.003128352,0.9150576,0.9150576,0.45909297,9490.52411,0.9540133,8.590255,8.5728445,8.598013,8.616701,8.788214,8.668076,99.73966111833346,1781.4828093473145,101.84792585025971,that,hard,206801,349907
NEG~too_sure,NEGATED,too_sure,8061,373.72512,47076.20328,2.6269896,0.907267,0.0025339487,0.9512627,0.0025399528,3173681,8474,71961373,8061.0,3165620.0,413.0,68787279.0,3173681.0,68787692.0,8474.0,71952899.0,3173307.274879524,8100.274879525,68779591.72512047,85.62054,0.005066378,1.3338367,0.0025339487,0.907267,0.907267,0.45490044,7687.27488,0.9536379,8.32074,8.303006,8.328643,8.347678,8.522374,8.400007,89.78307190111062,1781.4828093473145,92.05433178292046,too,sure,2976740,256817
NEG~that_great,NEGATED,that_great,11032,517.76409,63618.34533,2.5297892,0.89573693,0.0034657973,0.93969333,0.0034760898,3173681,11740,71961373,11032.0,3162649.0,708.0,68786984.0,3173681.0,68787692.0,11740.0,71949633.0,3173163.235908144,11222.235908145,68776469.76409185,100.103806,0.006926557,1.3285223,0.0034657973,0.89573693,0.89573693,0.44960135,10514.23591,0.95306706,8.086405,8.072479,8.092606,8.107533,8.243845,8.148494,105.03332804400706,1781.4828093473145,108.3512805646523,that,great,206801,306251
NEG~immediately_clear,NEGATED,immediately_clear,24416,1146.75485,140793.11399,2.5265348,0.8952256,0.007670218,0.9390047,0.007693275,3173681,26002,71961373,24416.0,3149265.0,1586.0,68786106.0,3173681.0,68787692.0,26002.0,71935371.0,3172534.245151924,24855.245151923,68762836.75484808,148.91727,0.015261512,1.3282039,0.007670218,0.8952256,0.8952256,0.4514479,23269.24515,0.9530327,8.170932,8.161423,8.175164,8.185344,8.277843,8.213226,156.25619987699687,1781.4828093473145,161.25135658344087,immediately,clear,91746,346404
NEG~really_sure,NEGATED,really_sure,17783,840.77126,101828.54939,2.4806783,0.88893825,0.00558465,0.9328053,0.0056032725,3173681,19064,71961373,17783.0,3155898.0,1281.0,68786411.0,3173681.0,68787692.0,19064.0,71942309.0,3172840.228735338,18223.228735338,68769468.77126466,127.04806,0.011139631,1.3253272,0.00558465,0.88893825,0.88893825,0.44726142,16942.22874,0.9527205,7.9975553,7.9869847,8.00226,8.013579,8.11653,8.044593,133.3529152287268,1781.4828093473145,138.07244475274564,really,sure,1945388,256817
NEG~quite_ready,NEGATED,quite_ready,10199,485.48102,57990.16699,2.4377022,0.8825404,0.0032018577,0.926508,0.0032136184,3173681,11008,71961373,10199.0,3163482.0,809.0,68786883.0,3173681.0,68787692.0,11008.0,71950365.0,3173195.5189844,10522.5189844,68777169.4810156,96.182884,0.006405021,1.3223853,0.0032018577,0.8825404,0.8825404,0.44287115,9713.51898,0.95239913,7.7981377,7.784943,7.8040123,7.8181505,7.947087,7.8569274,100.99009852455833,1781.4828093473145,104.919016388832,quite,ready,988755,140804
