key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~yet_clear,NEGATED,yet_clear,10553,399.60147,67924.564344,3.288074,0.9496546,0.0032693332,0.9869073,0.0032710177,3226213,10693,86330752,10553.0,3215660.0,140.0,83104399.0,3226213.0,83104539.0,10693.0,86320059.0,3225813.398527642,10293.398527642,83094245.60147236,98.83789,0.006520424,0.9496546,1.4217489,0.0032693332,0.9496546,0.9496546,0.003104737,10153.39853,0.9621338,19.990034,100.76408,10.256124,10.221733,10.271461,10.308451,10.57858,10.322899,102.7277956543408,1796.1661949830811,103.40696301506973,yet,clear,101707,491108.0
NEG~even_sure,NEGATED,even_sure,14520,555.73492,92216.918609,3.028945,0.9391884,0.004496409,0.97639704,0.0045006326,3226213,14871,86330752,14520.0,3211693.0,351.0,83104188.0,3226213.0,83104539.0,14871.0,86315881.0,3225657.265080386,14315.265080385,83090223.7349196,115.88702,0.008959965,0.9391884,1.4170989,0.004496409,0.9391884,0.9391884,0.0042229756,13964.26508,0.96172625,23.57403,118.170494,9.633964,9.612129,9.643702,9.667188,9.838698,9.676361,120.49896265113655,1796.1661949830811,121.94670967270909,even,sure,1158154,844981.0
NEG~yet_ready,NEGATED,yet_ready,7611,292.90904,48012.055794,2.936445,0.93375295,0.0023563812,0.9710385,0.0023591127,3226213,7838,86330752,7611.0,3218602.0,227.0,83104312.0,3226213.0,83104539.0,7838.0,86322914.0,3225920.09096228,7545.09096228,83096993.90903772,83.883575,0.00470679,0.93375295,1.414709,0.0023563812,0.93375295,0.93375295,0.0022002778,7318.0909599999995,0.961515,17.114586,85.545845,9.226288,9.19906,9.23843,9.267715,9.481579,9.279154,87.24104538575865,1796.1661949830811,88.53247991556545,yet,ready,101707,240297.0
NEG~yet_complete,NEGATED,yet_complete,2220,86.47506,13815.984526,2.782249,0.92203206,0.0006869822,0.9593777,0.0006881133,3226213,2314,86330752,2220.0,3223993.0,94.0,83104445.0,3226213.0,83104539.0,2314.0,86328438.0,3226126.524940892,2227.524940892,83102311.4750591,45.281544,0.00137524,0.92203206,1.4094621,0.0006869822,0.92203206,0.92203206,0.00063341955,2133.52494,0.9610473,9.299197,46.190094,8.423197,8.38063,8.442181,8.487967,8.8223295,8.505851,47.11687595755899,1796.1661949830811,48.104053883222775,yet,complete,101707,107018.0
NEG~too_surprising,NEGATED,too_surprising,4030,157.62826,24974.271684,2.7415211,0.9181036,0.0012468804,0.95542914,0.0012491426,3226213,4218,86330752,4030.0,3222183.0,188.0,83104351.0,3226213.0,83104539.0,4218.0,86326534.0,3226055.371737547,4060.371737547,83100478.62826245,60.999252,0.002495023,0.9181036,1.407671,0.0012468804,0.9181036,0.9181036,0.0011447654,3872.37174,0.9608863,12.555009,62.228382,8.524025,8.493863,8.537477,8.569918,8.806832,8.582589,63.48228099241551,1796.1661949830811,64.94613152451807,too,surprising,3604496,150067.0
NEG~entirely_sure,NEGATED,entirely_sure,13046,510.55413,80836.860077,2.738249,0.9176863,0.004036338,0.9549114,0.0040437505,3226213,13662,86330752,13046.0,3213167.0,616.0,83103923.0,3226213.0,83104539.0,13662.0,86317090.0,3225702.445869694,13151.445869694,83091387.5541303,109.74913,0.008053397,0.9176863,1.4074355,0.004036338,0.9176863,0.9176863,0.003704092,12535.44587,0.9608651,22.595446,111.96181,8.768321,8.751655,8.775753,8.793679,8.924588,8.800681,114.21908772179893,1796.1661949830811,116.88455843266894,entirely,sure,303833,844981.0
NEG~exactly_sure,NEGATED,exactly_sure,8860,347.5819,54750.582936,2.714651,0.91531396,0.0027409473,0.95258576,0.002746254,3226213,9301,86330752,8860.0,3217353.0,441.0,83104098.0,3226213.0,83104539.0,9301.0,86321451.0,3225865.418096474,8953.418096474,83095585.58190353,90.434906,0.005476719,0.91531396,1.4063766,0.0027409473,0.91531396,0.91531396,0.0025088275,8512.4181,0.96076953,18.643549,92.262764,8.63298,8.613258,8.641776,8.662989,8.8179,8.671274,94.12757300600074,1796.1661949830811,96.44169222903547,exactly,sure,61599,844981.0
NEG~immediately_clear,NEGATED,immediately_clear,25276,1011.4667,153302.223342,2.5640807,0.89677614,0.007813034,0.93386537,0.007834572,3226213,27066,86330752,25276.0,3200937.0,1790.0,83102749.0,3226213.0,83104539.0,27066.0,86303686.0,3225201.533297404,26054.533297405,83078484.4667026,152.62222,0.015538784,0.89677614,1.3977568,0.007813034,0.89677614,0.89677614,0.007006542,24264.5333,0.9599831,31.803564,155.77077,8.315045,8.3051605,8.319453,8.330085,8.407727,8.334238,158.9842759520576,1796.1661949830811,164.51747627531856,immediately,clear,103177,491108.0
NEG~too_sure,NEGATED,too_sure,8094,325.68286,48797.349362,2.5267682,0.89146316,0.0025013513,0.92874354,0.0025088238,3226213,8715,86330752,8094.0,3218119.0,621.0,83103918.0,3226213.0,83104539.0,8715.0,86322037.0,3225887.3171391,8389.3171391,83096149.6828609,86.34662,0.00500413,0.89146316,1.3953683,0.0025013513,0.89146316,0.89146316,0.0022298626,7768.31714,0.95976245,18.046686,88.138054,8.0647745,8.047943,8.072281,8.0903845,8.2225895,8.097455,89.96666049153987,1796.1661949830811,93.35416434203673,too,sure,3604496,844981.0
NEG~that_hard,NEGATED,that_hard,9966,404.27277,59642.82387,2.4801192,0.8839828,0.0030788186,0.92124236,0.0030890708,3226213,10818,86330752,9966.0,3216247.0,852.0,83103687.0,3226213.0,83104539.0,10818.0,86319934.0,3225808.727230153,10413.727230153,83094125.27276985,95.780235,0.006157494,0.8839828,1.3918464,0.0030788186,0.8839828,0.8839828,0.0027216226,9561.72723,0.9594348,20.106535,97.78409,7.955296,7.940869,7.9617305,7.977248,8.090572,7.9833093,99.82985525382675,1796.1661949830811,104.0096149401583,that,hard,250392,430990.0
