key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,t_score,dice,liddell,mutual_information,min_sensitivity,conservative_log_ratio_1t,conservative_log_ratio,conservative_log_ratio_nc,deltaP_min,deltaP_max,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~yet_available,NEGATED,yet_available,7481,311.38165,44026.90664,2.4014301,0.8703967,0.0023669838,0.9081088,0.0023764302,3147999,8238,83284343,7481.0,3140518.0,757.0,80135587.0,3147999,80136344,8238,83276105,3147687.618354568,7926.618354569,80128417.38164543,82.892685,0.004740455,0.8703967,1.3806666,0.00237643,7.7059083,7.6984935,7.820377,0.0023669838,0.8703967,0.0020602148,7169.61835,0.958377,17.64601,84.6736,86.49277426467485,1774.2601274897659,90.76342875850384,yet,available,96993,862942.0
NEG~entirely_clear,NEGATED,entirely_clear,7524,315.65284,43976.67279,2.3655393,0.8632583,0.0023797697,0.9009699,0.0023900897,3147999,8351,83284343,7524.0,3140475.0,827.0,80135517.0,3147999,80136344,8351,83275992,3147683.347156956,8035.347156956,80128308.65284304,83.10197,0.004767532,0.8632583,1.3772391,0.00239009,7.5972004,7.5900784,7.7071495,0.0023797697,0.8632583,0.002054356,7208.34716,0.9580472,17.76662,84.901985,86.74099376880577,1774.2601274897659,91.38380600522173,entirely,clear,291839,489305.0
NEG~always_easy,NEGATED,always_easy,24574,1035.78432,143182.25516,2.347958,0.8592476,0.007770926,0.89676315,0.0078062285,3147999,27403,83284343,24574.0,3123425.0,2829.0,80133515.0,3147999,80136344,27403,83256940,3146963.215679806,26367.215679807,80109976.78432019,150.15355,0.015477725,0.8592476,1.3752065,0.007806229,7.648782,7.644923,7.70835,0.007770926,0.8592476,0.0066771503,23538.21568,0.9578504,32.1836,153.42169,156.760964528801,1774.2601274897659,165.53851515583918,always,easy,639234,768452.0
NEG~really_sure,NEGATED,really_sure,17898,760.68896,103515.77815,2.313258,0.85174924,0.0056577264,0.8893416,0.005685516,3147999,20125,83284343,17898.0,3130101.0,2227.0,80134117.0,3147999,80136344,20125,83264218,3147238.311044634,19364.311044634,80116979.68895537,128.09743,0.0112988,0.85174924,1.3715974,0.005685516,7.518183,7.5138154,7.585607,0.0056577264,0.85174924,0.004818964,17137.31104,0.95749867,27.580591,130.90955,133.78340704287658,1774.2601274897659,141.86260959111107,really,sure,2096057,844066.0
NEG~quite_ready,NEGATED,quite_ready,10259,451.34841,57659.47338,2.1923745,0.82146037,0.0032379064,0.85914075,0.0032588956,3147999,11941,83284343,10259.0,3137740.0,1682.0,80134662.0,3147999,80136344,11941,83272402,3147547.651586782,11489.651586781,80124854.34841321,96.830574,0.006493161,0.82146037,1.3565931,0.003258896,7.0931435,7.0880294,7.1720843,0.0032379064,0.82146037,0.0026598116,9807.65159,0.9560046,21.244963,99.033585,101.28672173587218,1774.2601274897659,109.27488274987991,quite,ready,1065022,238826.0
NEG~that_difficult,NEGATED,that_difficult,5577,246.36873,31235.27946,2.1791792,0.81789637,0.0017598592,0.8556306,0.0017716016,3147999,6518,83284343,5577.0,3142422.0,941.0,80135403.0,3147999,80136344,6518,83277825,3147752.631273984,6271.631273984,80130072.36872602,71.380295,0.003535882,0.81789637,1.3548151,0.001771602,6.988703,6.9818516,7.0944715,0.0017598592,0.81789637,0.0014393823,5330.63127,0.95582414,15.696137,73.01117,74.67931440499437,1774.2601274897659,80.73413156775763,that,difficult,249521,832988.0
NEG~that_different,NEGATED,that_different,6574,293.80548,36486.61854,2.1455588,0.8080253,0.0020733487,0.8457481,0.0020883107,3147999,7773,83284343,6574.0,3141425.0,1199.0,80135145.0,3147999,80136344,7773,83276570,3147705.194521736,7479.194521736,80128864.80547826,77.456566,0.004166334,0.8080253,1.3497698,0.002088311,6.903496,6.897391,6.997739,0.0020733487,0.8080253,0.0016753182,6280.19452,0.95530796,17.140755,79.24768,81.08020720249795,1774.2601274897659,88.16461875378354,that,different,249521,906600.0
NEG~too_distant,NEGATED,too_distant,5251,249.65717,27811.05104,1.9950169,0.7572656,0.0016511475,0.7950038,0.0016680437,3147999,6605,83284343,5251.0,3142748.0,1354.0,80134990.0,3147999,80136344,6605,83277738,3147749.342829804,6355.342829804,80129988.65717019,69.01852,0.003329102,0.7572656,1.322898,0.001668044,6.4104333,6.404508,6.501904,0.0016511475,0.7572656,0.0012503573,5001.34283,0.9524553,15.800544,70.72017,72.46378405796926,1774.2601274897659,81.27115109311545,too,distant,3557440,38411.0
NEG~all_bad,NEGATED,all_bad,8637,422.39499,44824.39592,1.9387852,0.73518634,0.0027119766,0.7728859,0.0027436477,3147999,11175,83284343,8637.0,3139362.0,2538.0,80133806.0,3147999,80136344,11175,83273168,3147576.605014846,10752.605014847,80125591.39498515,88.39043,0.005467885,0.73518634,1.3106441,0.002743648,6.2776313,6.2732425,6.3453813,0.0027119766,0.73518634,0.0019938082,8214.60501,0.9510947,20.55225,90.63446,92.93546147730693,1774.2601274897659,105.71187255932988,all,bad,427518,554698.0
NEG~that_great,NEGATED,that_great,11075,550.98449,56784.37,1.9072917,0.7220867,0.0034744074,0.75975853,0.0035181078,3147999,14577,83284343,11075.0,3136924.0,3502.0,80132842.0,3147999,80136344,14577,83269766,3147448.015507957,14026.015507957,80122317.98449205,100.00221,0.007003784,0.7220867,1.3032044,0.003518108,6.194364,6.190596,6.2525296,0.0034744074,0.7220867,0.0025088233,10524.01551,0.95024973,23.473059,102.586624,105.23782589924595,1774.2601274897659,120.73524754602526,that,great,249521,379200.0
NEG~even_aware,NEGATED,even_aware,7060,351.63674,36160.65836,1.9046671,0.72117734,0.0022147046,0.758895,0.0022426946,3147999,9303,83284343,7060.0,3140939.0,2243.0,80134101.0,3147999,80136344,9303,83275040,3147647.363262024,8951.363262024,80127392.63673797,79.838844,0.004472173,0.72117734,1.3027104,0.002242694,6.153328,6.1486163,6.22606,0.0022147046,0.72117734,0.0015971948,6708.36326,0.9501931,18.75198,81.9046,84.02380615040002,1774.2601274897659,96.45206063117574,even,aware,1120205,319201.0
NEG~so_sure,NEGATED,so_sure,26584,1348.4889,134563.56531,1.8753738,0.7076557,0.008331273,0.7451508,0.008444729,3147999,35676,83284343,26584.0,3121415.0,9092.0,80127252.0,3147999,80136344,35676,83248667,3146650.511097062,34327.511097062,80102016.48890294,154.7754,0.016700197,0.7076557,1.294773,0.008444729,6.1322665,6.129907,6.1686926,0.008331273,0.7076557,0.005895673,25235.5111,0.9492744,36.721775,158.85689,163.04600577751054,1774.2601274897659,188.88091486436633,so,sure,5735964,844066.0
NEG~even_close,NEGATED,even_close,17701,915.8128,88319.28045,1.841405,0.6929742,0.005541476,0.7305708,0.005622937,3147999,24229,83284343,17701.0,3130298.0,6528.0,80129816.0,3147999,80136344,24229,83260114,3147083.187195053,23313.187195053,80113030.81280497,126.16163,0.01115998,0.6929742,1.2861911,0.005622937,6.007043,6.0042295,6.0504727,0.005541476,0.6929742,0.0038400998,16785.1872,0.9482621,30.2624,129.55766,133.04510513355987,1774.2601274897659,155.65667348366404,even,close,1120205,478041.0
