key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total,first_char
NEG~yet_clear,NEGATED,yet_clear,10406,456.44494,64409.969591,3.5120015,0.9498841,0.0032778594,0.9933181,0.0032788643,3173660,10476,72839589,10406.0,3163254.0,70.0,69665859.0,3173660.0,69665929.0,10476.0,72829113.0,3173203.55505548,10019.55505548,69655909.44494452,97.535286,0.006536153,1.3578954,0.0032778594,0.9498841,0.9498841,0.476581,9949.55506,0.95613635,10.766786,10.729959,10.78326,10.823109,11.200326,10.894577,102.00980345045274,1781.4769153710638,102.35233265539189,yet,clear,95763.0,349214.0,y
NEG~too_surprising,NEGATED,too_surprising,4014,177.02709,24633.588907,3.2510355,0.94442207,0.0012640824,0.98793995,0.0012647858,3173660,4063,72839589,4014.0,3169646.0,49.0,69665880.0,3173660.0,69665929.0,4063.0,72835526.0,3173482.972908592,3885.972908592,69662043.02709141,60.561977,0.002526337,1.3555377,0.0012640824,0.94442207,0.94442207,0.47284308,3836.97291,0.95589757,9.745296,9.702789,9.764328,9.8104105,10.250053,9.893229,63.35613624582863,1781.4769153710638,63.74166612193315,too,surprising,3021077.0,70540.0,t
NEG~yet_ready,NEGATED,yet_ready,7501,331.09251,45985.071662,3.2241988,0.9436315,0.0023621104,0.9871036,0.0023635172,3173660,7599,72839589,7501.0,3166159.0,98.0,69665831.0,3173660.0,69665929.0,7599.0,72831990.0,3173328.907490128,7267.907490129,69658661.09250987,82.78544,0.004715743,1.3551698,0.0023621104,0.9436315,0.9436315,0.4729968,7169.90749,0.9558602,9.934922,9.902581,9.949375,9.984298,10.312343,10.0468025,86.6083136886985,1781.4769153710638,87.17224328879004,yet,ready,95763.0,141590.0,y
NEG~yet_complete,NEGATED,yet_complete,2174,96.20375,13277.092073,3.1412976,0.9410594,0.00068452547,0.98460144,0.00068501354,3173660,2208,72839589,2174.0,3171486.0,34.0,69665895.0,3173660.0,69665929.0,2208.0,72837381.0,3173563.796254534,2111.796254534,69663817.20374547,44.562874,0.001369075,1.3540676,0.00068452547,0.9410594,0.9410594,0.47087198,2077.79625,0.955748,9.197567,9.148726,9.2194605,9.272531,9.783463,9.36813,46.62617290749907,1781.4769153710638,46.98936049788292,yet,complete,95763.0,86361.0,y
NEG~even_sure,NEGATED,even_sure,14459,641.96829,87963.946159,3.063473,0.9379549,0.0045519914,0.9813357,0.0045559388,3173660,14734,72839589,14459.0,3159201.0,275.0,69665654.0,3173660.0,69665929.0,14734.0,72824855.0,3173018.031709377,14092.031709377,69651836.96829063,114.90677,0.00906977,1.3526247,0.0045519914,0.9379549,0.9379549,0.47125342,13817.03171,0.9556008,9.690524,9.669663,9.699826,9.722253,9.929447,9.762215,120.24558203942463,1781.4769153710638,121.38368918433811,even,sure,1044089.0,262825.0,e
NEG~too_shabby,NEGATED,too_shabby,5392,239.63795,32745.854232,3.0385582,0.93686384,0.0016974345,0.9803636,0.0016989848,3173660,5500,72839589,5392.0,3168268.0,108.0,69665821.0,3173660.0,69665929.0,5500.0,72834089.0,3173420.362047073,5260.362047073,69660668.63795292,70.16676,0.003392091,1.3521943,0.0016974345,0.93686384,0.93686384,0.46928063,5152.36205,0.95555675,9.349341,9.318092,9.363302,9.397024,9.713006,9.457339,73.43023900274328,1781.4769153710638,74.16198487095663,too,shabby,3021077.0,7107.0,t
NEG~entirely_sure,NEGATED,entirely_sure,12931,583.45306,77121.168644,2.7916496,0.9222476,0.0040678727,0.9656486,0.0040744757,3173660,13391,72839589,12931.0,3160729.0,460.0,69665469.0,3173660.0,69665929.0,13391.0,72826198.0,3173076.546940428,12807.546940428,69653121.45305957,108.5837,0.008114712,1.3456262,0.0040678727,0.9222476,0.9222476,0.4631577,12347.54694,0.9548795,8.889002,8.872291,8.896448,8.914383,9.079038,8.946286,113.71455491712571,1781.4769153710638,115.71948841919411,entirely,sure,271851.0,262825.0,e
NEG~exactly_sure,NEGATED,exactly_sure,8794,398.97541,52110.516374,2.7263696,0.9169029,0.0027657228,0.9603582,0.002770933,3173660,9157,72839589,8794.0,3164866.0,363.0,69665566.0,3173660.0,69665929.0,9157.0,72830432.0,3173261.024593645,8758.024593645,69657170.97540635,89.52179,0.005525922,1.3432404,0.0027657228,0.9169029,0.9169029,0.45983434,8395.02459,0.954631,8.62718,8.608494,8.635509,8.655574,8.840185,8.691288,93.77632963600144,1781.4769153710638,95.69221493935649,exactly,sure,58643.0,262825.0,e
NEG~that_hard,NEGATED,that_hard,9948,452.26217,58817.235657,2.7045922,0.9149414,0.0031283502,0.9583815,0.0031345512,3173660,10380,72839589,9948.0,3163712.0,432.0,69665497.0,3173660.0,69665929.0,10380.0,72829209.0,3173207.737827022,9927.737827022,69656001.26217298,95.20523,0.006248665,1.3423455,0.0031283502,0.9149414,0.9149414,0.45903486,9495.73783,0.9545374,8.587868,8.570583,8.59557,8.6141205,8.784486,8.647122,99.73966111833346,1781.4769153710638,101.88228501560023,that,hard,208262.0,348463.0,t
NEG~that_interested,NEGATED,that_interested,2422,110.84345,14211.49751,2.6379185,0.9085052,0.0007614055,0.952044,0.00076315674,3173660,2544,72839589,2422.0,3171238.0,122.0,69665807.0,3173660.0,69665929.0,2544.0,72837045.0,3173549.156554137,2433.156554137,69663495.84344587,46.961536,0.001525091,1.3394641,0.0007614055,0.9085052,0.9085052,0.45463333,2311.15655,0.9542347,8.046605,8.01619,8.0601845,8.092965,8.398713,8.151522,49.21381919745713,1781.4769153710638,50.438080851673966,that,interested,208262.0,264528.0,t
