,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,hit_id
nyt_eng_19940722_0163_34:22,unknown-polarity,so_impressed,so,impressed,"""Would Ms. Brown come in and do Rayburn 's makeup , for $ 14 ? She did , and everyone was so impressed that CBS asked her to stay on .""",nyt_eng_19940722_0163_34,22,nyt_eng_199407,nyt_eng_19940722_0163_34:22
nyt_eng_19940722_0151_20:31,unknown-polarity,so_concerned,so,concerned,"""-LBQ-  What were they deprived of ? The soaps ? Is that what we 're in this sort of righteous snit about ? I do n't know what everyone is so concerned about .  -RDQ-""",nyt_eng_19940722_0151_20,31,nyt_eng_199407,nyt_eng_19940722_0151_20:31
nyt_eng_19940719_0289_31:10,unknown-polarity,so_certain,so,certain,"""Not everyone familiar with Digital 's matrix tradition is so certain that scrapping it is the answer to the company 's fundamental problems .""",nyt_eng_19940719_0289_31,10,nyt_eng_199407,nyt_eng_19940719_0289_31:10
nyt_eng_19940718_0399_5:40,unknown-polarity,so_bearish,so,bearish,"'But bears have dominated market sentiment for so long since the Federal Reserve Board raised interest rates last February , that traders feel the market is headed for a major tectonic shift toward bullishness simply because everyone has been so bearish .'",nyt_eng_19940718_0399_5,40,nyt_eng_199407,nyt_eng_19940718_0399_5:40
nyt_eng_19940718_0285_13:4,unknown-polarity,so_careful,so,careful,"'-LBQ-  Everyone is so careful , you rarely read anything or see'",nyt_eng_19940718_0285_13,4,nyt_eng_199407,nyt_eng_19940718_0285_13:4
nyt_eng_19940714_0394_20:17,unknown-polarity,so_sure,so,sure,"""But not everyone who whirled through the revolving doors at Macy 's and A&S Thursday was so sure .""",nyt_eng_19940714_0394_20,17,nyt_eng_199407,nyt_eng_19940714_0394_20:17
nyt_eng_19940713_0119_17:26,unknown-polarity,clearly_american,clearly,american,"'With the exception of the French doctor Caius -LRB- Rocco Sisto -RRB- , who communicates in an Elizabethan kind of Franglais , everyone else is clearly American .'",nyt_eng_19940713_0119_17,26,nyt_eng_199407,nyt_eng_19940713_0119_17:26
nyt_eng_19940712_0312_17:10,unknown-polarity,so_uncertain,so,uncertain,"""No one 's saying it , but everyone is so uncertain inside .""",nyt_eng_19940712_0312_17,10,nyt_eng_199407,nyt_eng_19940712_0312_17:10
nyt_eng_19940701_0239_7:4,unknown-polarity,so_enthusiastic,so,enthusiastic,"""Not everyone is so enthusiastic about the artist whose art bears such stomach-churning titles as  -LBQ-  Eviscerated Corpse  -RDQ-  and  -LBQ-  Phlegm  -RDQ-  and who once planted a swastika on Lincoln 's forehead .""",nyt_eng_19940701_0239_7,4,nyt_eng_199407,nyt_eng_19940701_0239_7:4
nyt_eng_19980523_0262_124:6,unknown-polarity,very_grateful,very,grateful,"""-LBQ-  Almost everyone 's been very grateful ,  -RDQ-  she said .""",nyt_eng_19980523_0262_124,6,nyt_eng_199805,nyt_eng_19980523_0262_124:6
nyt_eng_19980523_0178_22:8,unknown-polarity,very_supportive,very,supportive,'Ely66  -COL-  Right now everyone has been very supportive of my family .',nyt_eng_19980523_0178_22,8,nyt_eng_199805,nyt_eng_19980523_0178_22:8
nyt_eng_19980521_0361_15:4,unknown-polarity,very_interested,very,interested,"'-LBQ-  Everyone is very interested in the subject ; there has been a fair amount of consciousness-raising over the last year ,  -RDQ-  he said .'",nyt_eng_19980521_0361_15,4,nyt_eng_199805,nyt_eng_19980521_0361_15:4
nyt_eng_19980521_0153_43:37,unknown-polarity,too_quick,too,quick,"""The reality of John Malone is that he 's someone able to see the value inherent in a mundane present -- the present of cable wires and the E ! Network -- that everyone else was too quick to write off .""",nyt_eng_19980521_0153_43,37,nyt_eng_199805,nyt_eng_19980521_0153_43:37
nyt_eng_19980521_0083_8:4,unknown-polarity,so_convinced,so,convinced,'Not everyone was so convinced .',nyt_eng_19980521_0083_8,4,nyt_eng_199805,nyt_eng_19980521_0083_8:4
nyt_eng_19980520_0442_34:3,unknown-polarity,very_calm,very,calm,'Everyone is very calm around here .',nyt_eng_19980520_0442_34,3,nyt_eng_199805,nyt_eng_19980520_0442_34:3
nyt_eng_19980515_0233_7:3,unknown-polarity,awfully_curious,awfully,curious,'Everyone is awfully curious about what the male potency pill might do for women .',nyt_eng_19980515_0233_7,3,nyt_eng_199805,nyt_eng_19980515_0233_7:3
nyt_eng_19980511_0228_11:10,unknown-polarity,pretty_sure,pretty,sure,"'Well , nobody really knew , but everyone was pretty sure that even if the Morning News was working on the story , we had not been out-reported .'",nyt_eng_19980511_0228_11,10,nyt_eng_199805,nyt_eng_19980511_0228_11:10
nyt_eng_19980508_0158_28:7,unknown-polarity,so_optimistic,so,optimistic,"'Not everyone , however , is so optimistic .'",nyt_eng_19980508_0158_28,7,nyt_eng_199805,nyt_eng_19980508_0158_28:7
nyt_eng_19980507_0079_23:4,unknown-polarity,very_unselfish,very,unselfish,'Everyone has been very unselfish .  -RDQ-',nyt_eng_19980507_0079_23,4,nyt_eng_199805,nyt_eng_19980507_0079_23:4
nyt_eng_19980502_0184_1:15,unknown-polarity,so_upset,so,upset,"'In October , the Baltimore Orioles might look back and wonder why everyone was so upset .'",nyt_eng_19980502_0184_1,15,nyt_eng_199805,nyt_eng_19980502_0184_1:15
