hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
apw_eng_19980307_0789_51:5,unknown-polarity,so_busy,so,busy,I found everybody was so busy doing what they were supposed to be doing there was no time for bitchery .,apw_eng_19980307_0789_51,5,apw_eng_199803,-LBQ-  And I did n't have many problems with nastiness or unpleasantness in my theater life .,-LBQ-  I can snap from time to time .,apw_eng_19980307_0789_51:5_discard,discard
apw_eng_19941118_0014_26:23,unknown-polarity,extremely_positive,extremely,positive,"-LBQ-  Everybody I 've spoken to , Nick Price , Fred Couples , Jose Maria Olazabal , all the responses have been extremely positive ,  -RDQ-  he said .",apw_eng_19941118_0014_26,23,apw_eng_199411,Norman said other players were enthusiastic about the new tour .,"A source familiar with the negotiations said that four tournaments would be held the weeks before each of the major tournaments -- the Masters in April , the U.S. Open in June , the British Open in July and the PGA Championship in August .",apw_eng_19941118_0014_26:23_discard,discard
apw_eng_20080325_0181_16:4,unknown-polarity,very_sensitive,very,sensitive,"-LBQ-  Everybody 's very sensitive to what 's been happening in Tibet in recent days and we hope that the Chinese will bring peace very quickly ,  -RDQ-  Gosper said in an Australian TV interview Tuesday .",apw_eng_20080325_0181_16,4,apw_eng_200803,"A rising chorus of international criticism and floated calls for a boycott have unnerved the Chinese leadership , which has turned up efforts to put its own version of the unrest before the international public .","The Olympics  -LBQ-  is not a nasty event , this is an event of celebration .",apw_eng_20080325_0181_16:4_discard,discard
apw_eng_20080312_0845_10:7,unknown-polarity,well_aware,well,aware,-LBQ-  I believe that everybody is well aware that Human Rights Watch has some problem with its sight .,apw_eng_20080312_0845_10,7,apw_eng_200803,"When asked about the report ahead of its publication , China 's Foreign Ministry questioned the credibility of Human Rights Watch .",It is biased .,apw_eng_20080312_0845_10:7_discard,discard
apw_eng_20080312_0126_10:7,unknown-polarity,well_aware,well,aware,-LBQ-  I believe that everybody is well aware that Human Rights Watch has some problem with its sight .,apw_eng_20080312_0126_10,7,apw_eng_200803,"When asked about the report ahead of its publication , China 's Foreign Ministry questioned the credibility of Human Rights Watch .",It is biased .,apw_eng_20080312_0126_10:7_discard,discard
apw_eng_20080305_1026_11:4,unknown-polarity,well_aware,well,aware,"-LBQ-  Everybody is well aware of the regional context of the membership aspirations of Georgia and Ukraine , but ... no outside party will have an influence on that process ,  -RDQ-  Appathurai told reporters .",apw_eng_20080305_1026_11,4,apw_eng_200803,NATO spokesman James Appathurai stressed Russia did not have the right to veto any expansion of the alliance to include its former Soviet neighbors .,"However , several NATO allies are wary such a move will lead to a further deterioration of relations with Moscow that already are strained by differences over Kosovo , missile defense plans and arms control in Europe .",apw_eng_20080305_1026_11:4_discard,discard
apw_eng_19980521_0009_25:14,unknown-polarity,very_tired,very,tired,"We will continue our protests , but not now because everybody here is very tired ,  -RDQ-  said Iskandar Zulkarnain , 24 , an economics student .",apw_eng_19980521_0009_25,14,apw_eng_199805,-LBQ-  We do n't like him .,"Suharto 's government has been the biggest victim of a financial crisis that began to sweep across East Asia last year , forcing Indonesia , South Korea and Thailand to accept large IMF-backed bailouts and painful economic reforms .",apw_eng_19980521_0009_25:14_discard,discard
apw_eng_19980521_0005_25:14,unknown-polarity,very_tired,very,tired,"We will continue our protests , but not now because everybody here is very tired ,  -RDQ-  said Iskandar Zulkarnain , 24 , an economics student .",apw_eng_19980521_0005_25,14,apw_eng_199805,-LBQ-  We do n't like him .,"Suharto 's government has been the biggest victim of a financial crisis that began to sweep across East Asia last year , forcing Indonesia , South Korea and Thailand to accept large IMF-backed bailouts and painful economic reforms .",apw_eng_19980521_0005_25:14_discard,discard
apw_eng_19980520_1886_25:14,unknown-polarity,very_tired,very,tired,"We will continue our protests , but not now because everybody here is very tired ,  -RDQ-  said Iskandar Zulkarnain , 24 , an economics student .",apw_eng_19980520_1886_25,14,apw_eng_199805,-LBQ-  We do n't like him .,"Suharto 's government has been the biggest victim of a financial crisis that began to sweep across East Asia last year , forcing Indonesia , South Korea and Thailand to accept large IMF-backed bailouts and painful economic reforms .",apw_eng_19980520_1886_25:14_discard,discard
apw_eng_19980520_1884_25:14,unknown-polarity,very_tired,very,tired,"We will continue our protests , but not now because everybody here is very tired ,  -RDQ-  said Iskandar Zulkarnain , 24 , an economics student .",apw_eng_19980520_1884_25,14,apw_eng_199805,-LBQ-  We do n't like him .,"Suharto 's government has been the biggest victim of a financial crisis that began to sweep across East Asia last year , forcing Indonesia , South Korea and Thailand to accept large IMF-backed bailouts and painful economic reforms .",apw_eng_19980520_1884_25:14_discard,discard
