hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_15_100.4327_x1606964_08:3-4-5,that,thrilled,that_thrilled,n't,n't_that_thrilled,i was n't that thrilled with the cybernetic additions to it,I was n't that thrilled with the cybernetic additions to it anyway .
pcc_eng_00_065.6586_x1045361_19:15-16-17,that,thrilled,that_thrilled,n't,n't_that_thrilled,"[ who is jewish ] is n't that thrilled , on having for our daughter","And I even insist , though my wife [ who is Jewish ] is n't that thrilled , on having for our daughter a little version of the Seder ."
pcc_eng_12_001.2080_x0003435_3:26-27-28,that,thrilled,that_thrilled,n't,n't_that_thrilled,"ohio comic-con , and punk was n't that thrilled about the potential match .","Punk was asked about possibly facing The Dead Man at Wrestle Mania during a panel at last September 's Ohio Comic-Con , and Punk was n't that thrilled about the potential match ."
pcc_eng_24_100.0477_x1602316_03:14-15-16,that,thrilled,that_thrilled,n't,n't_that_thrilled,"blog already , but you are n't that thrilled with how it 's functioning .","Maybe you 've got a Word Press blog already , but you are n't that thrilled with how it 's functioning ."
pcc_eng_28_024.1654_x0374101_09:12-13-14,that,thrilled,that_thrilled,n't,n't_that_thrilled,"in , but i still was n't that thrilled with the book .","My expectations were low going in , but I still was n't that thrilled with the book ."
pcc_eng_17_049.7022_x0786813_08:14-15-16,that,thrilled,that_thrilled,n't,n't_that_thrilled,"still kids , that they were n't that thrilled with the jets brash ways .","Two moments when they realized they were still kids , that they were n't that thrilled with the Jets brash ways ."
