key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
that~purported,73,0.26590438,72.73409562,0.78208804,0.78494626,0.00035024466,0.00035052001,8.416112,758.4667,72839589,208262,93,that,purported
that~uncommon,804,32.343122,771.656878,0.068226375,0.07107496,0.003715846,0.0038605218,4.4300933,3680.4166,72839589,208262,11312,that,uncommon
that~dissimilar,307,13.166556,293.833444,0.06381151,0.06666667,0.0014149292,0.0014741047,4.1310644,1365.555,72839589,208262,4605,that,dissimilar
that~bad,19708,1228.1266,18479.8734,0.043277986,0.04588196,0.08898821,0.0946308,4.0081034,74955.427,72839589,208262,429537,that,bad
that~farfetched,93,3.7855635,89.2144365,0.06738373,0.07024169,0.0004296043,0.0004465529,3.7514613,423.24005,72839589,208262,1324,that,farfetched
that~great,11781,884.22643,10896.77357,0.035385456,0.038094405,0.052472457,0.056568168,3.7106438,40195.15,72839589,208262,309258,that,great
that~hard,10380,996.32085,9383.67915,0.027058214,0.029787954,0.045186285,0.049841065,3.3386428,30573.429,72839589,208262,348463,that,hard
that~stupid,1437,145.02368,1291.97632,0.025489464,0.028330902,0.0062213987,0.0068999627,3.1224496,4048.6726,72839589,208262,50722,that,stupid
that~big,7073,865.09561,6207.90439,0.020603037,0.02337664,0.029893618,0.03396203,2.9622784,17624.62,72839589,208262,302567,that,big
that~easy,12825,1657.8338,11167.1662,0.01941402,0.022118667,0.05377451,0.061581086,2.9063916,30976.206,72839589,208262,579827,that,easy
