key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
immediately~accretive,236,0.69628178,235.30371822,0.44991472,0.45124283,0.0024297216,0.0024336672,8.538512,2406.6729,72839589,96973,523,immediately,accretive
immediately~appealable,76,0.18505386,75.81494614,0.5454323,0.5467626,0.00078285724,0.0007837233,8.4090185,815.23043,72839589,96973,139,immediately,appealable
immediately~adjacent,1595,6.3317709,1588.6682291,0.33405635,0.33536586,0.016404422,0.016447878,8.310952,15089.641,72839589,96973,4756,immediately,adjacent
immediately~apparent,4971,72.218932,4898.781068,0.090374075,0.091638096,0.0505843,0.051261693,6.1190605,32982.984,72839589,96973,54246,immediately,apparent
immediately~clear,26038,464.91653,25573.08347,0.073583186,0.07456173,0.264065,0.26850772,5.864627,167884.92,72839589,96973,349214,immediately,clear
immediately~actionable,173,2.640013,170.359987,0.08591257,0.08724155,0.0017591194,0.0017840017,5.468515,1121.8221,72839589,96973,1983,immediately,actionable
immediately~recognizable,1736,44.59798,1691.40202,0.05051435,0.051822443,0.017465241,0.01790189,5.15221,9447.1668,72839589,96973,33499,immediately,recognizable
immediately~available,29351,887.87111,28463.12889,0.043073554,0.0440105,0.2939073,0.30267188,5.0610514,159088.56,72839589,96973,666909,immediately,available
immediately~subsequent,59,0.96121501,58.03878499,0.08038693,0.081717454,0.00059930247,0.0006084168,4.8055096,374.57677,72839589,96973,722,immediately,subsequent
immediately~recognisable,349,10.922172,338.077828,0.041213542,0.042540226,0.0034909565,0.0035989399,4.5894465,1757.2378,72839589,96973,8204,immediately,recognisable
