key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
immediately~appealable,31,0.3657581,30.6342419,0.76586086,0.775,0.0005326834,0.0005341144,5.852513,248.59763,6347364,58040,40,immediately,appealable
immediately~clear,24488,770.1677547,23717.8322453,0.28538108,0.29073814,0.41241744,0.42191592,5.4142184,141124.54,6347364,58040,84227,immediately,clear
immediately~available,21477,758.54579,20718.45421,0.25305966,0.2588963,0.36026278,0.3700379,5.180852,116575.86,6347364,58040,82956,immediately,available
immediately~apparent,2143,89.5924544,2053.4075456,0.20989816,0.21871811,0.03570567,0.036922812,4.7311506,10042.867,6347364,58040,9798,immediately,apparent
immediately~adjacent,108,3.127232,104.872768,0.30666205,0.31578946,0.0018235798,0.0018607856,4.6929083,591.9576,6347364,58040,342,immediately,adjacent
immediately~reachable,109,3.2003837,105.7996163,0.3023013,0.31142858,0.0018396963,0.0018780151,4.670704,593.8916,6347364,58040,350,immediately,reachable
immediately~obvious,2325,207.1196862,2117.8803138,0.093835376,0.10264447,0.036826756,0.04005858,3.459391,7294.4588,6347364,58040,22651,immediately,obvious
immediately~recognizable,249,21.9820637,227.0179363,0.0944692,0.10357737,0.0039475006,0.004290145,3.0995545,777.97837,6347364,58040,2404,immediately,recognizable
immediately~life-threatening,64,4.5445448,59.4554552,0.11963805,0.12877263,0.0010338409,0.0011026878,2.8472779,227.1908,6347364,58040,497,immediately,life-threatening
immediately~evident,470,56.0615777,413.9384223,0.06758092,0.0766596,0.007197767,0.008097864,2.782644,1202.6862,6347364,58040,6131,immediately,evident
