key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~ever_boring,72,0.8339472,4.9041953,0.8780488,389.55148,NEGATED,ever_boring,3173681,82,71961373,3.6164102,68.3835898,0.94977206,ever,110979,boring,45338,2.1751058,8.059083,1.2990549
NEGany~ever_simple,211,0.82780105,5.761382,0.8719008,1134.7174,NEGATED,ever_simple,3173681,242,71961373,10.67282,200.32718,0.9494179,ever,110979,simple,394988,2.1629758,13.791092,1.2960032
NEGmir~ever_simple,206,0.8265149,5.793685,1.0,721.565185546875,NEGMIR,ever_simple,291735,206,1680633,35.7587945,170.2412109375,0.82641363,ever,5042,simple,25344,3.2939382,11.861267,0.76048434
NEGmir~ever_enough,147,0.82648593,5.282625,1.0,514.8787231445312,NEGMIR,ever_enough,291735,147,1680633,25.517198,121.48280334472656,0.82641363,ever,5042,enough,2574,3.1477222,10.019732,0.76048434
NEGmir~ever_certain,143,0.82648396,5.2404504,1.0,500.8667907714844,NEGMIR,ever_certain,291735,143,1680633,24.8228525,118.1771469116211,0.82641363,ever,5042,certain,1773,3.135776,9.882469,0.76048434
NEGmir~ever_boring,57,0.82644165,3.779902,1.0,199.6323089599609,NEGMIR,ever_boring,291735,57,1680633,9.8944237,47.10557556152344,0.82641363,ever,5042,boring,1957,2.7384639,6.239286,0.76048434
NEGmir~ever_black,56,0.82644117,3.7503421,1.0,196.1298370361328,NEGMIR,ever_black,291735,56,1680633,9.7208373,46.2791633605957,0.82641363,ever,5042,black,1414,2.730843,6.1843133,0.76048434
NEGmir~ever_sick,39,0.8264328,3.1273084,1.0,136.5885467529297,NEGMIR,ever_sick,291735,39,1680633,6.7698689,32.23012924194336,0.82641363,ever,5042,sick,1873,2.5753665,5.1609516,0.76048434
NEGmir~ever_easy,368,0.8238845,6.414968,0.99728996,1275.7406005859375,NEGMIR,ever_easy,291735,369,1680633,64.0533745,303.9466247558594,0.8259419,ever,5042,easy,18697,3.0685754,15.844313,0.7593058
NEGmir~ever_perfect,206,0.8216839,5.5483103,0.9951691,709.28564453125,NEGMIR,ever_perfect,291735,207,1680633,35.9323808,170.06761169433594,0.82557094,ever,5042,perfect,3119,2.8168166,11.849173,0.75838125
NEGmir~ever_good,299,0.81335896,5.656827,0.9867987,1006.3565673828124,NEGMIR,ever_good,291735,303,1680633,52.5966734,246.4033203125,0.8240914,ever,5042,good,31461,2.5013096,14.249872,0.75471294
NEGmir~ever_wrong,102,0.8072328,4.278498,0.9807692,338.24591064453125,NEGMIR,ever_wrong,291735,104,1680633,18.0529836,83.94701385498047,0.82300997,ever,5042,wrong,20727,2.2906163,8.311994,0.7520512
NEGany~ever_easy,429,0.80039126,5.9224324,0.8444882,2246.1363,NEGATED,ever_easy,3173681,508,71961373,22.404102,406.595898,0.94777596,ever,110979,easy,578041,2.0686016,19.630634,1.2821298
NEGany~ever_certain,147,0.75049394,4.9775114,0.7945946,733.19017,NEGATED,ever_certain,3173681,185,71961373,8.1589742,138.8410258,0.94449675,ever,110979,certain,73223,1.9192985,11.451415,1.2556818
NEGany~ever_alone,52,0.720604,3.9343576,0.7647059,251.85197,NEGATED,ever_alone,3173681,68,71961373,2.9989743,49.0010257,0.94232744,ever,110979,alone,10723,1.8386297,6.7952194,1.2390306
NEGany~ever_perfect,216,0.69310164,4.864233,0.7372014,1017.8194,NEGATED,ever_perfect,3173681,293,71961373,12.922051,203.077949,0.9401757,ever,110979,perfect,103203,1.7821326,13.817704,1.2231224
NEGany~ever_sure,87,0.6575115,4.0974503,0.7016129,395.28135,NEGATED,ever_sure,3173681,124,71961373,5.4687178,81.53128219999999,0.9371412,ever,110979,sure,256817,1.7039359,8.741071,1.2016337
NEGany~ever_enough,173,0.5919291,4.2081327,0.6360294,732.2037,NEGATED,ever_enough,3173681,272,71961373,11.995897,161.004103,0.93065953,ever,110979,enough,147805,1.5774468,12.240915,1.1590134
NEGany~ever_good,331,0.48550165,3.9385352,0.5296,1228.5687,NEGATED,ever_good,3173681,625,71961373,27.564102,303.435898,0.91672474,ever,110979,good,1670122,1.3873891,16.678345,1.0794841
NEGany~ever_satisfied,64,0.45589826,2.915481,0.5,227.84722,NEGATED,ever_satisfied,3173681,128,71961373,5.6451281,58.3548719,0.9117949,ever,110979,satisfied,61792,1.3359557,7.294359,1.0545062
