hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19950708_0043_19:35,politically_brave,politically,brave,"At the golden anniversary celebration of the signing of the United Nations Charter in San Francisco on June 26 , not a single elected Republican , including Gov. Pete Wilson of California , was politically brave enough to attend .",nyt_eng_19950708_0043_19,35
nyt_eng_19970515_0546_36:53,as_ourself,as,ourself,"William Soutar , a Scottish poet , compared the seductiveness of a diary to that of a drink and saw in it a way of confirming , and valuing , individuality in all its manifestations  -COL-   -LBQ-  Not a single other creature in all the history of the world has been just as ourself ,  -RDQ-  he observed .",nyt_eng_19970515_0546_36,53
