key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
particularly~hard-hit,154,2.7573493,151.2426507,0.3868119,0.3938619,0.00029652772,0.00029980455,5.6419363,1005.0788,72839589,513668,391,particularly,hard-hit
particularly~galling,540,15.331144,524.668856,0.24134523,0.24839006,0.0010286705,0.0010512627,5.1242366,2937.1476,72839589,513668,2174,particularly,galling
particularly~well-suited,62,1.2200036,60.7799964,0.35133028,0.3583815,0.00011916581,0.00012070053,4.9110785,390.1701,72839589,513668,173,particularly,well-suited
particularly~acute,2809,109.22911,2699.77089,0.17433953,0.18135451,0.005293195,0.005468513,4.7908845,13361.562,72839589,513668,15489,particularly,acute
particularly~noteworthy,2294,112.65641,2181.34359,0.13657728,0.14359938,0.004276762,0.0044659195,4.374459,9788.3114,72839589,513668,15975,particularly,noteworthy
particularly~thorny,308,12.425702,295.574298,0.16775337,0.17480136,0.00057950563,0.0005996091,4.364205,1439.5989,72839589,513668,1762,particularly,thorny
particularly~fond,4179,229.28311,3949.71689,0.121535406,0.1285332,0.007743851,0.008135605,4.239564,16897.662,72839589,513668,32513,particularly,fond
particularly~nettlesome,63,2.0309887,60.9690113,0.21169879,0.21875,0.0001195364,0.00012264731,4.0202217,324.86603,72839589,513668,288,particularly,nettlesome
particularly~nasty,2143,135.26526,2007.7347399999999,0.10470067,0.111725144,0.003936383,0.0041719554,3.9563684,8052.9864,72839589,513668,19181,particularly,nasty
particularly~egregious,1705,107.12055,1597.87945,0.1052148,0.1122449,0.0031328169,0.0033192646,3.940337,6421.5651,72839589,513668,15190,particularly,egregious
