key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
particularly~noteworthy,338,16.4866215,321.5133785,0.23404875,0.24599709,0.004272709,0.0044379085,4.24555,1483.196,6347364,76162,1374,particularly,noteworthy
particularly~fond,1254,93.2442037,1160.7557963,0.1495533,0.16136919,0.015425709,0.016464904,3.7421725,4399.5448,6347364,76162,7771,particularly,fond
particularly~revelatory,60,3.1197392,56.8802608,0.21877919,0.23076923,0.0007559026,0.0007877944,3.375016,254.71735,6347364,76162,260,particularly,revelatory
particularly~religious,486,42.0804816,443.9195184,0.12665096,0.13857998,0.0058994093,0.006381135,3.3355024,1552.3772,6347364,76162,3507,particularly,religious
particularly~novel,129,10.8590921,118.1409079,0.13056105,0.14254144,0.0015700178,0.0016937581,2.9840777,418.75126,6347364,76162,905,particularly,novel
particularly~acute,135,12.4549586,122.5450414,0.11807811,0.1300578,0.0016285459,0.0017725375,2.854589,413.82577,6347364,76162,1038,particularly,acute
particularly~memorable,602,74.4777728,527.5222272,0.08507147,0.09698727,0.007010436,0.007904205,2.801147,1511.4707,6347364,76162,6207,particularly,memorable
particularly~interested,2783,414.4813447,2368.5186553,0.06894244,0.08056625,0.031476114,0.03654053,2.6955948,6106.1152,6347364,76162,34543,particularly,interested
particularly~likeable,106,10.3311362,95.6688638,0.11112874,0.123112656,0.0012713786,0.0013917702,2.6593747,313.56555,6347364,76162,861,particularly,likeable
particularly~adept,200,22.8340908,177.1659092,0.09312614,0.10509721,0.0023544226,0.0026259813,2.6590407,531.35554,6347364,76162,1903,particularly,adept
