key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected
NEG-toxic,0,NEGATIVE,toxic,4,1.0149254,2,2,1,4,2,1,2,1,4,1,2,2,11.060727,11.060727,1.4346292,0.057142857,1.4925373,0.7518797,0.029411765,1.0,0.029411765,0.7462687,0.021949079,2.9850745,136,4,536,4,132,0,400,136,400,4,532,12.716418,2.985075,30.208956,2.963044,1.492537,2695.3684,5.001685,0.029412,0.75188,0.057143,13.522531,0.0,0.595626,2.382504,29411.764706,0.0,7462.686567
NEG-popular,1,NEGATIVE,popular,3,0.761194,3,3,2,9,3,2,4,1,9,1,3,4,8.278722,8.278722,1.3222193,0.043165468,1.2925752,0.750469,0.022058824,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.014925
NEG-late,2,NEGATIVE,late,8,2.2835822,1,1,3,1,1,3,1,24,1,3,1,1,16.580656,16.580656,1.2459413,0.11034483,2.021059,0.6460046,0.05632353,0.8888889,0.05882353,0.6351575,0.042032484,5.716418,136,9,536,8,128,1,399,136,400,9,527,11.447761,6.716418,26.477612,3.78282,2.021275,2798.9985,8.626304,0.058824,0.646005,0.110345,4.555125,0.0,0.544473,4.355787,58823.529412,2500.0,16791.044776
NEG-exciting,3,NEGATIVE,exciting,3,1.0149254,5,5,4,10,4,4,7,32,9,4,5,7,4.354779,4.354779,0.8440123,0.042857144,1.1460834,0.5,0.019558825,0.75,0.022058824,0.49626866,0.014596137,1.9850746,136,4,536,3,133,1,399,136,400,4,532,12.716418,2.985075,30.208956,1.970424,1.145838,2688.2354,2.532634,0.022059,0.5,0.042857,3.140388,0.0,0.470687,1.412061,22058.823529,2500.0,7462.686567
NEG-effective,4,NEGATIVE,effective,3,1.0149254,5,5,4,10,4,4,7,32,9,4,5,7,4.354779,4.354779,0.8440123,0.042857144,1.1460834,0.5,0.019558825,0.75,0.022058824,0.49626866,0.014596137,1.9850746,136,4,536,3,133,1,399,136,400,4,532,12.716418,2.985075,30.208956,1.970424,1.145838,2688.2354,2.532634,0.022059,0.5,0.042857,3.140388,0.0,0.470687,1.412061,22058.823529,2500.0,7462.686567
NEG-serious,5,NEGATIVE,serious,3,1.2686567,13,14,9,12,7,6,9,38,9,6,7,9,2.699335,2.699335,0.6210751,0.04255319,0.9995915,0.34952918,0.017058823,0.6,0.022058824,0.34626865,0.012730465,1.7313433,136,5,536,3,133,2,398,136,400,5,531,12.462687,3.731343,29.462687,1.537132,0.999377,2704.7024,1.701235,0.022059,0.349529,0.042553,2.141108,0.0,0.373777,1.121331,22058.823529,5000.0,9328.358209
NEG-bad,6,NEGATIVE,bad,4,1.7761194,9,9,10,5,6,7,5,41,4,7,4,5,3.216694,3.216694,0.58626574,0.055944055,1.1119403,0.32190117,0.021911765,0.5714286,0.029411765,0.31769723,0.016352063,2.2238805,136,7,536,4,132,3,397,136,400,7,529,11.955224,5.223881,27.970148,1.668689,1.11194,2743.5203,2.047147,0.029412,0.321901,0.055944,1.971304,0.0,0.352588,1.410351,29411.764706,7500.0,13059.701493
POS-young,7,POSITIVE,young,9,6.716418,4,4,6,8,10,8,3,1,8,8,10,3,5.3201165,5.3201165,0.8211545,0.04400978,0.76119405,0.2580645,0.0225,1.0,0.0225,0.25373134,0.005708955,2.2835822,400,9,536,9,391,0,136,400,136,9,527,26.477612,2.283582,11.447761,0.881146,0.761194,2783.8933,0.700889,0.0225,0.258065,0.04401,11.579483,0.0,0.127105,1.143943,22500.0,0.0,16791.044776
POS-excited,8,POSITIVE,excited,6,4.477612,7,7,7,17,11,9,10,1,17,8,12,10,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536,6,394,0,136,400,136,6,530,28.716417,1.522388,12.208955,0.719453,0.621581,2722.843,0.467259,0.015,0.256604,0.029557,10.994601,0.0,0.127105,0.762629,15000.0,0.0,11194.029851
POS-strong,9,POSITIVE,strong,6,4.477612,7,7,7,17,11,9,10,1,17,8,12,10,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536,6,394,0,136,400,136,6,530,28.716417,1.522388,12.208955,0.719453,0.621581,2722.843,0.467259,0.015,0.256604,0.029557,10.994601,0.0,0.127105,0.762629,15000.0,0.0,11194.029851
POS-simple,10,POSITIVE,simple,5,3.7313433,10,11,11,19,13,11,15,1,19,8,15,15,2.9426706,2.9426706,0.57937884,0.024691358,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536,5,395,0,136,400,136,5,531,29.462687,1.268657,12.462687,0.656767,0.567295,2703.635,0.389383,0.0125,0.256121,0.024691,10.731615,0.0,0.127105,0.635524,12500.0,0.0,9328.358209
POS-familiar,11,POSITIVE,familiar,5,3.7313433,10,11,11,19,13,11,15,1,19,8,15,15,2.9426706,2.9426706,0.57937884,0.024691358,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536,5,395,0,136,400,136,5,531,29.462687,1.268657,12.462687,0.656767,0.567295,2703.635,0.389383,0.0125,0.256121,0.024691,10.731615,0.0,0.127105,0.635524,12500.0,0.0,9328.358209
POS-more,12,POSITIVE,more,5,3.7313433,10,11,11,19,13,11,15,1,19,8,15,15,2.9426706,2.9426706,0.57937884,0.024691358,0.5673605,0.25612053,0.0125,1.0,0.0125,0.25373134,0.003171642,1.2686567,400,5,536,5,395,0,136,400,136,5,531,29.462687,1.268657,12.462687,0.656767,0.567295,2703.635,0.389383,0.0125,0.256121,0.024691,10.731615,0.0,0.127105,0.635524,12500.0,0.0,9328.358209
POS-interested,13,POSITIVE,interested,4,2.9850745,14,15,14,25,16,14,18,1,25,8,18,18,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-alive,14,POSITIVE,alive,4,2.9850745,14,15,14,25,16,14,18,1,25,8,18,18,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-proud,15,POSITIVE,proud,4,2.9850745,14,15,14,25,16,14,18,1,25,8,18,18,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-afraid,16,POSITIVE,afraid,4,2.9850745,14,15,14,25,16,14,18,1,25,8,18,18,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.686567
POS-unique,17,POSITIVE,unique,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-mundane,18,POSITIVE,mundane,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-divisive,19,POSITIVE,divisive,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-violent,20,POSITIVE,violent,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-expensive,21,POSITIVE,expensive,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-beautiful,22,POSITIVE,beautiful,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-small,23,POSITIVE,small,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
POS-normal,24,POSITIVE,normal,3,2.238806,18,19,20,32,21,18,22,1,32,8,22,22,1.7617517,1.7617517,0.38089356,0.014888337,0.43947557,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.014925
