key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected
NEG-longer,0,NEGATIVE,longer,3,0.761194,3,5,1,14,4,1,8,1,14,1,7,8,8.278722,8.278722,1.3222193,0.04316547,1.2925752,0.750469,0.02205882,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.014925
NEG-that,1,NEGATIVE,that,3,0.761194,3,5,1,14,4,1,8,1,14,1,7,8,8.278722,8.278722,1.3222193,0.04316547,1.2925752,0.750469,0.02205882,1.0,0.022058824,0.7462687,0.016461808,2.238806,136,3,536,3,133,0,400,136,400,3,533,12.970149,2.238806,30.955223,2.566072,1.292298,2674.535,3.751264,0.022059,0.750469,0.043165,13.107614,0.0,0.595626,1.786878,22058.823529,0.0,5597.014925
NEG-particularly,2,NEGATIVE,particularly,4,1.2686567,5,7,4,11,3,3,7,22,11,3,6,7,6.6276817,6.6276817,0.95642215,0.05673759,1.3656716,0.5514124,0.02691176,0.8,0.029411765,0.54626864,0.020083405,2.7313433,136,5,536,4,132,1,399,136,400,5,531,12.462687,3.731343,29.462687,2.424958,1.365672,2709.0676,3.723999,0.029412,0.551412,0.056738,3.555305,0.0,0.498716,1.994863,29411.764706,2500.0,9328.358209
NEG-immediately,3,NEGATIVE,immediately,3,1.0149254,7,9,5,16,7,4,11,25,14,4,9,11,4.354779,4.354779,0.8440123,0.04285714,1.1460834,0.5,0.01955882,0.75,0.022058824,0.49626866,0.014596137,1.9850746,136,4,536,3,133,1,399,136,400,4,532,12.716418,2.985075,30.208956,1.970424,1.145838,2688.2354,2.532634,0.022059,0.5,0.042857,3.140388,0.0,0.470687,1.412061,22058.823529,2500.0,7462.686567
NEG-more,4,NEGATIVE,more,47,22.58209,1,1,10,1,1,5,1,29,1,5,1,1,37.83041,37.83041,0.6509708,0.41777778,3.5617182,0.32898474,0.24058823,0.5280899,0.34558824,0.27435854,0.17954347,24.41791,136,89,536,47,89,42,358,136,400,89,447,113.41791,66.41791,89.04478,5.138383,3.561815,983.4871,20.065287,0.345588,0.328985,0.417778,1.718654,0.391804,0.318334,14.961685,345588.235294,105000.0,166044.776119
POS-very,5,POSITIVE,very,83,64.17911,2,3,3,2,2,6,2,19,2,23,2,2,34.803303,34.803303,1.001356,0.3415638,2.0658617,0.26067182,0.18544118,0.96511626,0.2075,0.21884762,0.047052238,18.820896,400,86,536,83,317,3,133,400,136,86,450,91.283585,21.820896,114.17911,2.349327,2.066102,860.6561,5.047255,0.2075,0.260672,0.341564,3.233227,0.490121,0.111684,9.269808,207500.0,22058.823529,160447.761194
POS-extremely,6,POSITIVE,extremely,8,5.9701495,6,8,6,17,10,7,10,1,18,6,12,10,4.7237897,4.7237897,0.7717419,0.03921569,0.7176606,0.25757575,0.02,1.0,0.02,0.25373134,0.005074627,2.0298507,400,8,536,8,392,0,136,400,136,8,528,27.22388,2.029851,11.701493,0.830752,0.717737,2762.9412,0.623012,0.02,0.257576,0.039216,11.409578,0.0,0.127105,1.016838,20000.0,0.0,14925.373134
POS-still,7,POSITIVE,still,7,5.223881,8,10,7,18,11,8,12,1,19,6,13,12,4.128777,4.128777,0.71627915,0.03439803,0.67131,0.25708884,0.0175,1.0,0.0175,0.25373134,0.004440299,1.7761194,400,7,536,7,393,0,136,400,136,7,529,27.970148,1.776119,11.955224,0.777098,0.671124,2742.6018,0.545136,0.0175,0.257089,0.034398,11.216959,0.0,0.127105,0.889734,17500.0,0.0,13059.701493
POS-much,8,POSITIVE,much,6,4.477612,9,11,8,20,12,9,13,1,21,6,14,13,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536,6,394,0,136,400,136,6,530,28.716417,1.522388,12.208955,0.719453,0.621581,2722.843,0.467259,0.015,0.256604,0.029557,10.994601,0.0,0.127105,0.762629,15000.0,0.0,11194.029851
POS-pretty,9,POSITIVE,pretty,6,4.477612,9,11,8,20,12,9,13,1,21,6,14,13,3.5350726,3.5350726,0.653029,0.02955665,0.6215123,0.25660378,0.015,1.0,0.015,0.25373134,0.00380597,1.5223881,400,6,536,6,394,0,136,400,136,6,530,28.716417,1.522388,12.208955,0.719453,0.621581,2722.843,0.467259,0.015,0.256604,0.029557,10.994601,0.0,0.127105,0.762629,15000.0,0.0,11194.029851
