key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected,adv,adj,adv_total,adj_total,lexical
POS-as_young,11,POSITIVE,as_young,4,2.9850745,12,12,12,13,13,12,13,1,13,9,13,13,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.6865,as,young,45.0,9.0,False
POS-still_alive,12,POSITIVE,still_alive,4,2.9850745,12,12,12,13,13,12,13,1,13,9,13,13,2.3515656,2.3515656,0.49113196,0.01980198,0.5074627,0.2556391,0.01,1.0,0.01,0.25373134,0.002537313,1.0149254,400,4,536,4,396,0,136,400,136,4,532,30.208956,1.014925,12.716418,0.587431,0.507463,2684.9507,0.311506,0.01,0.255639,0.019802,10.409759,0.0,0.127105,0.508419,10000.0,0.0,7462.6865,still,alive,7.0,4.0,False
POS-too_afraid,13,POSITIVE,too_afraid,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,too,afraid,58.0,4.0,False
POS-very_special,14,POSITIVE,very_special,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,very,special,86.0,6.0,False
POS-less_good,15,POSITIVE,less_good,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,less,good,12.0,21.0,False
POS-as_mundane,16,POSITIVE,as_mundane,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,as,mundane,45.0,3.0,False
POS-too_young,17,POSITIVE,too_young,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,too,young,58.0,9.0,False
POS-so_strong,18,POSITIVE,so_strong,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,so,strong,51.0,6.0,False
POS-as_divisive,19,POSITIVE,as_divisive,3,2.238806,14,14,14,17,15,14,15,1,17,9,15,15,1.7617517,1.7617517,0.38089356,0.014888337,0.4394756,0.25515947,0.0075,1.0,0.0075,0.25373134,0.001902985,0.761194,400,3,536,3,397,0,136,400,136,3,533,30.955223,0.761194,12.970149,0.50873,0.439381,2666.7644,0.23363,0.0075,0.255159,0.014888,9.994841,0.0,0.127105,0.381314,7500.0,0.0,5597.015,as,divisive,45.0,3.0,False
NEG-more_important,20,NEGATIVE,more_important,3,1.7761194,21,21,21,11,11,21,12,23,7,21,9,12,1.0245031,1.0245031,0.36361745,0.04195804,0.7066078,0.17715366,0.012058824,0.42857143,0.022058824,0.1748401,0.008999122,1.2238806,136,7,536,3,133,4,396,136,400,7,529,11.955224,5.223881,27.970148,0.918339,0.706456,2740.8706,0.697327,0.022059,0.177154,0.041958,1.141469,0.0,0.227649,0.682947,22058.823529,10000.0,13059.701,more,important,89.0,24.0,False
POS-all_right,21,POSITIVE,all_right,4,3.7313433,22,23,22,15,22,22,22,20,13,22,22,22,0.0810088,0.0810088,0.01081736,0.019753085,0.1343284,0.05423729,0.002647059,0.8,0.01,0.05373134,0.000671642,0.2686567,400,5,536,4,396,1,135,400,136,5,531,29.462687,1.268657,12.462687,0.13908,0.134328,2701.2102,0.018895,0.01,0.054237,0.019753,0.442532,0.0,0.030195,0.120779,10000.0,7352.941176,9328.358,all,right,5.0,5.0,True
POS-more_important,22,POSITIVE,more_important,4,5.223881,23,21,23,16,23,23,23,22,13,23,23,23,-1.0245031,1.0245031,-0.36361745,0.01965602,-0.6119403,-0.17715366,-0.012058824,0.5714286,0.01,-0.1748401,-0.003059701,-1.2238806,400,7,536,4,396,3,133,400,136,7,529,27.970148,1.776119,11.955224,-0.535479,-0.61194,-2740.8706,-0.312192,0.01,17.52093,0.019656,-1.141469,0.0,-0.115933,-0.463733,10000.0,22058.823529,13059.701,more,important,89.0,24.0,False
