        l1  l2                      f         E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff   f1  f2    N  
----------  ---------------------  --  ----------  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  ---  --  ---  
   someone  as_divisive             3  0.12873134                 5                    5                  2       5          6            1            5                   1                   5                   1                   4              6   23   3  536  
        no  more_toxic              4  0.17910448                 3                    3                  1       3          3            2            3                   1                   3                   2                   2              4   24   4  536  
        no  more_effective          3  0.13432836                 6                    6                  3       6          7            3            6                   1                   6                   2                   6              7   24   3  536  
   nothing  particularly_exciting   3  0.14552239                 7                    7                  5       7          8            4            7                   1                   7                   4                   7              8   26   3  536  
       all  too_familiar            5  0.35447761                 2                    2                  4       4          2            5            4                   1                   4                   5                   5              2   38   5  536  
     never  as_popular              3  0.25746269                 8                    8                  7      11          9            6           11                   1                  11                   6                  11              9   46   3  536  
      some  less_good               3  0.29104478                 9                    9                  9      13         10            7           13                   1                  13                   7                  13             10   52   3  536  
     never  too_late                8  0.77238806                 1                    1                  8       2          1            8            2                  10                   2                  10                   3              1   46   9  536  
 something  as_mundane              3  0.58768657                14                   14                 10      17         14            9           16                   1                  17                   8                  16             14  105   3  536  
 something  very_special            3  0.58768657                14                   14                 10      17         14            9           16                   1                  17                   8                  16             14  105   3  536  
everything  all_right               4  0.18656716                 4                    4                  6       1          4           11            1                  11                   1                  11                   1              5   20   5  536  
     never  as_bad                  3  0.34328358                11                   11                 12      12         11           12           12                  12                  11                  12                  12             11   46   4  536  
      some  as_young                3  0.38805970                12                   12                 13      14         12           13           14                  12                  13                  13                  14             12   52   4  536  
      some  still_alive             3  0.38805970                12                   12                 13      14         12           13           14                  12                  13                  13                  14             12   52   4  536  
      some  very_good               5  0.87313433                10                   10                 15       8          5           15            8                  15                   8                  15                   8              3   52   9  536  
    always  very_good               3  0.62126866                16                   16                 16       9         16           16            9                  17                   9                  16                   9             16   37   9  536  
    always  very_important          3  0.62126866                16                   16                 16       9         16           16            9                  17                   9                  16                   9             16   37   9  536  
 something  very_important          4  1.76305970                18                   18                 18      16         18           18           18                  16                  16                  18                  18             18  105   9  536  
