        l1  l2                      f   E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff   f1  f2    N  
----------  ---------------------  --  ----  ----------------  -------------------  -----------------  ------  ---------  -----------  -----------  ------------------  ------------------  ------------------  ------------------  -------------  -----------------  --------------------  ------------------  -------  ----------  ------------  ------------  -------------------  -------------------  -------------------  -------------------  --------------  ---  --  ---  
   someone  as_divisive             3  0.13                 5                    5                  2       5          6            1            5                   1                   5                   1                   4              6              19.28                 19.28                2.24     0.23        1.66          0.96         0.130                 1.00                0.130                 0.96                0.125            2.87   23   3  536  
        no  more_toxic              4  0.18                 3                    3                  1       3          3            2            3                   1                   3                   2                   2              4              25.53                 25.53                2.35     0.29        1.91          0.96         0.167                 1.00                0.167                 0.96                0.159            3.82   24   4  536  
        no  more_effective          3  0.13                 6                    6                  3       6          7            3            6                   1                   6                   2                   6              7              19.01                 19.01                2.22     0.22        1.65          0.96         0.125                 1.00                0.125                 0.96                0.119            2.87   24   3  536  
   nothing  particularly_exciting   3  0.15                 7                    7                  5       7          8            4            7                   1                   7                   4                   7              8              18.50                 18.50                2.18     0.21        1.65          0.96         0.115                 1.00                0.115                 0.95                0.110            2.85   26   3  536  
       all  too_familiar            5  0.35                 2                    2                  4       4          2            5            4                   1                   4                   5                   5              2              27.11                 27.11                2.21     0.23        2.08          0.94         0.132                 1.00                0.132                 0.93                0.122            4.65   38   5  536  
     never  as_popular              3  0.26                 8                    8                  7      11          9            6           11                   1                  11                   6                  11              9              14.92                 14.92                1.90     0.12        1.58          0.92         0.065                 1.00                0.065                 0.91                0.060            2.74   46   3  536  
      some  less_good               3  0.29                 9                    9                  9      13         10            7           13                   1                  13                   7                  13             10              14.16                 14.16                1.84     0.11        1.56          0.91         0.058                 1.00                0.058                 0.90                0.052            2.71   52   3  536  
     never  too_late                8  0.77                 1                    1                  8       2          1            8            2                  10                   2                  10                   3              1              34.52                 34.52                1.86     0.29        2.56          0.82         0.172                 0.89                0.174                 0.80                0.157            7.23   46   9  536  
 something  as_mundane              3  0.59                14                   14                 10      17         14            9           16                   1                  17                   8                  16             14               9.85                  9.85                1.47     0.06        1.39          0.81         0.029                 1.00                0.029                 0.80                0.023            2.41  105   3  536  
 something  very_special            3  0.59                14                   14                 10      17         14            9           16                   1                  17                   8                  16             14               9.85                  9.85                1.47     0.06        1.39          0.81         0.029                 1.00                0.029                 0.80                0.023            2.41  105   3  536  
everything  all_right               4  0.19                 4                    4                  6       1          4           11            1                  11                   1                  11                   1              5              22.19                 22.19                1.97     0.32        1.91          0.77         0.198                 0.80                0.200                 0.76                0.191            3.81   20   5  536  
     never  as_bad                  3  0.34                11                   11                 12      12         11           12           12                  12                  11                  12                  12             11              10.59                 10.59                1.42     0.12        1.53          0.67         0.063                 0.75                0.065                 0.66                0.058            2.66   46   4  536  
      some  as_young                3  0.39                12                   12                 13      14         12           13           14                  12                  13                  13                  14             12               9.85                  9.85                1.36     0.11        1.51          0.66         0.056                 0.75                0.058                 0.65                0.050            2.61   52   4  536  
      some  still_alive             3  0.39                12                   12                 13      14         12           13           14                  12                  13                  13                  14             12               9.85                  9.85                1.36     0.11        1.51          0.66         0.056                 0.75                0.058                 0.65                0.050            2.61   52   4  536  
      some  very_good               5  0.87                10                   10                 15       8          5           15            8                  15                   8                  15                   8              3              12.16                 12.16                1.09     0.16        1.85          0.47         0.088                 0.56                0.096                 0.46                0.079            4.13   52   9  536  
    always  very_good               3  0.62                16                   16                 16       9         16           16            9                  17                   9                  16                   9             16               5.61                  5.61                0.89     0.13        1.37          0.27         0.069                 0.33                0.081                 0.26                0.064            2.38   37   9  536  
    always  very_important          3  0.62                16                   16                 16       9         16           16            9                  17                   9                  16                   9             16               5.61                  5.61                0.89     0.13        1.37          0.27         0.069                 0.33                0.081                 0.26                0.064            2.38   37   9  536  
 something  very_important          4  1.76                18                   18                 18      16         18           18           18                  16                  16                  18                  18             18               2.92                  2.92                0.54     0.07        1.12          0.25         0.026                 0.44                0.038                 0.25                0.021            2.24  105   9  536  
