key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
yet~final,640,10.2968182,629.7031818,0.519228,0.52761745,0.011786981,0.011878028,6.5806603,4443.6915,6347364,53881,1213,yet,final
yet~official,352,7.8435779,344.1564221,0.37251788,0.3809524,0.0064420276,0.006532915,5.6313944,2141.314,6347364,53881,924,yet,official
yet~ready,7505,251.1218236,7253.8781764,0.24635245,0.25369298,0.13578036,0.13928843,5.20717,39487.387,6347364,53881,29583,yet,ready
yet~complete,2175,71.4325845,2103.5674155,0.25031015,0.25846702,0.03937523,0.040366735,5.152273,11318.188,6347364,53881,8415,yet,complete
yet~ripe,381,12.3341111,368.6658889,0.2537855,0.2622161,0.006900803,0.0070711384,4.8991113,1982.8165,6347364,53881,1453,yet,ripe
yet~over,162,5.2035858,156.7964142,0.25581005,0.26427406,0.0029349644,0.0030066257,4.645509,845.32103,6347364,53881,613,yet,over
yet~public,467,22.5460421,444.4539579,0.16740964,0.17582831,0.008319428,0.008667248,4.2309675,2025.1685,6347364,53881,2656,yet,public
yet~eligible,448,22.2404482,425.7595518,0.16257074,0.17099236,0.0079695005,0.008314619,4.1744933,1916.4043,6347364,53881,2620,yet,eligible
yet~clear,10409,714.979476,9694.020524,0.11664177,0.1235827,0.1814557,0.19318499,3.9601758,39438.811,6347364,53881,84227,yet,clear
yet~unnamed,30,0.8658495,29.1341505,0.2856335,0.29411766,0.0005453421,0.0005567825,3.6997335,163.80181,6347364,53881,102,yet,unnamed
