key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] ever~closer,299,0.084059455,5.282845,0.085722476,1788.531291,ever,closer,10849,3488,6347362,5.9617386,293.0382616,0.98006105,0.027056871,0.027560145,0.084059455,0.055558164,1.751033,16.94684,1.7002983,direct
[_direct_] ever~present,366,0.037166525,4.126993,0.038820535,1610.818224,ever,present,10849,9428,6347362,16.11447,349.8855304,0.9559714,0.032305703,0.033735827,0.037166525,0.034736115,1.3875484,18.288809,1.3562651,direct
[_mirror_] ever~perfect,206,0.15308782,3.9465044,0.1609375,876.1492919921875,ever,perfect,4776,1280,583470,10.477454,195.52255249023438,0.9491386,0.041276425,0.043132327,0.15308782,0.097182125,1.3853925,13.622702,1.2936114,mirror
[_direct_] ever~deeper,78,0.041089203,3.708,0.042786617,356.225275,ever,deeper,10849,1823,6347362,3.1158972,74.8841029,0.9600526,0.0069142147,0.0071896026,0.041089203,0.024001708,1.4224044,8.478955,1.3985115,direct
[_direct_] ever~greater,170,0.023772521,3.2842822,0.025456723,607.288694,ever,greater,10849,6678,6347362,11.414131,158.5858689,0.93285805,0.014642583,0.015669648,0.023772521,0.019207552,1.1910967,12.162981,1.173006,direct
[_mirror_] ever~certain,143,0.10341278,3.222657,0.11137072,499.6598815917969,ever,certain,4776,1284,583470,10.510196,132.48980712890625,0.9265021,0.027969692,0.029941373,0.10341278,0.06569123,1.1950591,11.079354,1.1337253,mirror
[_mirror_] ever~enough,147,0.102243155,3.2161222,0.1101949,510.6631164550781,ever,enough,4776,1334,583470,10.919472,136.08053588867188,0.9257179,0.028727723,0.030778894,0.102243155,0.06548544,1.190182,11.223733,1.1291157,mirror
[_direct_] ever~ok,71,0.02227147,2.797556,0.023970291,245.000202,ever,ok,10849,2962,6347362,5.0626917,65.9373081,0.9286945,0.006088137,0.006544382,0.02227147,0.014179803,1.1622767,7.825319,1.1468768,direct
[_direct_] ever~perfect,218,0.015446667,2.7828345,0.017124902,618.909323,ever,perfect,10849,12730,6347362,21.758295,196.2417058,0.9001913,0.01811943,0.020094018,0.01811943,0.01678305,1.0165048,13.291165,1.0008316,direct
[_direct_] ever~alone,53,0.023791604,2.6992958,0.025493026,188.971944,ever,alone,10849,2079,6347362,3.5534558,49.4465441,0.93295366,0.0045655086,0.004885243,0.023791604,0.014178556,1.1900357,6.792005,1.173625,direct
