hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_29_062.3594_x0991349_09:19-20,necessarily_representative,representative,(+)_necessarily_representative,necessarily,"now refuse to take any image as necessarily representative of any existent thing , and","When I say "" accept uncritically "" , I mean I now refuse to take any image as necessarily representative of any existent thing , and furthermore I challenge the information which any image appears to be conveying ."
pcc_eng_00_010.9498_x0160508_22:15-16,necessarily_representative,representative,(+)_necessarily_representative,necessarily,for thinking that the loudest voices are necessarily representative .,So perhaps Sarah Palin can be excused for thinking that the loudest voices are necessarily representative .
