key,l1,l2,f,E11,am_expect_diff,adv,adv_total,adj,adj_total,am_p1_given2,am_log_likelihood,am_odds_ratio_disc,log_ratio,conservative_log_ratio,am_expect_diff_%
NEG-quite_sure,NEGATIVE,quite_sure,2967,441.485,2525.515,quite,43128.0,sure,11285.0,0.834,10847.003,2.423,8.044,7.148,85.120155
NEG-really_sure,NEGATIVE,really_sure,912,135.517,776.483,really,63523.0,sure,11285.0,0.834,3338.099,2.44,8.138,6.586,85.14068
NEG-ever_easy,NEGATIVE,ever_easy,368,53.857,314.143,ever,5050.0,easy,21735.0,0.849,1394.555,2.938,10.076,6.497,85.36495
NEG-entirely_sure,NEGATIVE,entirely_sure,366,53.712,312.288,entirely,11491.0,sure,11285.0,0.846,1377.178,2.789,9.484,6.346,85.32459
NEG-too_early,NEGATIVE,too_early,5200,803.058,4396.942,too,186765.0,early,5753.0,0.799,17795.498,1.991,6.589,6.151,84.55657
NEG-ever_simple,NEGATIVE,ever_simple,207,30.131,176.869,ever,5050.0,simple,27767.0,0.855,797.974,3.387,20.213,6.051,85.44396
NEG-ever_perfect,NEGATIVE,ever_perfect,207,30.277,176.723,ever,5050.0,perfect,4180.0,0.85,785.618,2.91,10.245,5.811,85.37343
NEG-ever_good,NEGATIVE,ever_good,300,44.542,255.458,ever,5050.0,good,37987.0,0.835,1099.39,2.434,8.197,5.721,85.152664
NEG-too_pleased,NEGATIVE,too_pleased,1293,200.728,1092.272,too,186765.0,pleased,3903.0,0.793,4371.82,1.945,6.464,5.648,84.47579
NEG-too_sure,NEGATIVE,too_sure,539,81.951,457.049,too,186765.0,sure,11285.0,0.812,1887.477,2.112,7.042,5.611,84.79574
NEG-too_careful,NEGATIVE,too_careful,677,103.93,573.07,too,186765.0,careful,2162.0,0.803,2331.281,2.027,6.747,5.556,84.648445
NEG-ever_enough,NEGATIVE,ever_enough,147,21.397,125.603,ever,5050.0,enough,10176.0,0.855,566.651,3.239,19.719,5.532,85.44422
NEG-ever_certain,NEGATIVE,ever_certain,143,20.815,122.185,ever,5050.0,certain,2116.0,0.855,551.23,3.227,19.679,5.49,85.44405
NEG-quite_able,NEGATIVE,quite_able,340,51.237,288.763,quite,43128.0,able,8146.0,0.82,1209.913,2.204,7.378,5.47,84.9303
NEG-entirely_clear,NEGATIVE,entirely_clear,329,49.782,279.218,entirely,11491.0,clear,8610.0,0.817,1161.967,2.157,7.215,5.362,84.86869
NEG-truly_alone,NEGATIVE,truly_alone,188,27.802,160.198,truly,14216.0,alone,824.0,0.839,694.788,2.5,8.523,5.342,85.2117
NEG-too_fancy,NEGATIVE,too_fancy,530,81.805,448.195,too,186765.0,fancy,1184.0,0.798,1808.133,1.982,6.603,5.327,84.565094
NEG-exactly_sure,NEGATIVE,exactly_sure,148,21.689,126.311,exactly,1079.0,sure,11285.0,0.848,558.819,2.764,9.761,5.3,85.34527
NEG-particularly_new,NEGATIVE,particularly_new,407,62.737,344.263,particularly,14612.0,new,14653.0,0.799,1391.483,1.99,6.637,5.189,84.5855
NEG-really_alone,NEGATIVE,really_alone,195,29.112,165.888,really,63523.0,alone,824.0,0.83,706.517,2.32,7.838,5.164,85.07077
NEG-too_special,NEGATIVE,too_special,453,70.888,382.112,too,186765.0,special,16913.0,0.785,1510.727,1.888,6.289,5.034,84.35143
NEG-particularly_wrong,NEGATIVE,particularly_wrong,212,32.023,179.977,particularly,14612.0,wrong,23764.0,0.818,751.034,2.167,7.281,5.024,84.89481
NEG-really_able,NEGATIVE,really_able,324,50.801,273.199,really,63523.0,able,8146.0,0.783,1076.998,1.874,6.249,4.807,84.32068
NEG-too_surprising,NEGATIVE,too_surprising,205,31.441,173.559,too,186765.0,surprising,3040.0,0.804,706.789,2.021,6.773,4.759,84.66293
NEG-as_satisfying,NEGATIVE,as_satisfying,226,34.935,191.065,as,125578.0,satisfying,4566.0,0.796,768.901,1.963,6.566,4.733,84.54204
NEG-too_major,NEGATIVE,too_major,187,28.967,158.033,too,186765.0,major,669.0,0.794,633.974,1.945,6.515,4.554,84.50963
NEG-too_impressed,NEGATIVE,too_impressed,131,20.087,110.913,too,186765.0,impressed,2704.0,0.804,451.792,2.013,6.779,4.354,84.66641
NEG-necessarily_wrong,NEGATIVE,necessarily_wrong,213,33.916,179.084,necessarily,1617.0,wrong,23764.0,0.769,690.951,1.787,5.966,4.353,84.076996
NEG-really_free,NEGATIVE,really_free,139,21.543,117.457,really,63523.0,free,5557.0,0.794,470.798,1.936,6.502,4.288,84.50144
