adv,key_SET,f_SET,dP1_SET,dP1_simple_SET,LRC_SET,G2_SET,odds_r_disc_SET,t_SET,N_SET,f1_SET,f2_SET,exp_f_SET,unexp_f_SET,l1_SET,key_MIR,f_MIR,dP1_MIR,dP1_simple_MIR,LRC_MIR,G2_MIR,odds_r_disc_MIR,t_MIR,N_MIR,f1_MIR,f2_MIR,exp_f_MIR,unexp_f_MIR,l1_MIR,mean_f,mean_dP1,mean_dP1Simple,mean_LRC,mean_G2,mean_oddsRDisc,mean_t,mean_N,mean_f1,mean_f2,mean_expF,mean_unexpF,ratio_f_MIR,ratio_N_MIR,ratio_f1_MIR,ratio_f2_MIR
before,NEGany~before,308,0.4536,0.9536,2.6764,326.4102,1.2990,8.3477,6347364,3173660,323,161.4989,146.5011,NEGATED,NEG~before,289,0.8253,0.9966,6.2108,1006.6849,2.9703,14.0759,1701929,291732,290,49.7096,239.2904,NEGMIR,577767.0000,0.8072,0.9751,4.4436,666.5476,2.1346,11.2118,4024646.5000,1732696.0000,306.5000,105.6043,192.8957,0.9383,0.2681,0.0919,0.8978
necessarily,NEGany~necessarily,42595,0.4966,0.9932,6.7726,56251.1450,2.1706,102.4885,6347364,3173660,42886,21442.8514,21152.1486,NEGATED,NEGmir~necessarily,963,0.4716,0.9708,3.8557,1114.6963,1.5154,15.0490,583470,291732,992,495.9949,467.0051,NEGMIR,592138.0000,0.7330,0.9820,5.3142,28682.9207,1.8430,58.7688,3465417.0000,1732696.0000,21939.0000,10969.4231,10809.5769,0.0226,0.0919,0.0919,0.0231
that,NEGany~that,164768,0.5017,0.9886,6.2632,214504.5660,1.9591,200.6093,6347364,3173660,166676,83337.4223,81430.5777,NEGATED,NEGmir~that,4308,0.4485,0.9449,3.6554,4405.2100,1.2399,30.9060,583470,291732,4559,2279.4766,2028.5234,NEGMIR,634283.8333,0.7209,0.9667,4.9593,109454.8880,1.5995,115.7576,3465417.0000,1732696.0000,85617.5000,42808.4494,41729.5506,0.0261,0.0919,0.0919,0.0274
exactly,NEGany~exactly,43813,0.4879,0.9845,5.7099,54870.7198,1.8084,103.0103,6347364,3173660,44503,22251.3458,21561.6542,NEGATED,NEGmir~exactly,813,0.4362,0.9356,2.9477,790.2748,1.1594,13.2747,583470,291732,869,434.4955,378.5045,NEGMIR,592565.0000,0.7110,0.9600,4.3288,27830.4973,1.4839,58.1425,3465417.0000,1732696.0000,22686.0000,11342.9206,10970.0794,0.0186,0.0919,0.0919,0.0195
any,NEGany~any,15384,0.4486,0.9474,3.9145,15851.5548,1.2574,58.5739,6347364,3173660,16238,8118.9437,7265.0563,NEGATED,NEGmir~any,1066,0.4744,0.9735,4.0049,1252.0247,1.5597,15.8809,583470,291732,1095,547.4944,518.5056,NEGMIR,583195.8333,0.7110,0.9605,3.9597,8551.7898,1.4085,37.2274,3465417.0000,1732696.0000,8666.5000,4333.2190,3891.7809,0.0693,0.0919,0.0919,0.0674
remotely,NEGany~remotely,5661,0.4193,0.9188,3.1623,5075.5677,1.0542,34.2974,6347364,3173660,6161,3080.4787,2580.5213,NEGATED,NEGmir~remotely,1840,0.4436,0.9421,3.3716,1849.2255,1.2125,20.1307,583470,291732,1953,976.4900,863.5100,NEGMIR,580167.8333,0.6810,0.9305,3.2670,3462.3966,1.1334,27.2140,3465417.0000,1732696.0000,4057.0000,2028.4843,1722.0157,0.3250,0.0919,0.0919,0.3170
yet,NEGany~yet,51867,0.4666,0.9626,4.5198,57900.1214,1.4176,109.4508,6347364,3173660,53881,26940.3132,24926.6868,NEGATED,NEGmir~yet,320,0.2639,0.7637,0.8978,122.7690,0.5083,6.1773,583470,291732,419,209.4978,110.5022,NEGMIR,595313.1667,0.6142,0.8632,2.7088,29011.4452,0.9630,57.8140,3465417.0000,1732696.0000,27150.0000,13574.9055,12518.5945,0.0062,0.0919,0.0919,0.0078
immediately,NEGany~immediately,56099,0.4709,0.9666,4.6835,63920.5351,1.4683,114.3295,6347364,3173660,58040,29019.7988,27079.2012,NEGATED,NEGmir~immediately,403,0.2148,0.7145,0.6710,107.3893,0.3980,6.0276,583470,291732,564,281.9971,121.0029,NEGMIR,596749.6667,0.5917,0.8405,2.6772,32013.9622,0.9332,60.1785,3465417.0000,1732696.0000,29302.0000,14650.8980,13600.1020,0.0072,0.0919,0.0919,0.0097
particularly,NEGany~particularly,55527,0.2318,0.7291,1.3674,16791.8403,0.4347,74.0373,6347364,3173660,76162,38080.7360,17446.2640,NEGATED,NEGmir~particularly,9243,0.4290,0.9216,3.2961,8516.5751,1.0830,43.9830,583470,291732,10029,5014.4484,4228.5518,NEGMIR,602725.5000,0.5779,0.8253,2.3317,12654.2077,0.7588,59.0101,3465417.0000,1732696.0000,43095.5000,21547.5922,10837.4079,0.1665,0.0919,0.0919,0.1317
ever,NEGany~ever,5932,0.0458,0.5457,0.1208,91.1925,0.0798,6.4534,6347364,3173660,10870,5434.9623,497.0377,NEGATED,NEGmir~ever,4709,0.4879,0.9839,5.1735,5883.2577,1.7906,33.7504,583470,291732,4786,2392.9754,2316.0247,NEGMIR,581948.1667,0.5158,0.7648,2.6472,2987.2251,0.9352,20.1019,3465417.0000,1732696.0000,7828.0000,3913.9689,1406.5312,0.7938,0.0919,0.0919,0.4403
