key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] remotely~comparable,125,0.051110335,5.0480685,0.05206164,759.063436,remotely,comparable,6161,2401,6347362,2.3305053,122.6694947,0.98135597,1.7626065,10.971893,1.7294599,0.019929992,0.020288914,0.051110335,0.035520162,direct
[_direct_] remotely~close,733,0.01490706,3.7451847,0.015768528,2801.938393,remotely,close,6161,46485,6347362,45.1201751,687.8798249,0.9384445,1.2693322,25.407421,1.2107332,0.111759156,0.118974194,0.111759156,0.06333311,direct
[_direct_] remotely~similar,169,0.014296036,3.3473787,0.015241703,620.703113,remotely,similar,6161,11088,6347362,10.7624503,158.2375497,0.93631685,1.214782,12.172119,1.1959755,0.025708698,0.027430613,0.025708698,0.020002367,direct
[_mirror_] remotely~close,226,0.043796614,3.3353136,0.046781205,805.381401,remotely,close,1953,4831,583470,16.170398712158203,209.82960510253906,0.9284496,1.2154833,13.957658,1.1453876,0.10780046,0.11571941,0.10780046,0.07579854,mirror
[_mirror_] remotely~similar,81,0.047854744,3.0702775,0.05107188,296.758416,remotely,similar,1953,1586,583470,5.308684349060059,75.69131469726562,0.9344607,1.2244924,8.410146,1.1834981,0.038886596,0.041474655,0.047854744,0.043370668,mirror
[_direct_] remotely~interested,364,0.0096193,3.0255394,0.010537591,1096.499668,remotely,interested,6161,34543,6347362,33.5287987,330.4712013,0.90788794,1.0645155,17.321398,1.0356834,0.05369133,0.05908132,0.05369133,0.031655315,direct
[_direct_] remotely~related,163,0.0104834875,2.914993,0.011430575,510.848241,remotely,related,6161,14260,6347362,13.8413186,149.1586814,0.91508394,1.087538,11.683009,1.0710101,0.024233663,0.026456743,0.024233663,0.017358575,direct
[_direct_] remotely~funny,141,0.008454345,2.577475,0.009405016,391.230359,remotely,funny,6161,14992,6347362,14.5518267,126.44817330000001,0.8967956,1.0005068,10.648857,0.9863016,0.02054391,0.022885894,0.02054391,0.014499128,direct
[_direct_] remotely~true,251,0.006241943,2.3744063,0.0071781967,579.447665,remotely,true,6161,34967,6347362,33.9403499,217.0596501,0.8647795,0.88816524,13.700684,0.8689574,0.035265468,0.04074014,0.035265468,0.020753706,direct
[_direct_] remotely~qualified,59,0.00919268,2.246115,0.010154906,171.270601,remotely,qualified,6161,5810,6347362,5.6394152,53.3605848,0.9044167,1.0310055,6.9469566,1.0196179,0.008669442,0.009576367,0.00919268,0.008931061,direct
