key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] remotely~comparable,125,0.05022348,5.0341496,0.051166598,756.794994,remotely,comparable,6109,2443,6347362,2.3512583,122.6487418,0.9811899,0.020096071,0.020461613,0.05022348,0.035159778,1.7584251,10.9700365,1.7256097,direct
[_direct_] remotely~close,729,0.014828629,3.7485437,0.015682478,2790.989237,remotely,close,6109,46485,6347362,44.739353,684.2606477,0.93862915,0.11211652,0.119332135,0.11211652,0.06347258,1.27078,25.342987,1.2120378,direct
[_mirror_] remotely~close,233,0.043871928,3.3389919,0.04686243,829.5262451171875,remotely,close,1963,4972,583470,16.727571,216.27243041992188,0.9282079,0.11054636,0.11869587,0.11054636,0.077209145,1.2153842,14.168478,1.143923,mirror
[_direct_] remotely~similar,168,0.014024955,3.330493,0.014962593,613.843817,remotely,similar,6109,11228,6347362,10.806355,157.1936442,0.93567646,0.025756275,0.02750041,0.025756275,0.019890616,1.210346,12.127753,1.19163,direct
[_mirror_] remotely~similar,82,0.04811361,3.0770457,0.051346276,300.50341796875,remotely,similar,1963,1597,583470,5.3728743,76.62712860107422,0.93447715,0.039167497,0.041772798,0.04811361,0.043640554,1.2248162,8.46205,1.1836072,mirror
[_direct_] remotely~interested,365,0.009748016,3.0548873,0.010657867,1112.996511,remotely,interested,6109,34247,6347362,32.960926,332.039075,0.9096961,0.054404806,0.059747912,0.054404806,0.03207641,1.0735081,17.379719,1.0442935,direct
[_direct_] remotely~related,174,0.011267392,3.0453923,0.012204531,569.458767,remotely,related,6109,14257,6347362,13.721608,160.278392,0.9211402,0.026261711,0.028482568,0.026261711,0.018764552,1.1208371,12.150674,1.1031443,direct
[_direct_] remotely~funny,143,0.008476256,2.5971444,0.009418429,399.392009,remotely,funny,6109,15183,6347362,14.612834,128.387166,0.89781237,0.021036316,0.023408087,0.021036316,0.0147562865,1.0050138,10.736274,0.9906016,direct
[_direct_] remotely~true,253,0.0062708184,2.392905,0.0071985433,589.185244,remotely,true,6109,35146,6347362,33.826164,219.1738351,0.86629975,0.035911765,0.041414306,0.035911765,0.021091292,0.8933741,13.779341,0.87386775,direct
[_direct_] remotely~qualified,61,0.009651306,2.342998,0.010605007,182.866587,remotely,qualified,6109,5752,6347362,5.5359955,55.4640044,0.90924597,0.009087811,0.009985267,0.009651306,0.009369559,1.0537859,7.101438,1.042134,direct
