             l1  l2                      f        E11  r.log.likelihood  r.log.likelihood.tt  r.odds.ratio.disc  r.Dice  r.t.score  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  r.p1.given2.margin  r.p2.given1.margin  r.expect.diff  am.log.likelihood  am.log.likelihood.tt  am.odds.ratio.disc  am.Dice  am.t.score  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple  am.p1.given2.margin  am.p2.given1.margin  am.expect.diff       f1       f2         N  
         highly  touted               1278      15.37              1711                 2404               1167   15686       3112           26        32484                  38               44496                  26               32610           3939           10166.31              10166.31                2.54    0.003       35.32         0.754         0.002                0.763                0.002                0.754                0.002         1262.63   764843     1674  83284343  
           most  storied              1053     113.78              3682                 5496               7750  109219       4338           27        78847                  17              122426                  27               80204           5018            3992.16               3992.16                1.72    0.000       28.94         0.750         0.000                0.841                0.000                0.750                0.000          939.22  7568812     1252  83284343  
    desperately  needed                914       0.19              1233                 1680                 25     125       4054           28         1200                  46                1285                  28                1200           5122           14708.19              14708.19                4.31    0.129       30.23         0.748         0.070                0.748                0.070                0.748                0.070          913.81    13003     1222  83284343  
    potentially  libelous              897       2.96              1806                 2563                328    5189       4125           29        18183                  44               23286                  29               18190           5214            9424.44               9424.44                3.08    0.009       29.85         0.746         0.004                0.749                0.004                0.746                0.004          894.04   205787     1198  83284343  
          still  unaccounted          1699      22.49              1364                 1879               1364   12530       2448           30        29140                  42               39269                  30               29254           3093           13152.48              13152.48                2.48    0.004       40.67         0.743         0.002                0.753                0.002                0.743                0.002         1676.51   830082     2256  83284343  
           most  ardent               7357     801.83               687                  900               8113   27582        808           31        42613                  23               60139                  31               44352            949           27636.97              27636.97                1.70    0.002       76.42         0.743         0.001                0.834                0.001                0.743                0.001         6555.17  7568812     8823  83284343  
           more  leeway                837     110.02              4662                 7155               8826  126880       5433           32        85663                  16              134864                  32               87200           6082            2874.77               2874.77                1.66    0.000       25.13         0.740         0.000                0.851                0.000                0.740                0.000          726.98  9320997      983  83284343  
      seemingly  unending             1007       2.66              1596                 2232                265    3355       3761           33        14129                  53               17578                  33               14137           4765           10999.80              10999.80                3.16    0.012       31.65         0.735         0.006                0.737                0.006                0.735                0.006         1004.34   162309     1367  83284343  
           most  die-hard              884      99.60              4288                 6525               9521  116678       5019           34        81698                  28              127641                  34               83039           5720            3203.93               3203.93                1.62    0.000       26.38         0.716         0.000                0.807                0.000                0.716                0.000          784.40  7568812     1096  83284343  
           more  streamlined          4660     631.78              1182                 1607              10429   50275       1281           35        55463                  26               81700                  35               57744           1436           15419.95              15419.95                1.57    0.001       59.01         0.714         0.000                0.826                0.000                0.714                0.000         4028.22  9320997     5645  83284343  
     previously  undisclosed          1889       2.35               808                 1057                127     495       2157           36         3646                  61                4115                  36                3649           2801           23410.86              23410.86                3.45    0.050       43.41         0.708         0.026                0.709                0.026                0.708                0.026         1886.65    73337     2666  83284343  
