category,Extra,all,always,as,decorously,entirely,ever,exactly,far,how,individually,just,less,more,most,no,not,often,once,positively,potentially,pretty,purely,quite,severely,so,that,truly,very,why,SUM
advadj,1,1,1,6,1,1,2,139,1,1,1,2,1,2,4,1,4,1,1,1,1,7,1,2,1,2,1,1,4,1,193
contig,0,0,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,102
raised,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
scoped,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SUM,1,1,2,7,1,1,2,244,1,1,1,2,1,2,4,1,4,1,1,1,1,7,1,3,1,2,2,1,4,1,302
