        l1  l2                              f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple       f1     f2        N  
----------  --------------------------  -----  -------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  -------  -----  -------  
   NEGATED  exactly_sure                 8794  4398.50                32                  3            1           42               25489                  58           12153.52               3.401     0.5003524      0.002770             0.999659             0.002771  3173681   8797  6347362  
   NEGATED  yet_clear                   10406  5205.50                24                  8            2           31               25491                  48           14363.37               3.278     0.5003404      0.003277             0.999520             0.003279  3173681  10411  6347362  
   NEGATED  too_surprising               4014  2007.00                82                  1            3          111                   1                 143            5567.13               3.905     0.5003164      0.001265             1.000000             0.001265  3173681   4014  6347362  
   NEGATED  even_sure                   14459  7235.50                14                 20            4           20               25497                  31           19899.75               3.065     0.5003114      0.004552             0.999171             0.004556  3173681  14471  6347362  
   NEGATED  necessarily_indicative       1389   694.50               242                  2            5          361                   1                 530            1925.87               3.444     0.5001094      0.000438             1.000000             0.000438  3173681   1389  6347362  
   NEGATED  that_common                  1207   603.50               283                  4            6          427                   1                 629            1673.49               3.383     0.5000951      0.000380             1.000000             0.000380  3173681   1207  6347362  
   NEGATED  entirely_sure               12931  6471.50                18                 21            7           24               25500                  34           17777.57               3.017     0.5000926      0.004071             0.999073             0.004074  3173681  12943  6347362  
   NEGATED  that_familiar                1126   563.00               314                  5            8          462                   1                 683            1561.17               3.353     0.5000887      0.000355             1.000000             0.000355  3173681   1126  6347362  
   NEGATED  exactly_easy                 1066   533.00               336                  6            9          488                   1                 724            1477.97               3.329     0.5000840      0.000336             1.000000             0.000336  3173681   1066  6347362  
   NEGATED  terribly_surprising           949   474.50               380                  7           10          549                   1                 800            1315.74               3.279     0.5000748      0.000299             1.000000             0.000299  3173681    949  6347362  
   NEGATED  necessarily_easy              909   454.50               397                  9           11          571                   1                 832            1260.27               3.260     0.5000716      0.000286             1.000000             0.000286  3173681    909  6347362  
   NEGATED  yet_certain                   866   433.00               417                 10           12          595                   1                 874            1200.65               3.239     0.5000682      0.000273             1.000000             0.000273  3173681    866  6347362  
COMPLEMENT  increasingly_difficult        853   426.50               419                 11           13          607                   1                 894            1182.62               3.232     0.5000672      0.000269             1.000000             0.000269  3173681    853  6347362  
   NEGATED  that_uncommon                 802   401.00               452                 14           14          641                   1                 956            1111.91               3.206     0.5000632      0.000253             1.000000             0.000253  3173681    802  6347362  
   NEGATED  yet_ready                    7501  3752.50                40                 12           15           53               25493                  67           10344.71               3.223     0.5000583      0.002362             0.999467             0.002364  3173681   7505  6347362  
   NEGATED  that_impressed                681   340.50               544                 16           16          775                   1                1149             944.14               3.135     0.5000537      0.000215             1.000000             0.000215  3173681    681  6347362  
   NEGATED  yet_final                     640   320.00               585                 18           17          837                   1                1224             887.29               3.108     0.5000504      0.000202             1.000000             0.000202  3173681    640  6347362  
   NEGATED  yet_available                7430  3717.00                41                 13           18           55               25494                  69           10246.19               3.219     0.5000476      0.002340             0.999462             0.002341  3173681   7434  6347362  
   NEGATED  necessarily_representative    487   243.50               783                 23           19         1094                   1                1631             675.16               2.989     0.5000384      0.000153             1.000000             0.000153  3173681    487  6347362  
   NEGATED  only_unnecessary              485   242.50               785                 24           20         1101                   1                1636             672.39               2.987     0.5000382      0.000153             1.000000             0.000153  3173681    485  6347362  
   NEGATED  yet_public                    467   233.50               825                 25           21         1153                   1                1704             647.43               2.971     0.5000368      0.000147             1.000000             0.000147  3173681    467  6347362  
COMPLEMENT  most_incredible               466   233.00               826                 26           22         1158                   1                1707             646.05               2.970     0.5000367      0.000147             1.000000             0.000147  3173681    466  6347362  
