key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] any~happier,834,0.41374007,7.763809,0.41616768,7282.992216,any,happier,16238,2004,6347362,5.1266892,828.8733108,0.9938529,2.4668078,28.701536,2.211329,0.051176205,0.051361006,0.41374007,0.23245813,direct
[_direct_] any~clearer,371,0.37918708,7.3888726,0.38168725,3147.577041,any,clearer,16238,972,6347362,2.4865977,368.5134023,0.9932976,2.3916543,19.132263,2.1737683,0.022752713,0.022847641,0.37918708,0.2009699,direct
[_mirror_] any~closer,61,0.21765146,6.0510864,0.21942446,477.61658,any,closer,1095,278,583470,0.5217235088348389,60.478275299072266,0.99144715,2.2017267,7.7434497,2.0678895,0.05533515,0.055707764,0.21765146,0.13649331,mirror
[_direct_] any~closer,611,0.16329895,5.9222946,0.16576235,4021.038839,any,closer,16238,3686,6347362,9.4296289,601.5703711,0.98456687,1.9058611,24.336933,1.8115466,0.03714209,0.037627786,0.16329895,0.10022052,direct
[_direct_] any~worse,1762,0.14314254,5.8489785,0.14542754,11229.252124,any,worse,16238,12116,6347362,30.995492,1731.004508,0.98240894,1.8711064,41.237778,1.7547073,0.10687549,0.108510904,0.14314254,0.12500902,direct
[_direct_] any~simpler,229,0.15584518,5.6101046,0.15836792,1479.260017,any,simpler,16238,1446,6347362,3.6991979,225.3008021,0.9838463,1.8723333,14.888296,1.7917279,0.013910497,0.014102722,0.15584518,0.08487784,direct
[_direct_] any~easier,1625,0.12388709,5.605863,0.12619399,9854.269029,any,easier,16238,12877,6347362,32.9423036,1592.0576964,0.9797278,1.795692,39.49409,1.6930994,0.09829665,0.100073904,0.12388709,0.111091875,direct
[_mirror_] any~better,390,0.10058482,5.502394,0.1018011,2543.306361,any,better,1095,3831,583470,7.189650058746338,382.81036376953125,0.981565,1.9690057,19.384356,1.7343569,0.35025582,0.3561644,0.35025582,0.22542033,mirror
[_direct_] any~younger,255,0.14041846,5.472608,0.14293721,1591.824281,any,younger,16238,1784,6347362,4.563879,250.436121,0.98210245,1.8205456,15.682919,1.7472061,0.015462399,0.015703904,0.14041846,0.07794043,direct
[_direct_] any~safer,255,0.13621898,5.4236846,0.13873775,1575.705071,any,safer,16238,1838,6347362,4.7020233,250.2979767,0.9815607,1.8054732,15.674268,1.7342554,0.0154538695,0.015703904,0.13621898,0.07583642,direct
