key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] any~happier,830,0.4323642,7.8729777,0.4347826,7348.54823,any,happier,16176,1909,6347362,4.8650107,825.1349893,0.99413854,0.051140156,0.051310584,0.4323642,0.24175218,2.5015187,28.640854,2.2319944,direct
[_direct_] any~clearer,361,0.34562758,7.1901145,0.3481196,2983.071762,any,clearer,16176,1037,6347362,2.6427534,358.3572467,0.99267936,0.02221024,0.022317013,0.34562758,0.18391891,2.3301964,18.860909,2.1354506,direct
[_direct_] any~closer,600,0.16956307,5.98756,0.17201835,4000.906396,any,closer,16176,3488,6347362,8.8890295,591.1109705,0.98518497,0.036635835,0.03709199,0.16956307,0.10309945,1.9266577,24.132004,1.829297,direct
[_mirror_] any~closer,60,0.20877215,5.9848537,0.21052632,465.5296630859375,any,closer,1083,285,583470,0.5289989,59.47100067138672,0.99118334,0.05501532,0.05540166,0.20877215,0.13189374,2.1835651,7.6776733,2.0546966,mirror
[_direct_] any~worse,1797,0.1488531,5.9209504,0.1511227,11618.04722,any,worse,16176,11891,6347362,30.303741,1766.6962587,0.9831365,0.109496176,0.1110905,0.1488531,0.12917463,1.8936324,41.676174,1.7730519,direct
[_direct_] any~easier,1624,0.123156555,5.6016884,0.12545384,9840.903505,any,easier,16176,12945,6347362,32.98982,1591.0101816,0.9796861,0.09860752,0.10039565,0.123156555,0.11088204,1.794586,39.480255,1.6922061,direct
[_direct_] any~simpler,232,0.15205112,5.5791316,0.15456362,1488.356894,any,simpler,16176,1501,6347362,3.825239,228.1747611,0.9835119,0.014141799,0.014342235,0.15205112,0.08309646,1.8615774,14.980407,1.7828294,direct
[_mirror_] any~better,386,0.10366065,5.5630717,0.10486281,2549.64599609375,any,better,1083,3681,583470,6.8324385,379.1675720214844,0.9822994,0.3507596,0.35641736,0.3507596,0.22721013,1.9884319,19.29912,1.7520115,mirror
[_direct_] any~younger,259,0.14226526,5.503595,0.14477362,1625.847662,any,younger,16176,1789,6347362,4.5591955,254.4408045,0.9823969,0.015769714,0.016011374,0.14226526,0.07901748,1.8288093,15.810183,1.7544116,direct
[_direct_] any~safer,246,0.13476637,5.401358,0.13727678,1516.315591,any,safer,16176,1792,6347362,4.5668406,241.4331592,0.9814356,0.014963527,0.015207715,0.13476637,0.07486495,1.8016167,15.393216,1.7313192,direct
