adj_lemma,advadj,contig,raised,scoped,SUM
American,1,1,0,0,2
Cartisan,1,0,0,0,1
Fresh,1,0,0,0,1
able,1,0,0,0,1
active,1,0,0,0,1
adventurous,1,1,0,0,2
alarming,1,1,0,0,2
alike,3,0,0,2,5
analogous,1,0,0,0,1
appropriate,3,3,0,0,6
aromatic,1,0,0,0,1
astonish,2,0,0,0,2
atypical,1,0,0,0,1
available,1,1,0,0,2
average,1,0,0,0,1
backwards,1,0,0,0,1
bare,1,1,0,0,2
buoyant,1,1,0,0,2
busy,1,0,0,0,1
calm,1,0,0,0,1
carefree,1,0,0,0,1
certain,1,1,0,0,2
chaste,1,0,0,0,1
cheap,1,1,0,0,2
chivalrous,1,1,0,0,2
civilized,1,1,0,0,2
clear,7,5,0,1,13
close,1,0,0,0,1
comparable,1,1,1,0,3
compatible,1,0,0,0,1
connected,2,0,0,0,2
consistent,1,1,0,0,2
contrary,1,0,0,0,1
coterminous,1,0,0,0,1
craggy,1,1,0,0,2
crappy,1,0,0,0,1
craven,1,0,0,1,2
crazy,1,0,0,0,1
crummy,1,0,0,0,1
difficult,1,1,0,0,2
disposable,1,0,0,0,1
diverse,2,2,0,0,4
dramatic,1,1,0,0,2
dull,1,1,0,0,2
early,1,0,0,0,1
earthshaking,1,1,0,0,2
easy,2,2,0,0,4
empty,1,1,0,0,2
enough,2,0,0,0,2
epic,1,1,0,0,2
equal,1,0,0,0,1
excited,1,1,0,0,2
fabulous,1,0,0,0,1
fast,1,1,0,0,2
fat,1,1,0,0,2
fine,2,0,0,0,2
flawless,1,1,0,0,2
gabby,1,1,0,0,2
glaring,1,0,0,0,1
gloomy,1,0,0,0,1
good,1,1,0,0,2
great,2,0,0,0,2
handmade,1,0,0,0,1
hard,1,1,0,0,2
healthy,1,1,0,0,2
helpful,1,0,0,0,1
high,2,0,0,0,2
high-tech,1,1,0,0,2
identical,2,0,0,0,2
important,1,1,0,0,2
impressed,1,1,0,0,2
intense,1,0,0,0,1
irrational,1,0,0,0,1
keen,1,1,0,0,2
l.a.,1,1,0,0,2
less,1,0,0,0,1
listenable,1,1,0,0,2
long,1,0,0,0,1
loyal,1,0,0,0,1
many,1,0,0,0,1
massive,1,0,0,0,1
medicinal,1,0,0,0,1
monochromatic,1,1,0,0,2
more,1,0,0,0,1
necessary,1,1,0,0,2
new,1,1,0,0,2
non-partisan,1,1,0,0,2
normal,1,0,0,0,1
obvious,2,0,0,0,2
opposite,1,0,0,0,1
overwhelming,1,1,0,0,2
perfect,2,2,0,0,4
poreless,1,0,0,0,1
proper,1,0,0,0,1
proud,1,0,0,0,1
quiet,1,1,0,0,2
real,1,0,1,0,2
recognizable,1,0,0,0,1
red,1,0,0,0,1
related,1,1,0,0,2
revolutionary,1,1,0,0,2
right,12,0,0,0,12
safe,1,0,0,0,1
same,1,0,0,0,1
scientific,1,1,0,0,2
serene,1,1,0,0,2
shocked,1,1,0,0,2
shocking,1,1,0,0,2
similar,1,0,0,0,1
slim,1,0,0,0,1
slow,1,1,0,0,2
smooth,1,1,0,0,2
stable,1,1,0,0,2
standard,1,1,0,0,2
strong,1,1,0,0,2
stylish,1,1,0,0,2
subtle,1,1,0,0,2
sure,26,23,0,0,49
teachable,1,1,0,0,2
timely,1,1,0,0,2
tranquil,1,0,0,0,1
true,2,2,0,0,4
typecast,1,1,0,0,2
typical,1,1,0,0,2
ugly,1,1,0,0,2
unblemished,1,1,0,0,2
unknown,1,1,0,0,2
uplifting,1,0,0,0,1
useful,1,0,0,0,1
welcome,1,1,0,0,2
widespread,1,0,1,0,2
wonderful,1,1,0,0,2
world-wise,1,1,0,0,2
worried,1,1,0,0,2
wrong,1,0,0,0,1
SUM,193,102,3,4,302
