adj_lemma,few,never,no,none,not,nothing,SUM
American,0,0,0,0,1,0,1
adventurous,0,0,0,0,1,0,1
alarming,0,0,0,0,1,0,1
alike,0,0,2,0,0,0,2
appropriate,0,0,0,0,3,0,3
available,0,0,0,0,1,0,1
bare,0,0,0,0,1,0,1
buoyant,0,0,0,0,1,0,1
certain,0,0,0,0,1,0,1
cheap,0,0,0,1,0,0,1
chivalrous,0,0,0,0,1,0,1
civilized,0,0,0,0,1,0,1
clear,0,0,1,0,5,0,6
comparable,0,0,0,0,2,0,2
consistent,0,0,0,0,1,0,1
craggy,0,0,0,0,1,0,1
craven,1,0,0,0,0,0,1
difficult,0,0,0,0,1,0,1
diverse,0,0,0,0,2,0,2
dramatic,0,0,0,0,1,0,1
dull,0,0,0,0,1,0,1
earthshaking,0,0,0,0,1,0,1
easy,0,0,0,0,2,0,2
empty,0,0,0,0,1,0,1
epic,0,0,0,0,1,0,1
excited,0,0,0,0,1,0,1
fast,0,0,0,0,1,0,1
fat,0,0,0,0,1,0,1
flawless,0,0,0,0,1,0,1
gabby,0,1,0,0,0,0,1
good,0,0,0,0,1,0,1
hard,0,0,0,0,1,0,1
healthy,0,0,0,0,1,0,1
high-tech,0,0,0,0,1,0,1
important,0,0,0,0,1,0,1
impressed,0,0,0,0,1,0,1
keen,0,0,0,0,1,0,1
l.a.,0,0,0,0,1,0,1
listenable,0,0,0,0,1,0,1
monochromatic,0,0,0,0,1,0,1
necessary,0,0,0,0,1,0,1
new,0,0,0,0,1,0,1
non-partisan,0,0,0,0,1,0,1
overwhelming,0,0,0,0,1,0,1
perfect,0,0,0,0,2,0,2
quiet,0,0,0,0,1,0,1
real,0,0,0,0,0,1,1
related,0,0,0,0,1,0,1
revolutionary,0,0,0,0,1,0,1
scientific,0,0,0,0,1,0,1
serene,0,0,0,0,1,0,1
shocked,0,0,0,0,1,0,1
shocking,0,0,0,0,1,0,1
slow,0,0,0,0,1,0,1
smooth,0,0,0,0,1,0,1
stable,0,0,0,0,1,0,1
standard,0,0,0,0,1,0,1
strong,0,0,0,0,1,0,1
stylish,0,0,0,0,1,0,1
subtle,0,0,0,0,1,0,1
sure,0,0,0,0,23,0,23
teachable,0,0,0,0,1,0,1
timely,0,0,0,0,1,0,1
true,0,0,0,0,2,0,2
typecast,0,0,0,0,1,0,1
typical,0,0,0,0,1,0,1
ugly,0,0,0,0,1,0,1
unblemished,0,0,0,0,1,0,1
unknown,0,0,0,0,1,0,1
welcome,0,0,0,0,1,0,1
widespread,0,0,0,0,1,0,1
wonderful,0,0,0,0,1,0,1
world-wise,0,0,0,0,1,0,1
worried,0,0,0,0,1,0,1
SUM,1,1,3,1,102,1,109
