adj_lemma,exactly_puddin-val,exactly_test,SUM
American,2,0,2
Cartisan,1,0,1
Fresh,1,0,1
able,0,1,1
active,0,1,1
adventurous,0,2,2
alarming,0,2,2
alike,5,0,5
analogous,0,1,1
appropriate,2,4,6
aromatic,0,1,1
astonish,2,0,2
atypical,0,1,1
available,0,2,2
average,0,1,1
backwards,0,1,1
bare,0,2,2
buoyant,0,2,2
busy,0,1,1
calm,0,1,1
carefree,0,1,1
certain,0,2,2
chaste,0,1,1
cheap,0,2,2
chivalrous,0,2,2
civilized,0,2,2
clear,4,9,13
close,1,0,1
comparable,3,0,3
compatible,1,0,1
connected,0,2,2
consistent,0,2,2
contrary,1,0,1
coterminous,1,0,1
craggy,0,2,2
crappy,1,0,1
craven,0,2,2
crazy,0,1,1
crummy,1,0,1
difficult,2,0,2
disposable,0,1,1
diverse,4,0,4
dramatic,0,2,2
dull,0,2,2
early,0,1,1
earthshaking,0,2,2
easy,2,2,4
empty,0,2,2
enough,1,1,2
epic,2,0,2
equal,0,1,1
excited,0,2,2
fabulous,0,1,1
fast,0,2,2
fat,0,2,2
fine,0,2,2
flawless,0,2,2
gabby,0,2,2
glaring,0,1,1
gloomy,0,1,1
good,2,0,2
great,2,0,2
handmade,1,0,1
hard,2,0,2
healthy,2,0,2
helpful,1,0,1
high,0,2,2
high-tech,0,2,2
identical,2,0,2
important,2,0,2
impressed,2,0,2
intense,0,1,1
irrational,0,1,1
keen,2,0,2
l.a.,0,2,2
less,1,0,1
listenable,0,2,2
long,0,1,1
loyal,0,1,1
many,1,0,1
massive,0,1,1
medicinal,0,1,1
monochromatic,2,0,2
more,1,0,1
necessary,0,2,2
new,0,2,2
non-partisan,2,0,2
normal,0,1,1
obvious,1,1,2
opposite,0,1,1
overwhelming,0,2,2
perfect,4,0,4
poreless,0,1,1
proper,0,1,1
proud,1,0,1
quiet,2,0,2
real,0,2,2
recognizable,0,1,1
red,0,1,1
related,2,0,2
revolutionary,2,0,2
right,2,10,12
safe,1,0,1
same,1,0,1
scientific,0,2,2
serene,0,2,2
shocked,2,0,2
shocking,2,0,2
similar,1,0,1
slim,0,1,1
slow,2,0,2
smooth,0,2,2
stable,2,0,2
standard,0,2,2
strong,2,0,2
stylish,0,2,2
subtle,0,2,2
sure,26,23,49
teachable,2,0,2
timely,0,2,2
tranquil,0,1,1
true,0,4,4
typecast,2,0,2
typical,2,0,2
ugly,2,0,2
unblemished,0,2,2
unknown,2,0,2
uplifting,0,1,1
useful,0,1,1
welcome,0,2,2
widespread,0,2,2
wonderful,2,0,2
world-wise,0,2,2
worried,0,2,2
wrong,0,1,1
SUM,127,175,302
