,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability,adv,adj,adv_total,adj_total
388,NEGATED,only_intrusive,16,0.643,97.248,2.447,0.903,0.0,8.667,3.065,15.357,0.96,0.0,only,intrusive,445868.0,11931.0
384,NEGATED,that_flavorful,16,0.643,97.248,2.447,0.903,0.0,8.667,3.065,15.357,0.96,0.0,that,flavorful,249255.0,10767.0
383,NEGATED,only_implausible,16,0.643,97.248,2.447,0.903,0.0,8.667,3.065,15.357,0.96,0.0,only,implausible,445868.0,4909.0
382,NEGATED,necessarily_sexy,16,0.643,97.248,2.447,0.903,0.0,8.667,3.065,15.357,0.96,0.0,necessarily,sexy,54048.0,39790.0
389,NEGATED,only_unconstitutional,173,6.963,1050.457,2.584,0.902,0.0,8.643,6.497,166.037,0.96,0.0,only,unconstitutional,445868.0,6792.0
390,NEGATED,exactly_free,156,6.282,946.783,2.579,0.902,0.0,8.631,6.398,149.718,0.96,0.0,exactly,free,59426.0,206519.0
391,NEGATED,exactly_flattering,78,3.141,473.39,2.56,0.902,0.0,8.631,5.67,74.859,0.96,0.0,exactly,flattering,59426.0,15641.0
392,NEGATED,necessarily_reflective,187,7.531,1134.856,2.581,0.902,0.0,8.63,6.56,179.469,0.96,0.0,necessarily,reflective,54048.0,13997.0
393,NEGATED,that_exciting,807,32.508,4896.45,2.592,0.902,0.0,8.624,7.533,774.492,0.96,0.0,that,exciting,249255.0,235728.0
394,NEGATED,necessarily_welcome,62,2.498,376.142,2.548,0.902,0.0,8.622,5.384,59.502,0.96,0.0,necessarily,welcome,54048.0,73404.0
395,NEGATED,exactly_sad,31,1.249,188.071,2.506,0.902,0.0,8.622,4.366,29.751,0.96,0.0,exactly,sad,59426.0,109541.0
396,NEGATED,entirely_fond,31,1.249,188.071,2.506,0.902,0.0,8.622,4.366,29.751,0.96,0.0,entirely,fond,291794.0,39561.0
397,NEGATED,exactly_ideal,418,16.841,2535.79,2.588,0.901,0.0,8.621,7.159,401.159,0.96,0.0,exactly,ideal,59426.0,42438.0
398,NEGATED,entirely_surprising,1528,61.572,9268.438,2.592,0.901,0.0,8.616,7.804,1466.428,0.96,0.0,entirely,surprising,291794.0,149928.0
400,NEGATED,only_cumbersome,46,1.854,278.895,2.529,0.901,0.0,8.606,4.975,44.146,0.96,0.0,only,cumbersome,445868.0,9072.0
399,NEGATED,exactly_black,46,1.854,278.895,2.529,0.901,0.0,8.606,4.975,44.146,0.96,0.0,exactly,black,59426.0,64686.0
401,NEGATED,only_diverse,61,2.46,369.719,2.541,0.901,0.0,8.599,5.356,58.54,0.96,0.0,only,diverse,445868.0,128309.0
402,NEGATED,exactly_smooth,76,3.065,460.544,2.549,0.9,0.0,8.594,5.626,72.935,0.96,0.0,exactly,smooth,59426.0,60538.0
403,NEGATED,only_versatile,75,3.028,454.124,2.543,0.9,0.0,8.575,5.603,71.972,0.96,0.0,only,versatile,445868.0,56128.0
404,NEGATED,only_unwilling,45,1.817,272.474,2.519,0.9,0.0,8.575,4.934,43.183,0.96,0.0,only,unwilling,445868.0,8117.0
405,NEGATED,exactly_traditional,45,1.817,272.474,2.519,0.9,0.0,8.575,4.934,43.183,0.96,0.0,exactly,traditional,59426.0,79350.0
406,NEGATED,that_sympathetic,30,1.211,181.649,2.492,0.9,0.0,8.574,4.299,28.789,0.96,0.0,that,sympathetic,249255.0,23812.0
407,NEGATED,that_noteworthy,30,1.211,181.649,2.492,0.9,0.0,8.574,4.299,28.789,0.96,0.0,that,noteworthy,249255.0,17334.0
408,NEGATED,yet_obsolete,30,1.211,181.649,2.492,0.9,0.0,8.574,4.299,28.789,0.96,0.0,yet,obsolete,96968.0,7607.0
409,NEGATED,exactly_complex,30,1.211,181.649,2.492,0.9,0.0,8.574,4.299,28.789,0.96,0.0,exactly,complex,59426.0,255438.0
414,NEGATED,exactly_spontaneous,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,exactly,spontaneous,59426.0,6688.0
417,NEGATED,exactly_angry,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,exactly,angry,59426.0,69522.0
416,NEGATED,necessarily_hereditary,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,necessarily,hereditary,54048.0,1019.0
415,NEGATED,that_functional,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,that,functional,249255.0,46702.0
411,NEGATED,only_upsetting,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,only,upsetting,445868.0,9808.0
413,NEGATED,exactly_booming,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,exactly,booming,59426.0,1111.0
412,NEGATED,exactly_modest,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,exactly,modest,59426.0,45460.0
410,NEGATED,exactly_enthralling,15,0.606,90.824,2.419,0.9,0.0,8.574,2.893,14.394,0.96,0.0,exactly,enthralling,59426.0,2638.0
418,NEGATED,that_appealing,223,9.007,1349.543,2.564,0.899,0.0,8.562,6.672,213.993,0.96,0.0,that,appealing,249255.0,86815.0
419,NEGATED,exactly_proud,74,2.99,447.705,2.537,0.899,0.0,8.555,5.58,71.01,0.96,0.0,exactly,proud,59426.0,225273.0
420,NEGATED,yet_profitable,324,13.094,1959.658,2.564,0.899,0.0,8.548,6.945,310.906,0.96,0.0,yet,profitable,96968.0,78903.0
421,NEGATED,yet_accustomed,88,3.557,532.113,2.539,0.898,0.0,8.542,5.776,84.443,0.96,0.0,yet,accustomed,96968.0,14832.0
422,NEGATED,exactly_essential,44,1.779,266.056,2.51,0.898,0.0,8.542,4.892,42.221,0.96,0.0,exactly,essential,59426.0,84469.0
423,NEGATED,only_immoral,205,8.288,1239.464,2.557,0.898,0.0,8.54,6.592,196.712,0.96,0.0,only,immoral,445868.0,6722.0
424,NEGATED,exactly_excited,87,3.519,525.697,2.534,0.898,0.0,8.526,5.757,83.481,0.96,0.0,exactly,excited,59426.0,368758.0
425,NEGATED,only_archaic,29,1.173,175.232,2.477,0.898,0.0,8.525,4.229,27.827,0.96,0.0,only,archaic,445868.0,2979.0
426,NEGATED,exactly_worthy,29,1.173,175.232,2.477,0.898,0.0,8.525,4.229,27.827,0.96,0.0,exactly,worthy,59426.0,39147.0
427,NEGATED,only_unprecedented,72,2.914,434.873,2.525,0.897,0.0,8.516,5.533,69.086,0.96,0.0,only,unprecedented,445868.0,11998.0
428,NEGATED,only_unreasonable,57,2.308,344.05,2.512,0.897,0.0,8.501,5.235,54.692,0.96,0.0,only,unreasonable,445868.0,11444.0
429,NEGATED,immediately_clear,25279,1024.283,152707.2,2.559,0.896,0.008,8.49,8.288,24254.717,0.959,0.007,immediately,clear,101150.0,489251.0
430,NEGATED,only_contrary,113,4.579,681.689,2.531,0.896,0.0,8.488,6.021,108.421,0.959,0.0,only,contrary,445868.0,8238.0
431,NEGATED,exactly_legal,127,5.147,766.099,2.533,0.896,0.0,8.487,6.136,121.853,0.959,0.0,exactly,legal,59426.0,42504.0
432,NEGATED,only_unethical,182,7.38,1097.33,2.536,0.895,0.0,8.475,6.46,174.62,0.959,0.0,only,unethical,445868.0,4416.0
433,NEGATED,exactly_secret,28,1.135,168.819,2.462,0.895,0.0,8.475,4.155,26.865,0.959,0.0,exactly,secret,59426.0,12095.0
434,NEGATED,necessarily_equivalent,55,2.233,331.229,2.496,0.894,0.0,8.449,5.171,52.767,0.959,0.0,necessarily,equivalent,54048.0,14088.0
435,NEGATED,exactly_useful,41,1.665,246.819,2.479,0.894,0.0,8.44,4.758,39.335,0.959,0.0,exactly,useful,59426.0,253186.0
436,NEGATED,only_integral,41,1.665,246.819,2.479,0.894,0.0,8.44,4.758,39.335,0.959,0.0,only,integral,445868.0,7419.0
437,NEGATED,only_timeless,41,1.665,246.819,2.479,0.894,0.0,8.44,4.758,39.335,0.959,0.0,only,timeless,445868.0,5447.0
438,NEGATED,exactly_hot,41,1.665,246.819,2.479,0.894,0.0,8.44,4.758,39.335,0.959,0.0,exactly,hot,59426.0,168237.0
439,NEGATED,exactly_thrilled,203,8.25,1221.293,2.524,0.893,0.0,8.426,6.525,194.75,0.959,0.0,exactly,thrilled,59426.0,29212.0
440,NEGATED,necessarily_clear,189,7.682,1136.883,2.522,0.893,0.0,8.423,6.465,181.318,0.959,0.0,necessarily,clear,54048.0,489251.0
441,NEGATED,yet_illegal,54,2.195,324.822,2.488,0.893,0.0,8.423,5.138,51.805,0.959,0.0,yet,illegal,96968.0,43798.0
442,NEGATED,exactly_pristine,27,1.097,162.411,2.447,0.893,0.0,8.422,4.078,25.903,0.959,0.0,exactly,pristine,59426.0,7771.0
443,NEGATED,yet_imminent,27,1.097,162.411,2.447,0.893,0.0,8.422,4.078,25.903,0.959,0.0,yet,imminent,96968.0,4459.0
444,NEGATED,only_reprehensible,27,1.097,162.411,2.447,0.893,0.0,8.422,4.078,25.903,0.959,0.0,only,reprehensible,445868.0,4776.0
445,NEGATED,necessarily_optimistic,27,1.097,162.411,2.447,0.893,0.0,8.422,4.078,25.903,0.959,0.0,necessarily,optimistic,54048.0,81289.0
446,NEGATED,yet_mature,280,11.391,1682.916,2.521,0.892,0.0,8.405,6.759,268.609,0.959,0.0,yet,mature,96968.0,46881.0
447,NEGATED,only_unjust,120,4.882,721.244,2.509,0.892,0.0,8.405,6.044,115.118,0.959,0.0,only,unjust,445868.0,5236.0
448,NEGATED,only_insightful,40,1.627,240.414,2.469,0.892,0.0,8.405,4.711,38.373,0.959,0.0,only,insightful,445868.0,13139.0
449,NEGATED,yet_ripe,386,15.705,2319.77,2.523,0.892,0.0,8.403,6.974,370.295,0.959,0.0,yet,ripe,96968.0,11913.0
450,NEGATED,too_sure,8101,329.772,48681.18,2.527,0.892,0.003,8.392,8.05,7771.228,0.959,0.002,too,sure,3557198.0,843994.0
451,NEGATED,exactly_fresh,66,2.687,396.421,2.488,0.892,0.0,8.39,5.382,63.313,0.959,0.0,exactly,fresh,59426.0,57483.0
452,NEGATED,necessarily_comprehensive,79,3.217,474.425,2.493,0.892,0.0,8.387,5.593,75.783,0.959,0.0,necessarily,comprehensive,54048.0,76940.0
453,NEGATED,exactly_inspiring,92,3.747,552.429,2.496,0.891,0.0,8.384,5.761,88.253,0.959,0.0,exactly,inspiring,59426.0,37200.0
454,NEGATED,necessarily_able,118,4.806,708.438,2.501,0.891,0.0,8.381,6.017,113.194,0.959,0.0,necessarily,able,54048.0,427094.0
455,NEGATED,only_tasty,235,9.575,1410.483,2.51,0.891,0.0,8.375,6.613,225.425,0.959,0.0,only,tasty,445868.0,33765.0
456,NEGATED,exactly_certain,169,6.888,1014.056,2.504,0.891,0.0,8.368,6.342,162.112,0.959,0.0,exactly,certain,59426.0,104137.0
457,NEGATED,only_adorable,117,4.768,702.037,2.498,0.891,0.0,8.368,6.003,112.232,0.959,0.0,only,adorable,445868.0,24002.0
458,NEGATED,only_unlikely,78,3.179,468.024,2.487,0.891,0.0,8.368,5.571,74.821,0.959,0.0,only,unlikely,445868.0,83460.0
459,NEGATED,necessarily_worried,78,3.179,468.024,2.487,0.891,0.0,8.368,5.571,74.821,0.959,0.0,necessarily,worried,54048.0,118127.0
460,NEGATED,exactly_open,39,1.589,234.011,2.458,0.891,0.0,8.368,4.662,37.411,0.959,0.0,exactly,open,59426.0,255039.0
461,NEGATED,yet_conducive,39,1.589,234.011,2.458,0.891,0.0,8.368,4.662,37.411,0.959,0.0,yet,conducive,96968.0,16385.0
464,NEGATED,that_informative,26,1.06,156.008,2.431,0.891,0.0,8.368,3.996,24.94,0.959,0.0,that,informative,249255.0,26685.0
463,NEGATED,exactly_alive,26,1.06,156.008,2.431,0.891,0.0,8.368,3.996,24.94,0.959,0.0,exactly,alive,59426.0,103491.0
462,NEGATED,exactly_boring,26,1.06,156.008,2.431,0.891,0.0,8.368,3.996,24.94,0.959,0.0,exactly,boring,59426.0,57291.0
465,NEGATED,only_gorgeous,231,9.423,1384.884,2.503,0.89,0.0,8.35,6.586,221.577,0.959,0.0,only,gorgeous,445868.0,35240.0
466,NEGATED,as_cut,218,8.893,1306.878,2.502,0.89,0.0,8.349,6.541,209.107,0.959,0.0,as,cut,3709246.0,1548.0
467,NEGATED,only_elegant,115,4.693,689.239,2.49,0.89,0.0,8.344,5.974,110.307,0.959,0.0,only,elegant,445868.0,35678.0
468,NEGATED,exactly_memorable,51,2.081,305.616,2.464,0.889,0.0,8.34,5.034,48.919,0.959,0.0,exactly,memorable,59426.0,83524.0
469,NEGATED,exactly_spectacular,38,1.552,227.613,2.447,0.889,0.0,8.331,4.611,36.448,0.959,0.0,exactly,spectacular,59426.0,47612.0
470,NEGATED,necessarily_predictable,38,1.552,227.613,2.447,0.889,0.0,8.331,4.611,36.448,0.959,0.0,necessarily,predictable,54048.0,38419.0
471,NEGATED,exactly_riveting,38,1.552,227.613,2.447,0.889,0.0,8.331,4.611,36.448,0.959,0.0,exactly,riveting,59426.0,4581.0
472,NEGATED,even_ours,38,1.552,227.613,2.447,0.889,0.0,8.331,4.611,36.448,0.959,0.0,even,ours,1119967.0,5085.0
473,NEGATED,necessarily_shy,38,1.552,227.613,2.447,0.889,0.0,8.331,4.611,36.448,0.959,0.0,necessarily,shy,54048.0,50705.0
474,NEGATED,exactly_ready,189,7.72,1131.677,2.493,0.889,0.0,8.323,6.413,181.28,0.959,0.0,exactly,ready,59426.0,238804.0
475,NEGATED,exactly_bad,126,5.147,754.449,2.486,0.889,0.0,8.323,6.054,120.853,0.959,0.0,exactly,bad,59426.0,554583.0
476,NEGATED,only_irrelevant,88,3.595,526.834,2.477,0.888,0.0,8.32,5.686,84.405,0.959,0.0,only,irrelevant,445868.0,24243.0
477,NEGATED,necessarily_available,213,8.704,1274.894,2.492,0.888,0.0,8.315,6.504,204.296,0.959,0.0,necessarily,available,54048.0,862899.0
478,NEGATED,necessarily_uncommon,50,2.044,299.22,2.455,0.888,0.0,8.312,4.997,47.956,0.959,0.0,necessarily,uncommon,54048.0,61712.0
479,NEGATED,only_disgraceful,25,1.022,149.61,2.414,0.888,0.0,8.311,3.911,23.978,0.959,0.0,only,disgraceful,445868.0,2643.0
480,NEGATED,necessarily_cheaper,112,4.579,670.051,2.479,0.888,0.0,8.305,5.931,107.421,0.959,0.0,necessarily,cheaper,54048.0,51298.0
481,NEGATED,only_unproductive,37,1.514,221.218,2.435,0.887,0.0,8.292,4.559,35.486,0.959,0.0,only,unproductive,445868.0,2828.0
482,NEGATED,exactly_favorable,37,1.514,221.218,2.435,0.887,0.0,8.292,4.559,35.486,0.959,0.0,exactly,favorable,59426.0,41726.0
483,NEGATED,that_prominent,37,1.514,221.218,2.435,0.887,0.0,8.292,4.559,35.486,0.959,0.0,that,prominent,249255.0,106693.0
484,NEGATED,altogether_clear,332,13.586,1984.602,2.488,0.887,0.0,8.288,6.807,318.414,0.959,0.0,altogether,clear,19635.0,489251.0
485,NEGATED,honestly_sure,49,2.006,292.827,2.447,0.887,0.0,8.283,4.96,46.994,0.959,0.0,honestly,sure,5105.0,843994.0
487,NEGATED,always_foolproof,49,2.006,292.827,2.447,0.887,0.0,8.283,4.96,46.994,0.959,0.0,always,foolproof,639123.0,3226.0
486,NEGATED,that_advanced,49,2.006,292.827,2.447,0.887,0.0,8.283,4.96,46.994,0.959,0.0,that,advanced,249255.0,143274.0
488,NEGATED,only_misleading,122,4.995,728.875,2.472,0.886,0.0,8.277,6.001,117.005,0.959,0.0,only,misleading,445868.0,16065.0
489,NEGATED,necessarily_ideal,144,5.904,859.315,2.468,0.885,0.0,8.253,6.143,138.096,0.959,0.0,necessarily,ideal,54048.0,42438.0
490,NEGATED,yet_commonplace,48,1.968,286.437,2.438,0.885,0.0,8.253,4.922,46.032,0.959,0.0,yet,commonplace,96968.0,14132.0
491,NEGATED,exactly_successful,36,1.476,214.828,2.423,0.885,0.0,8.253,4.505,34.524,0.959,0.0,exactly,successful,59426.0,405548.0
492,NEGATED,necessarily_eager,36,1.476,214.828,2.423,0.885,0.0,8.253,4.505,34.524,0.959,0.0,necessarily,eager,54048.0,51004.0
493,NEGATED,exactly_quick,36,1.476,214.828,2.423,0.885,0.0,8.253,4.505,34.524,0.959,0.0,exactly,quick,59426.0,78296.0
497,NEGATED,only_erroneous,24,0.984,143.218,2.396,0.885,0.0,8.252,3.82,23.016,0.959,0.0,only,erroneous,445868.0,3615.0
498,NEGATED,only_thrilled,24,0.984,143.218,2.396,0.885,0.0,8.252,3.82,23.016,0.959,0.0,only,thrilled,445868.0,29212.0
496,NEGATED,exactly_likable,24,0.984,143.218,2.396,0.885,0.0,8.252,3.82,23.016,0.959,0.0,exactly,likable,59426.0,9648.0
495,NEGATED,only_illegitimate,24,0.984,143.218,2.396,0.885,0.0,8.252,3.82,23.016,0.959,0.0,only,illegitimate,445868.0,1475.0
494,NEGATED,yet_definite,24,0.984,143.218,2.396,0.885,0.0,8.252,3.82,23.016,0.959,0.0,yet,definite,96968.0,5221.0
499,NEGATED,that_hard,9976,409.395,59507.465,2.48,0.884,0.003,8.235,7.94,9566.605,0.959,0.003,that,hard,249255.0,429767.0
500,NEGATED,actually_sure,694,28.496,4135.665,2.473,0.884,0.0,8.224,7.18,665.504,0.959,0.0,actually,sure,155371.0,843994.0
501,NEGATED,exactly_possible,47,1.93,280.05,2.429,0.884,0.0,8.222,4.883,45.07,0.959,0.0,exactly,possible,59426.0,362259.0
502,NEGATED,necessarily_predictive,58,2.384,345.275,2.432,0.883,0.0,8.204,5.152,55.616,0.959,0.0,necessarily,predictive,54048.0,2999.0
503,NEGATED,necessarily_reliable,81,3.33,482.109,2.441,0.883,0.0,8.2,5.545,77.67,0.959,0.0,necessarily,reliable,54048.0,103312.0
504,NEGATED,only_undesirable,46,1.892,273.667,2.419,0.882,0.0,8.191,4.842,44.108,0.959,0.0,only,undesirable,445868.0,4191.0
507,NEGATED,necessarily_exhaustive,23,0.946,136.833,2.378,0.882,0.0,8.191,3.724,22.054,0.959,0.0,necessarily,exhaustive,54048.0,5836.0
508,NEGATED,that_willing,23,0.946,136.833,2.378,0.882,0.0,8.191,3.724,22.054,0.959,0.0,that,willing,249255.0,141649.0
505,NEGATED,exactly_tiny,23,0.946,136.833,2.378,0.882,0.0,8.191,3.724,22.054,0.959,0.0,exactly,tiny,59426.0,23583.0
506,NEGATED,only_unfit,23,0.946,136.833,2.378,0.882,0.0,8.191,3.724,22.054,0.959,0.0,only,unfit,445868.0,5960.0
509,NEGATED,only_shameful,80,3.292,475.727,2.436,0.882,0.0,8.183,5.524,76.708,0.959,0.0,only,shameful,445868.0,7036.0
510,NEGATED,only_arrogant,57,2.346,338.893,2.425,0.882,0.0,8.179,5.121,54.654,0.959,0.0,only,arrogant,445868.0,11987.0
511,NEGATED,that_frightening,34,1.4,202.06,2.399,0.881,0.0,8.17,4.391,32.6,0.959,0.0,that,frightening,249255.0,26624.0
512,NEGATED,only_ludicrous,34,1.4,202.06,2.399,0.881,0.0,8.17,4.391,32.6,0.959,0.0,only,ludicrous,445868.0,7439.0
513,NEGATED,necessarily_easy,915,37.693,5436.714,2.456,0.881,0.0,8.166,7.262,877.307,0.959,0.0,necessarily,easy,54048.0,768379.0
514,NEGATED,yet_ubiquitous,45,1.854,267.287,2.41,0.881,0.0,8.16,4.801,43.146,0.959,0.0,yet,ubiquitous,96968.0,13823.0
515,NEGATED,that_exceptional,45,1.854,267.287,2.41,0.881,0.0,8.16,4.801,43.146,0.959,0.0,that,exceptional,249255.0,16607.0
516,NEGATED,exactly_efficient,45,1.854,267.287,2.41,0.881,0.0,8.16,4.801,43.146,0.959,0.0,exactly,efficient,59426.0,254633.0
517,NEGATED,only_inspiring,101,4.163,599.802,2.434,0.88,0.0,8.156,5.759,96.837,0.959,0.0,only,inspiring,445868.0,37200.0
518,NEGATED,exactly_clean,56,2.308,332.514,2.417,0.88,0.0,8.153,5.089,53.692,0.959,0.0,exactly,clean,59426.0,82449.0
519,NEGATED,only_illogical,67,2.763,397.741,2.422,0.88,0.0,8.149,5.307,64.237,0.959,0.0,only,illogical,445868.0,3718.0
520,NEGATED,that_pleasant,167,6.888,991.17,2.439,0.88,0.0,8.145,6.216,160.112,0.959,0.0,that,pleasant,249255.0,63531.0
521,NEGATED,only_unacceptable,165,6.812,978.419,2.434,0.879,0.0,8.127,6.197,158.188,0.959,0.0,only,unacceptable,445868.0,27475.0
522,NEGATED,necessarily_familiar,121,4.995,717.506,2.429,0.879,0.0,8.127,5.922,116.005,0.959,0.0,necessarily,familiar,54048.0,209907.0
531,NEGATED,yet_irreversible,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,yet,irreversible,96968.0,2393.0
527,NEGATED,easily_broken,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,easily,broken,120226.0,1161.0
529,NEGATED,necessarily_scientific,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,necessarily,scientific,54048.0,13587.0
530,NEGATED,exactly_innovative,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,exactly,innovative,59426.0,59806.0
526,NEGATED,altogether_altruistic,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,altogether,altruistic,19635.0,2865.0
524,NEGATED,exactly_immune,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,exactly,immune,59426.0,20416.0
523,NEGATED,necessarily_sick,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,necessarily,sick,54048.0,61643.0
528,NEGATED,exactly_compelling,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,exactly,compelling,59426.0,71692.0
525,NEGATED,always_practicable,22,0.908,130.455,2.359,0.879,0.0,8.127,3.622,21.092,0.959,0.0,always,practicable,639123.0,2477.0
532,NEGATED,only_fascinating,142,5.866,841.588,2.429,0.878,0.0,8.117,6.063,136.134,0.959,0.0,only,fascinating,445868.0,54891.0
533,NEGATED,exactly_fair,262,10.823,1552.73,2.435,0.878,0.0,8.117,6.544,251.177,0.959,0.0,exactly,fair,59426.0,82794.0
534,NEGATED,necessarily_willing,109,4.503,645.904,2.423,0.878,0.0,8.114,5.816,104.497,0.959,0.0,necessarily,willing,54048.0,141649.0
535,NEGATED,only_trendy,76,3.141,450.22,2.414,0.878,0.0,8.109,5.436,72.859,0.959,0.0,only,trendy,445868.0,9093.0
536,NEGATED,only_lightweight,76,3.141,450.22,2.414,0.878,0.0,8.109,5.436,72.859,0.959,0.0,only,lightweight,445868.0,14726.0
537,NEGATED,too_shabby,5404,223.393,32015.592,2.44,0.878,0.002,8.105,7.723,5180.607,0.959,0.001,too,shabby,3557198.0,7958.0
538,NEGATED,only_relaxing,54,2.233,319.765,2.401,0.877,0.0,8.101,5.023,51.767,0.959,0.0,only,relaxing,445868.0,19874.0
539,NEGATED,that_distant,54,2.233,319.765,2.401,0.877,0.0,8.101,5.023,51.767,0.959,0.0,that,distant,249255.0,38410.0
540,NEGATED,only_crucial,259,10.71,1533.612,2.43,0.877,0.0,8.1,6.526,248.29,0.959,0.0,only,crucial,445868.0,68061.0
541,NEGATED,yet_dead,409,16.916,2421.336,2.432,0.877,0.0,8.096,6.814,392.084,0.959,0.0,yet,dead,96968.0,81764.0
543,NEGATED,exactly_nice,43,1.779,254.537,2.391,0.877,0.0,8.094,4.715,41.221,0.959,0.0,exactly,nice,59426.0,312726.0
542,NEGATED,necessarily_pleased,43,1.779,254.537,2.391,0.877,0.0,8.094,4.715,41.221,0.959,0.0,necessarily,pleased,54048.0,169702.0
544,NEGATED,necessarily_fun,96,3.974,567.933,2.412,0.876,0.0,8.083,5.674,92.026,0.959,0.0,necessarily,fun,54048.0,223496.0
545,NEGATED,only_eye-catching,64,2.649,378.622,2.402,0.876,0.0,8.083,5.226,61.351,0.959,0.0,only,eye-catching,445868.0,5988.0
546,NEGATED,exactly_rich,32,1.325,189.31,2.373,0.876,0.0,8.083,4.267,30.675,0.959,0.0,exactly,rich,59426.0,94389.0
547,NEGATED,necessarily_convenient,32,1.325,189.31,2.373,0.876,0.0,8.083,4.267,30.675,0.959,0.0,necessarily,convenient,54048.0,94621.0
548,NEGATED,only_unjustified,32,1.325,189.31,2.373,0.876,0.0,8.083,4.267,30.675,0.959,0.0,only,unjustified,445868.0,2186.0
549,NEGATED,that_keen,617,25.545,3649.496,2.429,0.876,0.0,8.079,7.021,591.455,0.959,0.0,that,keen,249255.0,55543.0
550,NEGATED,necessarily_conducive,85,3.519,502.706,2.408,0.876,0.0,8.077,5.545,81.481,0.959,0.0,necessarily,conducive,54048.0,16385.0
553,NEGATED,necessarily_stupid,53,2.195,313.395,2.393,0.876,0.0,8.074,4.989,50.805,0.959,0.0,necessarily,stupid,54048.0,65504.0
551,NEGATED,only_unfounded,53,2.195,313.395,2.393,0.876,0.0,8.074,4.989,50.805,0.959,0.0,only,unfounded,445868.0,5722.0
552,NEGATED,only_disingenuous,53,2.195,313.395,2.393,0.876,0.0,8.074,4.989,50.805,0.959,0.0,only,disingenuous,445868.0,3683.0
554,NEGATED,yet_possible,770,31.902,4551.534,2.426,0.876,0.0,8.067,7.114,738.098,0.959,0.0,yet,possible,96968.0,362259.0
555,NEGATED,necessarily_secure,63,2.611,372.254,2.395,0.875,0.0,8.06,5.198,60.389,0.959,0.0,necessarily,secure,54048.0,91624.0
556,NEGATED,that_shocked,63,2.611,372.254,2.395,0.875,0.0,8.06,5.198,60.389,0.959,0.0,that,shocked,249255.0,36259.0
567,NEGATED,exactly_professional,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,exactly,professional,59426.0,74577.0
566,NEGATED,exactly_tough,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,exactly,tough,59426.0,135407.0
565,NEGATED,only_repugnant,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,only,repugnant,445868.0,3700.0
564,NEGATED,that_satisfactory,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,that,satisfactory,249255.0,11933.0
563,NEGATED,that_terrifying,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,that,terrifying,249255.0,25344.0
562,NEGATED,that_flashy,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,that,flashy,249255.0,6937.0
561,NEGATED,exactly_cute,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,exactly,cute,59426.0,86044.0
560,NEGATED,exactly_wild,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,exactly,wild,59426.0,21781.0
559,NEGATED,only_unthinkable,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,only,unthinkable,445868.0,6110.0
558,NEGATED,exactly_ethical,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,exactly,ethical,59426.0,7956.0
557,NEGATED,only_disheartening,21,0.87,124.084,2.34,0.875,0.0,8.06,3.513,20.13,0.959,0.0,only,disheartening,445868.0,5532.0
568,NEGATED,exactly_full,115,4.768,679.283,2.407,0.875,0.0,8.054,5.838,110.232,0.959,0.0,exactly,full,59426.0,105693.0
569,NEGATED,exactly_dead,73,3.028,431.113,2.396,0.875,0.0,8.05,5.366,69.972,0.959,0.0,exactly,dead,59426.0,81764.0
