key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_mirror_] exactly~alike,54,0.37361485,7.303375,0.375,517.0592651367188,exactly,alike,862,144,583470,0.212741,53.78725814819336,0.9960604,0.062490534,0.06264501,0.37361485,0.21805269,2.6373777,7.319519,2.4045424,mirror
[_direct_] exactly~stellar,170,0.20526904,4.551545,0.2122347,868.827964,exactly,stellar,44378,801,6347362,5.6002445,164.39975570000001,0.9670574,0.0037306156,0.003830727,0.20526904,0.10449983,1.585348,12.608886,1.482242,direct
[_direct_] exactly~alike,162,0.14138441,3.9269798,0.14835165,704.691121,exactly,alike,44378,1092,6347362,7.63479,154.36521,0.9528717,0.0035029082,0.0036504574,0.14138441,0.07244366,1.3960348,12.128077,1.326718,direct
[_direct_] exactly~ideal,418,0.11766079,3.9162915,0.124590166,1671.096439,exactly,ideal,44378,3355,6347362,23.456703,394.5432963,0.9438835,0.008953112,0.009419082,0.11766079,0.06330695,1.3099988,19.297743,1.2509093,direct
[_direct_] exactly~cheap,692,0.09807011,3.7369955,0.10495981,2532.723078,exactly,cheap,44378,6593,6347362,46.095394,645.9046057,0.9333882,0.014657089,0.015593312,0.09807011,0.056363598,1.2282495,24.55361,1.1764486,direct
[_mirror_] exactly~right,68,0.03231449,3.5374315,0.03368004,302.3661804199219,exactly,right,862,2019,583470,2.9828062,65.01719665527344,0.9561352,0.07553758,0.07888631,0.07553758,0.053926032,1.4091481,7.884493,1.3578838,mirror
[_direct_] exactly~conducive,208,0.10003496,3.4865463,0.10699589,767.197112,exactly,conducive,44378,1944,6347362,13.591604,194.4083958,0.9346557,0.004411582,0.004687007,0.10003496,0.05222327,1.2337255,13.479797,1.1847926,direct
[_mirror_] exactly~sure,148,0.023500362,3.436188,0.024736755,583.1597900390625,exactly,sure,862,5983,583470,8.839094,139.16090393066406,0.9402764,0.16167842,0.17169374,0.16167842,0.09258939,1.3126514,11.438956,1.223854,mirror
[_direct_] exactly~sure,8797,0.059894267,3.232139,0.06562085,25676.856934,exactly,sure,44378,134058,6347362,937.2753,7859.7246525,0.8934551,0.17835556,0.19822885,0.17835556,0.11912492,1.0861459,83.79923,0.9724674,direct
[_direct_] exactly~revolutionary,120,0.09050771,3.1335256,0.09748172,420.35977,exactly,revolutionary,44378,1231,6347362,8.606618,111.3933823,0.9282782,0.0025277769,0.0027040425,0.09050771,0.046517745,1.1885506,10.168778,1.1443487,direct
