colloc,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_det-of-subj,neither_subj,never_VP-adv,no-one_subj,no_det-of-subj-N,nobody_subj,none_subj,not-a-single_det-of-subj,not-one_det-of-subj,not-one_subj,not_VP-adv,nothing_subj,without-being_PP
18-7_overall,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81.2_percent-owned,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
about_two-fifth,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abruptly_original,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_convinced,96,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1
absolutely_definitive,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
absolutely_macabre,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_over,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_sweet,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_tan,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
additionally_appealing,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aggravatingly_slow,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_cheap,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_rah-rah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
all_residential,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_valid,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_anecdotal,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_blasphemous,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_clinical,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_infectious,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_poetic,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_robotic,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_safe,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_unthinkable,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
already_ashamed,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
already_embittered,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
already_swum,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
already_unshakable,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
also_antagonistic,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
also_anxious,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
also_appreciative,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
also_audacious,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
