colloc,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_det-of-subj,neither_subj,never_VP-adv,no-one_subj,no_det-of-subj-N,nobody_subj,none_subj,not-a-single_det-of-subj,not-one_det-of-subj,not-one_subj,not_VP-adv,nothing_subj,without-being_PP
solely_due,3.49,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,-0.3356,2.2148,-0.3356,-0.3356
relatively_healthy,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
as_empowering,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
here_someplace,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
increasingly_urgent,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
strategically_efficient,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
very_ministerial,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
all_life-sized,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
enormously_isolating,4.2426,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357
simply_nervous,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,-0.2357,4.2426,-0.2357,-0.2357
