adv_form_lower,SUM,not,n't,never,no,nothing,none,nobody,without,hardly,scarcely,few,neither,barely,rarely
SUM,2049,1321,565,46,39,28,22,8,6,4,4,2,2,1,1
immediately,460,393,64,0,0,0,0,2,0,0,0,0,1,0,0
as,295,168,110,9,0,2,5,1,0,0,0,0,0,0,0
so,178,108,58,8,0,0,1,0,3,0,0,0,0,0,0
too,149,84,43,14,2,3,2,0,1,0,0,0,0,0,0
more,102,19,25,5,24,11,9,2,1,3,2,0,0,0,1
very,96,59,33,0,1,1,2,0,0,0,0,0,0,0,0
that,95,50,42,3,0,0,0,0,0,0,0,0,0,0,0
yet,60,48,12,0,0,0,0,0,0,0,0,0,0,0,0
really,43,30,9,1,0,1,0,2,0,0,0,0,0,0,0
much,36,13,23,0,0,0,0,0,0,0,0,0,0,0,0
quite,33,12,19,1,0,0,0,1,0,0,0,0,0,0,0
even,32,16,15,0,0,1,0,0,0,0,0,0,0,0,0
only,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
legally,29,23,6,0,0,0,0,0,0,0,0,0,0,0,0
entirely,27,18,9,0,0,0,0,0,0,0,0,0,0,0,0
just,25,14,10,0,0,0,0,0,0,0,0,1,0,0,0
always,25,17,7,1,0,0,0,0,0,0,0,0,0,0,0
particularly,23,14,5,0,0,4,0,0,0,0,0,0,0,0,0
any,17,5,10,1,0,0,0,0,0,1,0,0,0,0,0
overly,16,9,6,0,0,0,1,0,0,0,0,0,0,0,0
necessarily,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0
fully,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
less,12,3,0,0,7,0,0,0,0,0,2,0,0,0,0
all,11,6,4,1,0,0,0,0,0,0,0,0,0,0,0
completely,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0
exactly,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0
terribly,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0
earlier,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
nearly,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0
readily,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
real,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0
mentally,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
politically,6,1,4,0,0,0,1,0,0,0,0,0,0,0,0
most,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0
sufficiently,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
totally,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
truly,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
statistically,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
financially,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
widely,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
criminally,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
especially,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
physically,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
solely,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
seriously,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
altogether,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
technically,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
directly,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
longer,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
clinically,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
probably,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
strictly,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pretty,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
previously,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
scientifically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
wholly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
terminally,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
usually,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
remotely,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
technologically,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
substantially,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
absolutely,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
inherently,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
currently,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fundamentally,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
merely,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
morally,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
economically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
now,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
historically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
commercially,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
vastly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
also,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
highly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
half,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
already,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fiscally,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
environmentally,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wildly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
then,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
consistently,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thoroughly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
easily,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
humanly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ultimately,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
well,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
universally,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
darn,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
overwhelmingly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
indeed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rarely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
perfectly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
perhaps,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
overtly,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otherwise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
actually,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obviously,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
publicly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
purely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normally,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
partly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
near,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
reasonably,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mutually,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
similarly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
simply,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
medically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
socially,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
internationally,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
often,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
