key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] particularly~hard-hit,153,0.38926393,5.6407166,0.39637306,998.46201,particularly,hard-hit,511734,386,71961373,2.7449355,150.2550645,0.98205924,1.9629053,12.147401998,1.7461593,0.00029572242,0.00029898345,0.38926393,0.19477981,direct
[_direct_] particularly~well-suited,62,0.3554627,4.92227,0.3625731,390.90652,particularly,well-suited,511734,171,71961373,1.2160206,60.7839794,0.9803868,1.9014732,7.7195731,1.7074507,0.00011963114,0.00012115669,0.3554627,0.17779118,direct
[_direct_] particularly~galling,537,0.24127714,5.110934,0.24838112,2912.0029,particularly,galling,511734,2162,71961373,15.374483,521.625517,0.9713697,1.6647929,22.509802539,1.5431738,0.00102663,0.0010493733,0.24127714,0.12115189,direct
[_direct_] particularly~nettlesome,62,0.21197088,3.999571,0.21908127,318.90501,particularly,nettlesome,511734,283,71961373,2.0124786,59.9875214,0.9675407,1.5955129,7.618422838,1.4886605,0.00011806361,0.00012115669,0.21197088,0.10604447,direct
[_mirror_] particularly~noteworthy,99,0.20945905,4.238368,0.21710527,492.552111,particularly,noteworthy,12946,456,1680633,3.5125908851623535,95.48741149902344,0.96451926,1.5577501,9.596845626831055,1.4500077,0.0074330806,0.0076471497,0.20945905,0.10844606,mirror
[_direct_] particularly~acute,2804,0.17530021,4.7884097,0.18237399,13325.906,particularly,acute,511734,15375,71961373,109.33519,2694.66481,0.9610074,1.4957335,50.88804265,1.409018,0.005303467,0.0054794094,0.17530021,0.090301834,direct
[_direct_] particularly~thorny,308,0.17010807,4.3755336,0.17721519,1443.5742,particularly,thorny,511734,1738,71961373,12.359321,295.640679,0.9598723,1.4789754,16.845691115,1.3965561,0.0005818611,0.0006018752,0.17010807,0.08534496,direct
[_mirror_] particularly~novel,54,0.16160662,3.4583352,0.169279,239.723703,particularly,novel,12946,319,1680633,2.457273006439209,51.542728424072266,0.95449495,1.4240404,7.0140767097473145,1.3419404,0.00401227,0.0041711726,0.16160662,0.08280945,mirror
[_direct_] particularly~irksome,155,0.14650826,3.903111,0.15361744,679.93048,particularly,irksome,511734,1009,71961373,7.1752328,147.8247672,0.9537082,1.4051,11.873571028,1.3344957,0.00029093926,0.00030289174,0.14650826,0.0733996,direct
[_direct_] particularly~noteworthy,2284,0.13659385,4.362823,0.14367491,9711.5484,particularly,noteworthy,511734,15897,71961373,113.04725,2170.95275,0.9505047,1.3716366,45.425772474,1.3054361,0.0042727306,0.0044632563,0.13659385,0.07043329,direct
