mir_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
something,57,1.84,8.9,0,0,0,1,67,105,4.830240624419857,67,1,2.5,-1.5,1.484455090593883,1.2636017213150383
some,57,0.91,3.25,0,0,0,0,22,52,3.5596723774089924,22,0,0.0,0.0,1.3069784483855955,1.152054834646592
all,57,0.67,3.39,0,0,0,0,25,38,5.081478974809261,25,0,0.0,0.0,1.1929410168883616,1.102913034233468
always,57,0.65,2.7,0,0,0,0,17,37,4.163240095085178,17,0,0.0,0.0,1.1905071752549223,1.0862890418210693
often,57,0.47,2.4,0,0,0,0,18,27,5.063921213838614,18,0,0.0,0.0,1.1688893938341005,1.0985629754860524
many,57,0.42,1.55,0,0,0,0,10,24,3.6724116249213052,10,0,0.0,0.0,1.1727392223033704,1.0910989297833464
everyone,57,0.4,1.49,0,0,0,0,10,23,3.6835937729323467,10,0,0.0,0.0,1.171899636070585,1.0924931029475824
someone,57,0.4,1.51,0,0,0,0,10,23,3.742667689853451,10,0,0.0,0.0,1.1743237168645015,1.0977531368543916
everything,57,0.35,1.37,0,0,0,0,9,20,3.9021971832728877,9,0,0.0,0.0,1.1463096583305619,1.0778443113772456
sometimes,57,0.26,0.7,0,0,0,0,4,15,2.6411577547950986,4,0,0.0,0.0,1.164051847002464,1.109669046073978
everybody,57,0.19,0.88,0,0,0,0,6,11,4.534206863081315,6,0,0.0,0.0,1.0885505612445834,1.0495396755808857
or,57,0.14,0.69,0,0,0,0,5,8,4.936087049186111,5,0,0.0,0.0,1.0702751952294642,1.0426829268292683
either,57,0.12,0.8,0,0,0,0,6,7,6.541524683856539,6,0,0.0,0.0,1.0473877963250924,1.024390243902439
both,57,0.11,0.67,0,0,0,0,5,6,6.394054157686543,5,0,0.0,0.0,1.0445590697021236,1.0239520958083832
somebody,57,0.07,0.32,0,0,0,0,2,4,4.553991577255527,2,0,0.0,0.0,1.0445590697021236,1.0301204819277108
