mir_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
something,78,1.35,4.09,0,0,0,1,30,105,3.040160554857406,30,1,2.5,-1.5,1.5520268092155447,1.325521636344948
some,78,0.67,1.84,0,0,0,0,13,52,2.7528025860787917,13,0,0.0,0.0,1.318488033114278,1.1832267851338174
all,78,0.49,2.09,0,0,0,0,16,38,4.284534139775983,16,0,0.0,0.0,1.1900456127167023,1.109128422461384
always,78,0.47,2.07,0,0,0,0,17,37,4.373767445850567,17,0,0.0,0.0,1.1770097588144977,1.0938839111803662
often,78,0.35,1.07,0,0,0,0,7,27,3.082272024616609,7,0,0.0,0.0,1.1857240289511826,1.1162790697674418
many,78,0.31,0.74,0,0,0,0,4,24,2.4178046283310857,4,0,0.0,0.0,1.190917997955847,1.125811883569882
everyone,78,0.29,0.72,0,0,0,0,4,23,2.450932564207267,4,0,0.0,0.0,1.1847433465787887,1.123110151187905
someone,78,0.29,0.74,0,0,0,0,4,23,2.5111344613763666,4,0,0.0,0.0,1.186344750595478,1.1266249398170438
everything,78,0.26,0.75,0,0,0,0,4,20,2.9100810003454245,4,0,0.0,0.0,1.1450979688069225,1.0891319525250174
sometimes,78,0.19,0.51,0,0,0,0,2,15,2.6577991090178554,2,0,0.0,0.0,1.12585709513709,1.08584686774942
everybody,78,0.14,0.5,0,0,0,0,3,11,3.5637074421266113,3,0,0.0,0.0,1.0849008059792828,1.0552423900789176
or,78,0.1,0.47,0,0,0,0,3,8,4.605368126916195,3,0,0.0,0.0,1.0563600174608072,1.0342541436464088
either,78,0.09,0.51,0,0,0,0,4,7,5.731467674763992,4,0,0.0,0.0,1.0445697672238412,1.025865848312144
both,78,0.08,0.31,0,0,0,0,2,6,4.067610422035836,2,0,0.0,0.0,1.0508830200120494,1.0353982300884956
somebody,78,0.05,0.22,0,0,0,0,1,4,4.329002164501625,1,0,0.0,0.0,1.0361853211506709,1.0263157894736843
