pattern,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
pos-mirror-R,318,0.88,0.81,0,0,1,1,7,281,0.9182208675394329,7,1,2.5,-1.5,1.7471780025848218,1.6234054320147318
pos-mirror-L,318,0.37,0.6,0,0,0,1,3,119,1.6058080281512388,3,1,2.5,-1.5,1.2756159351830747,1.2037854889589905
