adj_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
important,78,0.26,1.16,0,0,0,0,9,20,4.507828688018155,9,0,0,0,1.1106919438024503,1.061705989110708
good,78,0.22,1.11,0,0,0,0,9,17,5.1042869788439695,9,0,0,0,1.0880089500109804,1.046745694475509
young,78,0.12,0.6,0,0,0,0,4,9,5.222605985101048,4,0,0,0,1.0538937061214715,1.0292500549813064
different,78,0.1,0.35,0,0,0,0,2,8,3.366421276042589,2,0,0,0,1.0697273327790333,1.0493273542600896
excited,78,0.08,0.35,0,0,0,0,2,6,4.575485213074668,2,0,0,0,1.0470142587761369,1.0308370044052864
strong,78,0.08,0.42,0,0,0,0,3,6,5.451081150953975,3,0,0,0,1.0415857170580263,1.0251916757940853
more,78,0.06,0.29,0,0,0,0,2,5,4.594632667651392,2,0,0,0,1.0415857170580263,1.0285714285714285
familiar,78,0.06,0.57,0,0,0,0,5,5,8.831760866327848,5,0,0,0,1.0232371468902683,1.0107991360691144
wrong,78,0.06,0.29,0,0,0,0,2,5,4.594632667651392,2,0,0,0,1.0415857170580263,1.0285714285714285
happy,78,0.06,0.25,0,0,0,0,1,5,3.8457262499572678,1,0,0,0,1.0454344196064946,1.033112582781457
simple,78,0.06,0.34,0,0,0,0,2,5,5.237526927060929,2,0,0,0,1.0377511832713942,1.0240700218818382
special,78,0.06,0.37,0,0,0,0,3,5,5.809709740832778,3,0,0,0,1.0361853211506709,1.022950819672131
alive,78,0.05,0.45,0,0,0,0,4,4,8.831760866327846,4,0,0,0,1.0208481683824762,1.0103626943005182
proud,78,0.05,0.27,0,0,0,0,2,4,5.349475031896413,2,0,0,0,1.0323706685895861,1.0218340611353711
interested,78,0.05,0.27,0,0,0,0,2,4,5.349475031896412,2,0,0,0,1.0323706685895861,1.0218340611353711
ill,78,0.05,0.22,0,0,0,0,1,4,4.329002164501625,1,0,0,0,1.0361853211506709,1.0263157894736843
high,78,0.05,0.22,0,0,0,0,1,4,4.329002164501625,1,0,0,0,1.0361853211506709,1.0263157894736843
afraid,78,0.05,0.36,0,0,0,0,3,4,6.954863756403131,3,0,0,0,1.0270180507087725,1.01628664495114
right,78,0.05,0.45,0,0,0,0,4,4,8.831760866327846,4,0,0,0,1.0208481683824762,1.0103626943005182
divisive,78,0.04,0.34,0,0,0,0,3,3,8.831760866327848,3,0,0,0,1.0179318843373906,1.0097087378640777
difficult,78,0.04,0.19,0,0,0,0,1,3,5.032362797401963,1,0,0,0,1.0270180507087725,1.0196078431372548
enthusiastic,78,0.04,0.19,0,0,0,0,1,3,5.032362797401963,1,0,0,0,1.0270180507087725,1.0196078431372548
hard,78,0.04,0.19,0,0,0,0,1,3,5.032362797401965,1,0,0,0,1.0270180507087725,1.0196078431372548
small,78,0.04,0.25,0,0,0,0,2,3,6.5485202055973595,2,0,0,0,1.0232371468902683,1.0151843817787418
sinister,78,0.04,0.19,0,0,0,0,1,3,5.032362797401963,1,0,0,0,1.0270180507087725,1.0196078431372548
unique,78,0.04,0.25,0,0,0,0,2,3,6.5485202055973595,2,0,0,0,1.0232371468902683,1.0151843817787418
