prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
something,15,4.47,17.3,0,0,0,0.0,67,67,3.872983346207418,67,0.0,0.0,0.0,1.3248516801703365,1.0703043022035676
is,15,2.73,3.75,0,0,1,5.5,10,41,1.3721544564912393,10,5.5,13.75,-8.25,2.334165423463624,1.6462632437483173
are,15,2.67,6.08,0,0,0,1.0,22,40,2.2795676281761352,22,1.0,2.5,-1.5,1.7715604973564512,1.2919253651498694
all,15,1.73,6.44,0,0,0,0.0,25,26,3.716353706118023,25,0.0,0.0,0.0,1.3013682980565777,1.1079545454545454
been,15,1.33,4.35,0,0,0,0.5,17,20,3.2650749280398275,17,0.5,1.25,-0.75,1.3928066536534744,1.1946902654867257
be,15,1.33,1.54,0,0,1,2.5,5,20,1.1572751247156894,5,2.5,6.25,-3.75,1.9247374539885538,1.6216216216216217
often,15,1.2,4.65,0,0,0,0.0,18,18,3.872983346207417,18,0.0,0.0,0.0,1.2168869677812246,1.0674157303370786
was,15,1.07,1.44,0,0,0,2.0,4,16,1.3477411658029892,4,2.0,5.0,-3.0,1.668387459303688,1.4018691588785046
were,15,1.07,2.43,0,0,0,1.0,9,16,2.2817697548801266,9,1.0,2.5,-1.5,1.490976045823099,1.271186440677966
's,15,0.87,1.3,0,0,0,1.5,4,13,1.502322800011813,4,1.5,3.75,-2.25,1.5505609170995083,1.3493253373313343
always,15,0.73,2.84,0,0,0,0.0,11,11,3.872983346207417,11,0.0,0.0,0.0,1.1801722982910057,1.0650887573964498
someone,15,0.67,2.58,0,0,0,0.0,10,10,3.872983346207417,10,0.0,0.0,0.0,1.1733462211934051,1.064516129032258
either,15,0.4,1.55,0,0,0,0.0,6,6,3.8729833462074157,6,0.0,0.0,0.0,1.1385179164293642,1.0606060606060606
both,15,0.33,1.29,0,0,0,0.0,5,5,3.8729833462074175,5,0.0,0.0,0.0,1.1268776101908264,1.0588235294117647
some,15,0.33,1.29,0,0,0,0.0,5,5,3.872983346207417,5,0.0,0.0,0.0,1.1268776101908264,1.0588235294117647
or,15,0.33,1.29,0,0,0,0.0,5,5,3.872983346207417,5,0.0,0.0,0.0,1.1268776101908264,1.0588235294117647
much,15,0.33,0.82,0,0,0,0.0,3,5,2.449489742783178,3,0.0,0.0,0.0,1.2030250360821166,1.1320754716981132
sometimes,15,0.27,1.03,0,0,0,0.0,4,4,3.8729833462074175,4,0.0,0.0,0.0,1.1132635768448034,1.056338028169014
them,15,0.27,0.8,0,0,0,0.0,3,4,2.9955323876924265,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
many,15,0.27,1.03,0,0,0,0.0,4,4,3.8729833462074175,4,0.0,0.0,0.0,1.1132635768448034,1.056338028169014
're,15,0.27,0.8,0,0,0,0.0,3,4,2.995532387692426,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
'm,15,0.27,1.03,0,0,0,0.0,4,4,3.8729833462074175,4,0.0,0.0,0.0,1.1132635768448034,1.056338028169014
just,15,0.27,0.46,0,0,0,0.5,1,4,1.7165164058139881,1,0.5,1.25,-0.75,1.2030250360821166,1.1538461538461537
",",15,0.27,0.8,0,0,0,0.0,3,4,2.9955323876924265,3,0.0,0.0,0.0,1.148698354997035,1.0909090909090908
far,15,0.27,0.59,0,0,0,0.0,2,4,2.226063148892488,2,0.0,0.0,0.0,1.1801722982910057,1.125
the,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
lot,15,0.2,0.77,0,0,0,0.0,3,3,3.8729833462074152,3,0.0,0.0,0.0,1.096824979694626,1.0526315789473684
mentally,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
