mir_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
something,318,0.33,0.6,0,0,0,1,4,105,1.8028368811928812,4,1,2.5,-1.5,1.2370262123517188,1.1725663716814159
some,318,0.16,0.53,0,0,0,0,5,52,3.2493615201130734,5,0,0.0,0.0,1.1028778363967742,1.0698065601345668
all,318,0.12,0.43,0,0,0,0,5,38,3.624291571591911,5,0,0.0,0.0,1.0777233961482602,1.0541436464088398
always,318,0.12,0.41,0,0,0,0,3,37,3.5041310483132944,3,0,0.0,0.0,1.0753768320574486,1.051819184123484
often,318,0.08,0.3,0,0,0,0,2,27,3.544310556559366,2,0,0.0,0.0,1.0587011196039617,1.0420535226652103
many,318,0.08,0.28,0,0,0,0,2,24,3.660094722188802,2,0,0.0,0.0,1.0527526804040253,1.0380848748639826
everyone,318,0.07,0.26,0,0,0,0,1,23,3.586997044695727,1,0,0.0,0.0,1.0514112261111845,1.037520391517129
someone,318,0.07,0.3,0,0,0,0,3,23,4.206042332434903,3,0,0.0,0.0,1.0481732822866332,1.0338661609319968
everything,318,0.06,0.32,0,0,0,0,4,20,5.11000132726683,4,0,0.0,0.0,1.0398035434132074,1.0273530045229378
sometimes,318,0.05,0.21,0,0,0,0,1,15,4.501524452613396,1,0,0.0,0.0,1.0332359967829297,1.0241545893719808
everybody,318,0.03,0.2,0,0,0,0,2,11,5.768007595329827,2,0,0.0,0.0,1.0233403490528414,1.016515716568993
or,318,0.03,0.18,0,0,0,0,2,8,6.9886399483787764,2,0,0.0,0.0,1.0166704307430325,1.0116648992576882
either,318,0.02,0.17,0,0,0,0,2,7,7.588758895375235,2,0,0.0,0.0,1.0144567993664682,1.0100582318687137
both,318,0.02,0.14,0,0,0,0,1,6,7.222467573820571,1,0,0.0,0.0,1.0131641430249148,1.0095238095238095
somebody,318,0.01,0.11,0,0,0,0,1,4,8.873986368560672,1,0,0.0,0.0,1.008756952185565,1.0063291139240507
