prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
something,318,0.21,0.49,0,0,0,0,3,67,2.306833141603066,3,0,0,0,1.1470090456214697,1.1054461181923523
is,318,0.13,0.35,0,0,0,0,2,41,2.7452667737333742,2,0,0,0,1.0915063465402386,1.0665176076020122
are,318,0.13,0.38,0,0,0,0,3,40,2.994276875358915,3,0,0,0,1.0867583727744061,1.0620651266351238
all,318,0.08,0.4,0,0,0,0,5,26,4.851345135514243,5,0,0,0,1.049899402396781,1.0335861321776816
been,318,0.06,0.28,0,0,0,0,3,20,4.442077270060271,3,0,0,0,1.0422839950031624,1.0299595141700404
be,318,0.06,0.29,0,0,0,0,2,20,4.618123671585331,2,0,0,0,1.0407852953301358,1.0280172413793103
often,318,0.06,0.24,0,0,0,0,2,18,4.323008001074849,2,0,0,0,1.0390741595541613,1.0280172413793103
was,318,0.05,0.25,0,0,0,0,2,16,4.89070208425862,2,0,0,0,1.0336187647472235,1.0236051502145922
were,318,0.05,0.22,0,0,0,0,1,16,4.351383985211003,1,0,0,0,1.0354906059721065,1.0258064516129033
's,318,0.04,0.2,0,0,0,0,1,13,4.851345135514243,1,0,0,0,1.0287414948295615,1.0208667736757624
always,318,0.03,0.23,0,0,0,0,3,11,6.619325528230161,3,0,0,0,1.0220363729815127,1.0151636073423782
someone,318,0.03,0.24,0,0,0,0,3,10,7.5111525912613,3,0,0,0,1.0188888924523174,1.012470151233749
either,318,0.02,0.16,0,0,0,0,2,6,8.359810723409371,2,0,0,0,1.012247987805375,1.0084566596194504
both,318,0.02,0.12,0,0,0,0,1,5,7.924485872325978,1,0,0,0,1.0109581460087815,1.0079239302694136
some,318,0.02,0.15,0,0,0,0,2,5,9.39775125796723,2,0,0,0,1.0100439855654035,1.0068601583113457
or,318,0.02,0.15,0,0,0,0,2,5,9.397751257967228,2,0,0,0,1.0100439855654035,1.0068601583113457
much,318,0.02,0.12,0,0,0,0,1,5,7.924485872325978,1,0,0,0,1.0109581460087815,1.0079239302694136
sometimes,318,0.01,0.11,0,0,0,0,1,4,8.873986368560672,1,0,0,0,1.008756952185565,1.0063291139240507
them,318,0.01,0.11,0,0,0,0,1,4,8.87398636856067,1,0,0,0,1.008756952185565,1.0063291139240507
many,318,0.01,0.14,0,0,0,0,2,4,10.891419943752382,2,0,0,0,1.0078447821750545,1.0052687038988408
're,318,0.01,0.14,0,0,0,0,2,4,10.891419943752382,2,0,0,0,1.0078447821750545,1.0052687038988408
'm,318,0.01,0.11,0,0,0,0,1,4,8.873986368560672,1,0,0,0,1.008756952185565,1.0063291139240507
just,318,0.01,0.11,0,0,0,0,1,4,8.873986368560672,1,0,0,0,1.008756952185565,1.0063291139240507
",",318,0.01,0.18,0,0,0,0,3,4,14.084524025848383,3,0,0,0,1.0065605510971085,1.0039463299131808
far,318,0.01,0.14,0,0,0,0,2,4,10.891419943752382,2,0,0,0,1.0078447821750545,1.0052687038988408
