mir_deprel,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
nsubj,318,0.48,0.65,0,0,0,1,4,153,1.3582953303522287,4,1,2.5,-1.5,1.367943037543382,1.2797639009993964
advmod,318,0.36,0.64,0,0,0,1,5,115,1.7803979185740937,5,1,2.5,-1.5,1.2583692365574628,1.1876750700280112
amod,318,0.25,0.52,0,0,0,0,3,78,2.134187681638979,3,0,0.0,0.0,1.1722849647639533,1.1240058910162003
rcmod,318,0.08,0.29,0,0,0,0,2,26,3.494280160516711,2,0,0.0,0.0,1.057352085601804,1.0414847161572052
dep,318,0.04,0.22,0,0,0,0,2,14,5.003790490083877,2,0,0.0,0.0,1.0300540257025355,1.0214132762312633
cc,318,0.03,0.18,0,0,0,0,2,8,6.9886399483787764,2,0,0.0,0.0,1.0166704307430325,1.0116648992576882
preconj,318,0.01,0.11,0,0,0,0,1,4,8.873986368560672,1,0,0.0,0.0,1.008756952185565,1.0063291139240507
det,318,0.0,0.06,0,0,0,0,1,1,17.832554500127006,1,0,0.0,0.0,1.0021820854056545,1.0015748031496063
infmod,318,0.0,0.06,0,0,0,0,1,1,17.832554500127006,1,0,0.0,0.0,1.0021820854056545,1.0015748031496063
