mir_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
something,213,0.49,0.99,0,0,0,1,7,105,2.015320603565584,7,1,2.5,-1.5,1.320115551764627,1.2203972498090145
some,213,0.24,0.79,0,0,0,0,9,52,3.248118137591147,9,0,0.0,0.0,1.1473785918982178,1.0992602786857044
all,213,0.18,0.54,0,0,0,0,5,38,3.0121532954089703,5,0,0.0,0.0,1.1152157855180265,1.0793918918918919
always,213,0.17,0.65,0,0,0,0,7,37,3.762779539278452,7,0,0.0,0.0,1.1016716580691353,1.0670006261740763
often,213,0.13,0.36,0,0,0,0,2,27,2.845280439255631,2,0,0.0,0.0,1.0888939834373481,1.064113238967527
many,213,0.11,0.36,0,0,0,0,2,24,3.184550522177641,2,0,0.0,0.0,1.0768598186375835,1.0544554455445545
everyone,213,0.11,0.35,0,0,0,0,2,23,3.275226801894018,2,0,0.0,0.0,1.0733611841062418,1.0518518518518518
someone,213,0.11,0.37,0,0,0,0,3,23,3.396498514857549,3,0,0.0,0.0,1.0727678095021662,1.0514191690662278
everything,213,0.09,0.4,0,0,0,0,4,20,4.2726698383059984,4,0,0.0,0.0,1.0585734504580493,1.0397006182883175
sometimes,213,0.07,0.27,0,0,0,0,2,15,3.8941659314783688,2,0,0.0,0.0,1.04860694229482,1.0348178137651822
everybody,213,0.05,0.29,0,0,0,0,3,11,5.709582251529402,3,0,0.0,0.0,1.0316830534044414,1.0211745904914102
or,213,0.04,0.21,0,0,0,0,2,8,5.695043463150197,2,0,0.0,0.0,1.0249902259270505,1.017515923566879
either,213,0.03,0.2,0,0,0,0,2,7,6.188882924416738,2,0,0.0,0.0,1.0216601117035917,1.0150913423351866
both,213,0.03,0.17,0,0,0,0,1,6,5.887506760000926,1,0,0.0,0.0,1.01971713753198,1.0142857142857142
somebody,213,0.02,0.14,0,0,0,0,1,4,7.2454442420151794,1,0,0.0,0.0,1.0131019364247025,1.009478672985782
