bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
no_older,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
equally_important,15,0.13,0.35,0,0,0,0.0,1,2,2.6389933145587383,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
too_great,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
very_simple,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
very_proud,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
very_strong,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
very_unique,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
as_good,15,0.13,0.35,0,0,0,0.0,1,2,2.638993314558738,1,0.0,0.0,0.0,1.096824979694626,1.0714285714285714
dangerously_violent,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
as_simple,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
very_wrong,15,0.13,0.52,0,0,0,0.0,2,2,3.8729833462074175,2,0.0,0.0,0.0,1.0759896247253458,1.0465116279069768
so_important,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_intense,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
very_thankful,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_inclusive,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_ill,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
very_tough,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_open,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
very_uncomfortable,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_high,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_hard,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
so_negative,15,0.07,0.26,0,0,0,0.0,1,1,3.8729833462074175,1,0.0,0.0,0.0,1.0472941228206267,1.0344827586206897
