key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] yet~final,640,0.51967937,6.5857124,0.5280528,4447.596469,yet,final,53779,1212,6347362,10.268856,629.7311437,0.9839549,0.011809669,0.011900556,0.51967937,0.26574454,2.1221848,24.89231,1.794658,direct
[_direct_] yet~official,352,0.35939762,5.558117,0.3678161,2112.243242,yet,official,53779,957,6347362,8.10833,343.8916704,0.97696495,0.006449176,0.0065453057,0.35939762,0.1829234,1.8361363,18.329487,1.6376113,direct
[_direct_] yet~ready,7505,0.24587211,5.2061667,0.2531966,39484.243689,yet,ready,53779,29641,6347362,251.13792,7253.8620723,0.96653724,0.13603538,0.13955261,0.24587211,0.19095375,1.6622968,83.732475,1.4754384,direct
[_direct_] yet~complete,2175,0.255081,5.1899943,0.2632216,11415.790393,yet,complete,53779,8263,6347362,70.00954,2104.9904627,0.9678117,0.039475963,0.040443297,0.255081,0.14727849,1.6388389,45.135735,1.4923021,direct
[_direct_] yet~ripe,380,0.2529333,4.8949466,0.261348,1976.175156,yet,ripe,53779,1454,6347362,12.319239,367.6807616,0.967581,0.006895305,0.007065955,0.2529333,0.1299143,1.6204349,18.861626,1.4891998,direct
[_direct_] yet~over,162,0.24788114,4.5919585,0.25632912,834.787967,yet,over,53779,632,6347362,5.3547173,156.6452829,0.9669462,0.002937649,0.0030123282,0.24788114,0.1254094,1.6078527,12.307216,1.4807785,direct
[_direct_] yet~public,467,0.17176723,4.2755356,0.18016975,2050.88187,yet,public,53779,2592,6347362,21.961119,445.0388817,0.952974,0.008346042,0.008683687,0.17176723,0.09005664,1.4142427,20.593943,1.3276625,direct
[_direct_] yet~eligible,448,0.16859971,4.236226,0.17700514,1950.55519,yet,eligible,53779,2531,6347362,21.444286,426.5557135,0.9521333,0.007999417,0.008330389,0.16859971,0.088299565,1.4047394,20.152863,1.3199664,direct
[_direct_] yet~clear,10411,0.117078446,3.9684978,0.12400248,39559.62926,yet,clear,53779,83958,6347362,711.34705,9699.6529424,0.9316735,0.18190254,0.19358857,0.18190254,0.14949049,1.3075639,95.06266,1.1654109,direct
[_direct_] yet~operational,209,0.13539867,3.685692,0.14384033,819.231456,yet,operational,53779,1453,6347362,12.310766,196.6892342,0.94109684,0.0036886137,0.0038862752,0.13539867,0.069543645,1.2960756,13.605279,1.2298613,direct
