key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~terribly_surprising,949,0.94342303,8.798821,0.987513,5796.4189,NEGATED,terribly_surprising,3173681,961,71961373,42.382563,906.617437,0.9553398,terribly,58529,surprising,69947,3.2166622,29.430048,1.3500789
NEGany~terribly_likely,108,0.9377171,6.3853583,0.9818182,654.37845,NEGATED,terribly_likely,3173681,110,71961373,4.851282,103.148718,0.95508075,terribly,58529,likely,884149,2.9734519,9.92549,1.3475672
NEGany~terribly_uncommon,103,0.9368512,6.309272,0.9809524,623.35359,NEGATED,terribly_uncommon,3173681,105,71961373,4.6307691,98.3692309,0.95504105,terribly,58529,uncommon,11144,2.952962,9.692608,1.3471841
NEGany~terribly_reliable,51,0.9181623,5.123249,0.9622642,301.51527,NEGATED,terribly_reliable,3173681,53,71961373,2.3374358,48.6625642,0.9541679,terribly,58529,reliable,89739,2.6498215,6.8141217,1.3388305
NEGany~terribly_productive,64,0.91112214,5.371202,0.95522386,375.29014,NEGATED,terribly_productive,3173681,67,71961373,2.9548717,61.0451283,0.9538301,terribly,58529,productive,101874,2.6014478,7.630641,1.3356414
NEGany~terribly_unusual,146,0.90395135,6.230312,0.9480519,849.23217,NEGATED,terribly_unusual,3173681,154,71961373,6.7917947,139.2082053,0.95348084,terribly,58529,unusual,70551,2.572386,11.520953,1.3323683
NEGany~terribly_original,199,0.8945793,6.3921056,0.9386792,1145.6685,NEGATED,terribly_original,3173681,212,71961373,9.3497434,189.6502566,0.95301634,terribly,58529,original,37312,2.5055838,13.443951,1.3280534
NEGany~terribly_sure,69,0.87589836,5.1591325,0.92,389.45803,NEGATED,terribly_sure,3173681,75,71961373,3.3076922,65.6923078,0.9520624,terribly,58529,sure,256817,2.3650281,7.9084244,1.319324
NEGany~terribly_interested,486,0.8492862,6.4419103,0.8933824,2669.8946,NEGATED,terribly_interested,3173681,544,71961373,23.991794,462.008206,0.9506342,terribly,58529,interested,259727,2.2559404,20.957117,1.3065735
NEGany~terribly_surprised,287,0.8389782,6.0527983,0.8830769,1560.5557,NEGATED,terribly_surprised,3173681,325,71961373,14.333333,272.666667,0.9500581,terribly,58529,surprised,76486,2.2091637,16.095005,1.3015347
NEGmir~terribly_surprising,67,0.8264466,4.046608,1.0,234.6574249267578,NEGMIR,terribly_surprising,291735,67,1680633,11.6302875,55.36971282958984,0.82641363,terribly,4583,surprising,2648,2.8081148,6.764487,0.76048434
NEGmir~terribly_original,45,0.82643574,3.378412,1.0,157.60293579101562,NEGMIR,terribly_original,291735,45,1680633,7.8113871,37.18861389160156,0.82641363,terribly,4583,original,1557,2.6367896,5.5437512,0.76048434
NEGmir~terribly_unusual,24,0.82642543,2.21224,1.0,84.053466796875,NEGMIR,terribly_unusual,291735,24,1680633,4.1660731,19.833927154541016,0.82641363,terribly,4583,unusual,2286,2.367913,4.0485835,0.76048434
NEGmir~terribly_special,24,0.82642543,2.21224,1.0,84.053466796875,NEGMIR,terribly_special,291735,24,1680633,4.1660731,19.833927154541016,0.82641363,terribly,4583,special,15479,2.367913,4.0485835,0.76048434
NEGmir~terribly_popular,19,0.826423,1.7233529,1.0,66.54206085205078,NEGMIR,terribly_popular,291735,19,1680633,3.2981412,15.701858520507812,0.82641363,terribly,4583,popular,5628,2.268774,3.6022534,0.76048434
NEGmir~terribly_clear,15,0.826421,1.1821222,1.0,52.53303527832031,NEGMIR,terribly_clear,291735,15,1680633,2.6037957,12.396203994750977,0.82641363,terribly,4583,clear,6689,2.1690652,3.2006862,0.76048434
NEGmir~terribly_remarkable,14,0.8264205,1.013202,1.0,49.030792236328125,NEGMIR,terribly_remarkable,291735,14,1680633,2.4302093,11.569790840148926,0.82641363,terribly,4583,remarkable,3209,2.1401,3.0921566,0.76048434
NEGmir~terribly_new,69,0.79827833,3.6428971,0.97183096,224.2037353515625,NEGMIR,terribly_new,291735,71,1680633,12.324633,56.67536544799805,0.8213821,terribly,4583,new,12793,2.121828,6.822912,0.74807507
NEGmir~terribly_interested,39,0.7550039,2.4791522,0.9285714,116.11759948730467,NEGMIR,terribly_interested,291735,42,1680633,7.290628,31.70937156677246,0.8130608,terribly,4583,interested,8143,1.7302674,5.0775633,0.7282997
NEGmir~terribly_interesting,56,0.67492497,2.4145606,0.8484849,143.79904174804688,NEGMIR,terribly_interesting,291735,66,1680633,11.4567011,44.54330062866211,0.79541606,terribly,4583,interesting,12368,1.4086206,5.9523487,0.68912846
