    l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
NEGMIR  needed                13     6.50               666                 34           26         1401                   1                3426              18.02               1.431        0.5000       0.00004               1.0000              0.00004  291735     13  583470  
POSMIR  multiple              12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
POSMIR  intent                12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
POSMIR  indirect              12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
NEGMIR  bloodshed             12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
POSMIR  unused                12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
POSMIR  softer                12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
POSMIR  amorphous             12     6.00               705                 40           28         1444                   1                3606              16.64               1.398        0.5000       0.00004               1.0000              0.00004  291735     12  583470  
NEGMIR  bluegrass             11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
POSMIR  underpaid             11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
NEGMIR  flash                 11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
POSMIR  cringe-worthy         11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
NEGMIR  earth-shattering      11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
POSMIR  rudimentary           11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
POSMIR  narrower              11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
POSMIR  upmarket              11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
NEGMIR  have                  11     5.50               755                 48           35         1530                   1                3759              15.25               1.362        0.5000       0.00004               1.0000              0.00004  291735     11  583470  
POSMIR  unresponsive          10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  customisable          10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  editable              10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  underdeveloped        10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  bookable              10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  indecisive            10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  gothic                10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  latest                10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  hearsay               10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  imperceptible         10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  unwinding             10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
NEGMIR  mighty                10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  unnoticeable          10     5.00               802                 58           44         1629                   1                3967              13.86               1.322        0.5000       0.00003               1.0000              0.00003  291735     10  583470  
POSMIR  unconvinced            9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  subpar                 9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  yearly                 9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  luckier                9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  frazzled               9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
NEGMIR  infallible             9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
NEGMIR  all-american           9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  hourly                 9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  deadlier               9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  opportunistic          9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  priced                 9     4.50               882                 74           57         1717                   1                4174              12.48               1.279        0.5000       0.00003               1.0000              0.00003  291735      9  583470  
POSMIR  insolvent              8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  non-traditional        8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  sandy                  8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  menial                 8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  inoperable             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  inebriated             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  nationwide             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  indistinct             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
NEGMIR  separable              8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
POSMIR  unresolved             8     4.00               947                 93           68         1831                   1                4411              11.09               1.230        0.5000       0.00003               1.0000              0.00003  291735      8  583470  
